page 1	中日交涉之危機
page 2	蔣委員長昨在黃埔行營召見省市當局訓話勤考察以求得人求迅確以謀振刷任勞怨以期改革當合作以策在功勤以集事儉以養廉敬以持射嚴以率下
page 2	孔祥熙在經濟學社年會演講經濟復興政策提倡國民經濟建設求自力更生運用適合國情政策謀產業發展
page 2	劉建緒來粵謁蔣請示
page 2	法遠東海軍司令愛斯特華飛青將率驅逐艦四艘由青開赴滬　僑
page 2	財部派員赴各省市接洽征所得稅黃祖培奉派來粵
page 2	中華藥學會年會電蔣委長慰勞
page 2	華北日軍定期擴大演習
page 2	全華日居留民將舉行聯席會議俟甘濃返滬後即召集
page 2	平市記者電請中央補救記者團體代表選舉法免將來選舉結果成畸形狀態
page 2	虹口事件雖似緩和日仍作軍事準備建築營房趕闢道路日軍不斷往來紛紛運送軍火日大小艦七艘昨晨進口停泊黃浦江面
page 3	陳儀離滬返閩
page 3	華北緝私徵稅問題原則業已確定對於辦理手續問題昨在津作最後商洽
page 3	外部照會駐華各使實行征所得稅
page 3	閩綏署對剿匪軍事擬定三區進行各區設指揮官一員
page 3	倫敦大學教授愛溫斯昨抵津今明兩日在兩校演講
page 3	蘭垣昨又地震搖動約七八秒鐘
page 3	今年雙十節贛省擴大慶祝
page 3	蘇省會防空展覽閉幕參觀人數三十餘萬
page 3	蘇省私塾統計共二萬四千餘所學生四十餘萬人
page 3	英大使許閣森定期訪宋哲元
page 3	陝建長雷寶華談陝省建設近況水利刻已完成三區公路築成二千餘里
page 3	法部分發考試及格人員
page 3	川公路局整理川黔公路組團考察沿路情形
page 3	綏遠民生渠改善工作計劃
page 3	全國公路交通委會昨日繼續會議通過重要議案多項
page 3	新任日駐蘇大使重光昨日抵津定期今日會晤田代
page 3	日駐津總領事病愈由日返津
page 3	秋高氣爽林主席遊采石
page 3	西國叛軍續有進展託勒杜要塞陷落迫在眉睫阿爾加柴叛軍有獲救希望
page 3	法實行壓低佛郎價後歐美金融局面大變瑞士正式宣布放棄金本位德國不久亦將低壓　克價
page 4	中樞無人牽連前線
page 4	好景不常危運重臨
page 4	君保可人打破光蛋
page 4	建樹毫無大禍迭降
page 4	甫動干戈風雲險惡
page 4	中衛脆弱難障敵師
page 4	敵隊前鋒犀利無匹
page 4	日本男游泳團定期在港表演地點仍在對海西人青年會
page 4	港記者球隊征省昨日會議決定具體進行
page 4	中華遊樂會得兩組網球錦標徐潤培潘利女士等功勞不少
page 4	友誼絨球賽市民會不敵南華單打和局雙打南華全勝
page 4	英京銀價仍趨漲
page 4	本港童軍週年水運會情形成績良好產新紀錄五個賽畢由經亨利夫人頒獎
page 4	華員會水運第二日成績舳舨單人賽首名葉錫康
page 4	九華陳休兩後衛雖努力奈卒被華塞斯擊破成績五比二前鋒諸將敷衍職事個人演出殊無足觀華塞斯攻守俱佳衣雲士個人射入四球
page 5	潮汕各軍調動近誌曾友仁派隊接防汕市各縣佈防與聯絡剿匪
page 5	一五八師佈防竣事
page 5	憲兵駐汕成績概述
page 5	何應欽劉建緒日　來粵消息
page 5	全省米商反對設處運糧食
page 5	廣東兵器廠改隸軍委會管轄組織編制略變更
page 5	中央軍三師及砲兵一團留粵歸行營指揮昨由南路調回砲兵一團開往黃埔一帶駐紮第五縱隊所部限一星期內開往西北剿匪
page 5	警衛隊改隸綏署保安隊成立後警衛隊仍存在
page 5	實業銀行改　與粵金融最近情況該行改歸建廳直轄工商貸款已達五百餘萬辦理省營收支賑目粵改大洋一年後可實現收買白銀半年可竣陳仲璧對記者談話
page 6	吳鼎昌來粵計劃發展實業訊
page 6	汽車與火車相撞建廳擬防範辦法
page 6	陸豐公會請撤銷繁重捐稅昨分呈省府財廳
page 6	電請解煤油禁令
page 6	劉張黃之來去記
page 6	備戰事物之撤銷
page 6	台開地方歹徒設機關誘士兵逃亡一五五師請縣協拿
page 6	西華路發生火警
page 6	兩廣鹽運使公署之鹽稅收入
page 6	市公用局被裁撤後
page 6	廣東治河委員會改為水利局
page 6	駐防河南各鄉軍警
page 6	僑務局已恢復僑務辦事處
page 6	鐵道部以黃埔將闢為商埠
page 6	入國自當問禁赴越南僑胞須知西堤七府公所函
page 6	汕鴻生抽紗工場廿五早全部焚燬
page 6	黃沙軍警及工人發生誤會衝突詳誌大東公共汽車總罷工之一瞥
page 7	中野妻子已抵省乘嵯峨艦
page 7	灣仔新街市明年元旦可竣工
page 7	啟德飛機場附近兩賊截劫鎗傷西人劫去飾物現款二百餘元警署懸賞五百元緝兇匪
page 7	攜眷出遊
page 7	放槍傷人
page 7	入院調治
page 7	損失調查
page 7	日來氣候乾涸須防喉痛
page 7	中暹航線將實現雙方政府協助進行
page 7	僑港工界擬自獻一機祝蔣壽已向全體工友徵詢意見獻機將名為香港僑工號
page 8	糖商赴省請願結果當局已實行撤銷糖業專賣撤銷糖類統制辦法亦可望實現面呈蔣行政院長之請願書全文
page 8	請願　面呈將院長
page 8	請求撤銷三點理由
page 8	撤銷專賣改善統制
page 8	反對蓄婢會將舉行週年大會報告一年來之工作經過
page 8	華仁書院開討論會世界和平是幻夢否
page 8	贊成方面
page 8	反對方面
page 8	精武會國語班消息
page 8	港商馬持隆昨逝世
page 8	華人船員總會會議
page 8	桂局和平解決蔡廷楷已離桂返港態度消極閉門謝客
page 10	千餘女工昨赴星
page 10	澳門月餅市冷淡
page 10	衛生醫官時症報告
page 10	臬司今日銷假視事
page 10	孔教學院講學日記
page 10	澳舉辦教員登記
page 10	醬料商會昨開幕
page 10	體育團體求參加國大選舉
page 11	捕賭奪犯槍斃鄉人
page 11	募捐疑案解縣提訊
page 11	岡州汽車傾覆傷人
page 11	新會二區北街鄉猛虎噬人
page 11	十一師已全部撤防
page 11	貨船撞鐵橋柱沉沒
page 11	田畝十一開始複評
page 11	瓊崖鹽業商人灶戶再請改制及減稅呈文
page 11	各縣廢局設科並保障公務員民廳將此新制列入施　大綱
page 14	市府訓令協緝兇犯
page 14	若杉回滬訪吳市長
page 14	寺崎分記租界當局
page 14	公安局長召集會議
page 14	川樾將先返滬一行
page 14	喜多佐藤昨晚返滬
page 14	被捕張姓尚未釋放
page 14	連續發現手鎗二枝
page 14	田港屍體今日軍葬
page 14	一部份日兵昨撤退
page 14	費用　氏發表意見
page 14	領館兩度重要會議
