page 1	今日之糧食問題
page 2	犯罪事實
page 2	劉峙抵京談話舊東北軍直隸中央從前舊東北軍編制餉章均與中央有別此後常漸謀整齊一致使成為國軍勁旅
page 2	犯罪證據
page 2	陝主席孫蔚如患病外傳消極說不確孫以陝局甫告平定百政待舉病中移住省府省政照常推行
page 2	京川災救濟會電川當局請納救災六項意見發行川省救災公債辦理賑務迅速減政減薪所得撥充賑款
page 2	蔣委員長昨抵滬拔去之齒尚須延醫檢視
page 2	京教育團體歡宴孟祿博士
page 2	劉維熾抵京謁王報告粵省政情
page 2	卓逆受日方遺派赴日考察軍事某方在張北設軍校強令蒙民入校受訓
page 2	所犯法條
page 2	楊永泰遇刺案提起公訴劉蘆隱犯教唆殺人罪唆使幹部在滬組暗殺機關伺機行事此項暗殺組織計劃書有劉核批筆跡
page 3	植田抵熱後日軍開始增兵熱邊嘉卜寺方面連日迭有會議
page 3	汪主席抵滬檢驗身體
page 3	津海關準備檢查私貨
page 3	福州各界發起不賣私貨運動
page 3	賀耀組暫行兼代甘省府建廳長羅貢華田昆山為甘省府委員邱長康為駐德使館三等秘書
page 3	孔特使由倫敦通話恭候委座健康對國內財政經濟亦有詳細之詢問
page 3	楊虎城病勢已獲漸痊
page 3	津海河浮屍先後發現多具宋哲元懸獎五千元徵求舉發浮屍來源
page 3	英增華茶入口稅影響我國外銷實部咨外部交涉
page 3	許　基徐煒培擊敗德選手
page 3	英煤礦罷工潮暫時可不爆發
page 3	佐藤定期召開三相會議重行檢討對華政策日駐華大使川樾亦將出席報告已往中日談判之經過
page 3	德著名巨型飛船興登堡號失慎被燬死亡搭客至少有四十八人起火原因料為發動機洩火
page 3	肇事原因
page 3	艾登在上院陳述西戰各問題不干涉計劃未將飛機列入實為失策古爾尼卡城被炸已激起英美之公憤
page 3	埃撤消領判權公約定期今日簽署蒙德婁會議亦已結束
page 3	馬步芳在西寧定期舉行追悼剿匪陣亡軍民大會中央各部會分派代表前往致祭並宣慰西北軍視察邊區建設
page 3	各方哀悼
page 3	參議員波拉詆責法西斯黨意國屠殺阿國婦孺實斷無理由之可言
page 3	德攝辱華影片程天放向德外部交涉
page 3	日外相發表一般談話日英談判尚未作具體進行日並未有在華北樹立勢力範圍之意華北問題頗為複雜難望其急早解決
page 4	學界水陸運動會開始報名十日起至二十日止
page 4	足球友誼賽奧斯德對光華隊
page 4	蘭芳杯乒乓賽本月十一日頒獎陳蘭芳君蒞會主持發給獎品
page 4	紅星分隊籃球今日有兩場比賽三隊同分複賽競爭必烈
page 4	今日壘球比賽菲律濱對義勇軍
page 4	今晚籃球頗可觀乙組三場均有劇戰
page 4	今日小足球六場有一場兩雄相遇團結對漢英隊極能吸引觀眾
page 4	英京銀價無變動美國銀價略縮
page 4	八九金價昨略升
page 4	桂幣市價略報漲
page 4	學界排球華仁保羅雙奏凱今日初級場小童級一場
page 5	兩廣外交署已提解省行逃員省行秘書之談話
page 5	營稅評議會請政府撥助經費
page 5	兩廣外交署訪問記蘇俄在廣州恢復領事館不確俄人在粵極少英皇加冕大典沙面執烈舉行本省軍攻領袖前往參加淩士芬談
page 5	吳主席暫未入京亦未出巡李大超談
page 5	調節會決議要案
page 5	桂幣暴跌中之訪問記闞宗驊興某經濟專家之談話黃薊北上負有確定比率任務
page 5	新電力廠工程近況一
page 5	根本救濟粵糧食今日開重要會議續訊農民銀行貸款之用途
page 5	曾養甫兼任庚款保管會董
page 5	甘灘水漲航商請解禁令
page 5	覃振今晚離粵赴湘吳主席託將治粵計劃代向中央報告三年施政計劃重行審訂限月底呈請政院核示將於七月開始實施覃對懷法改善之指示
page 6	江門稅捐機關優待歸僑改善捐稅征收辦法
page 6	財廳調整廳務最近之進行
page 6	免稅烊米准免附征浚河捐報關業對該捐之請求
page 6	整理沙田及空測土地進行高信昨與記者談話新會代表來省請願
page 6	潘金蓮累人不淺三伶人被停演劇一月太平戲院罰款五十元社會局請警察局執行
page 6	熊理請依法處分
page 6	市商會五代會之事務費問題
page 6	河南民用機場繼續開闢
page 6	僑務委員會昨准外交部函
page 6	省府昨議決另組銓聚審委會
page 6	廣州市商會昨七日分函各會員商店
page 6	歷次耆英比賽冠軍之一百○九歲婦人張　氏
page 6	粵路撞車原因之各說　無風　裝設有關曾叔岳談斜坡之關　先架設便道照常通車司爐松非斃命
page 7	全島土地肥沃熱帶物產豐富
page 7	水利亟應解決種植畜牧咸宜
page 7	決心開發必須全國一致動員
page 7	熱帶果產纍纍宛如置身南洋
page 7	團員二人患病去月底先返港
page 7	發展各種工業條件多已具備
page 7	築鐵路闢港口已有整個計劃
page 7	慶蔣建場賑綏兩會昨日辦理結束賑綏暨建場會存款七千餘元賑綏難民會得款萬四千餘元
page 7	會議出席人物題名
page 7	慶蔣會之進支數目
page 7	定造銀機贈蔣紀念
page 7	未交欠款議決催收
page 7	東華商會進支數目
page 7	考察團返港談開發瓊崖先決條件為水利問題榆林港為出口要道並可作軍港政府計劃建築鐵路八月可興工全島土地肥沃種植畜牧均適宜
page 8	九龍方面　飾
page 8	新　鄉村點綴
page 8	譚英皇加冕一
page 8	銀業休息三天
page 8	五彩噴水表演
page 8	全日供給食水
page 8	奧　　旅　操
page 8	籌委會將開會
page 8	港澳增開夜船
page 8	江門稅捐機關優待歸僑改善檢查及納稅辦法
page 8	荷政府嚴查新客無護照者概拒入境
page 8	九龍關金伸算法
page 8	香港飛剪號飛菲
page 8	英撥八百萬鎊鞏固港防務因日反對續訂華府條約
page 8	電影協會請在粵設處檢片送京檢查實屬窒礙難行
page 8	傷妓自宮案詳臬定獻何觀順司理否認被告虧空　款
page 8	旺角滅火局落成
page 8	德國興登堡大飛船被焚死傷百餘德領表示惋痛由港寄歐空郵幸獲無恙
page 8	學生國語演說賽今日在青年會舉行
page 8	車輛失事之統計
page 8	夜星輪入澳修理
page 8	本港殷商歐霖喪父
page 8	虎豹救傷處將開幕
page 8	先施聘國術團表演
page 8	葉天生母今日出殯
page 8	慶祝加冕期內各區水喉全日開放銀業行一律休業三天九龍鄉村亦熱烈慶祝
page 10	馬會夏季馬票暢銷
page 10	港貨物市價飛漲
page 10	澳門馬會定期賽馬
page 10	由歐乘車到港第一人科士打述歐亞旅途觀感五經過波蘭得一個極惡劣印象蘇聯檢查行李關員威嚴無匹
page 11	借庚款修築北堤電籌修會派員晉京
page 11	開乩求仙方連斃兩命之慘劇翁媳復起糾紛迷信神仙之累
page 11	查究擅征地方租捐
page 11	奧港河工程美金公債條例之公布額定美金二百萬元
page 11	指定小販販物地點
page 11	番禺縣府取締市郊武館
page 11	鹹潮淹田請免地稅
page 11	發起重修隱泉古寺
page 11	西南稅研會告成立
page 11	明代金佛被賊盜去
page 11	二區籌款賑濟飢民
page 11	陳村米價高漲原因
page 11	新運糾察處已成立
page 11	籌設柑橘實驗區訊
page 11	陽春限令編造壯丁名冊
page 11	茂名天氣漸勢痳疹盛行
page 11	調查勞務團之概況
page 11	嚴禁煙館僱女招待
page 11	自治經費無著鄉鎮長副紛請辭職各縣請照保安隊經費辦法由解廳地稅五成項下撥支
page 14	一首報告文學的詩
page 14	波蘭組織國民統一陣線以統一全國意旨擁護領袖為宗旨為一集中所有人民力量之大團體
page 14	左右兩翼活躍
page 14	強國日本與日本的
page 14	可悲的世代之三世相
page 14	跛行預算苦難的深淵
page 14	文學風俗生活上的誇張
page 14	充分揭開軍閥的內幕一日本淒慘的社會相這閥排演大陸政策南征北討一般人輾轉於非常時期之下矛盾局面結果何如
page 15	顧及特別環境
page 15	統一團結救國
page 15	統一陣線政綱
page 15	刺汪宋案判決書七
page 15	塘沽近狀一斑充滿烏煙瘴氣怪現狀
page 15	李將軍之宣言
page 16	中國的水牛在美國大出風頭是大地片中的閒角
