page 1	日本閣潮與中國事件
page 2	鄂境我軍續有斬獲漢宜路日軍一部被聚殲
page 2	圖聚殲偽員王天木被害記氏捨身投入魔窟刺何行健被發覺
page 2	邕南日軍遭我夾擊殘日勢呈搖動我仍猛攻
page 2	物價調整局開始首期工作溝通各地貨物限制零沽市價
page 2	粵北我軍掃蕩殘日　有如風掃殘棄
page 2	陳教長允在黔創設農工學院
page 2	德安西效激戰
page 2	廣州金融情況混亂米店十家遭劫
page 2	費利溥被刺案乃日偽預定陰謀為一爭奪偽滬市長醜劇
page 2	桂新聞文藝界前線勞軍
page 2	豫偽警備旅長舉部反正
page 2	傳汪政府內定人選以汪精衛為行政院長陳公博褚民誼分任各院長
page 2	于主教拍片宣傳
page 2	殺一敬百種菸犯處死刑
page 2	贛各界慶祝粵北大捷
page 2	　東我軍進迫黃縣城郊
page 2	湘北鄂南充滿抗戰必勝氣象農民犁田畜水預備春耕樂觀空氣益覺勝利在握
page 2	日後我軍向各路出擊湘桂兩省將展開大戰豫南殘日潰竄我繼續尾追中
page 3	蘇軍大舉轟炸芬蘭南部各地加里利亞地峽方面有砲戰
page 3	軍用品及志願軍經法赴芬
page 3	日樞密院通過日蘇漁業臨時協定繼續舉行外交談判以訂長期漁業協定
page 3	一德機在比降落司機員被扣留並獲重要文件
page 3	紐約絲價突然下落
page 3	西線有功英軍獲獎勳章
page 3	法政府頒佈限賣牲口條例
page 3	意要求土在黑海讓出兩海軍港英法亦表示同情
page 3	美國積存黃金佔全世界大半
page 3	英漁船勞司達號被炸
page 3	羅要求匈國放棄屬土要求意匈外交會談商定可暫擱置
page 3	蘇軍中有婦女擔任秘密工作
page 3	德扣留意機事意未向德抗議
page 3	日報評論美國擴充海軍倘美以優越海軍地位威脅日本日不得不強化其艦隊以為抵抗
page 3	蘇聯開始攻擊瑞典挪威
page 3	英空軍夜襲德空軍根據地並飛漢堡等地偵察
page 3	克虜伯次子已在前線陣亡
page 3	英救傷隊將出發赴芬蘭
page 3	日繼起組閣人物各方屬意近衛阿部亦力勸近衛出任艱苦今日日閣召開最後一閣議
page 3	近衛不願出任艱鉅
page 3	日報反對軍人組閣
page 3	湯淺派員謁西園寺
page 3	英輪亞洲號在施布外擱淺
page 3	比政府發表　實　國防步驟
page 3	胡適被聘協和名譽校長
page 3	教部將召開國民教育會議
page 3	希特勒希望蘇芬息戰希氏願出作調人
page 3	日美臨時商務協定受日閣潮影響日美外交當局無繼續會談該商約只餘十三日即期滿
page 5	欽縣各方戰情詳誌
page 5	平吉墟已重入我手
page 5	包圍邕寧日軍近訊
page 5	來往廣州新造廣德丸電船被劫經過匪將所載日貨搬登岸上焚燬擊斃偽軍五名擄搭客十三名
page 5	維護僑商交通惠陽組戰時軍民運輸站訂定水陸運輸價值
page 5	北路我克清從向南疾進清遠我軍續克石角兩路攻銀盞　國泰白坭日軍被我痛擊分頭潰竄從化街口日軍潰退我續進攻神岡
page 5	我軍兩路攻銀盞坳
page 5	從化我軍進迫神岡
page 5	石角國泰日軍潰退
page 5	中山縣境輪船遇事頻聞被劫觸礁損失甚大新廬山電船已放回
page 5	最近江會之戰情日偽再犯龍泉之劇戰我擊隊阻截日軍運輸我克復龍口村痛殲日偽新開新鶴清野工作完成日軍防偽軍異動之續訊
page 5	游擊戰績
page 5	官員更調
page 5	拉伕築路
page 5	克龍口村
page 5	清野工作
page 5	防偽情形
page 5	梁定安率部入大良組軍警聯巡處大良商　半已復業
page 5	中山查禁銅仙柴炭出口
page 5	容奇日軍封鎖容桂海口貨艇均繞道而行
page 5	日艦一艘砲轟小欖大
page 5	游擊隊火攻九江河清日軍日軍竄擾太平大同
page 5	規模殲滅戰即展開欽　日軍北犯東守均受打擊我擊退犯大寺日軍並克平吉前線軍事調動緊張準備大戰我方政令可推行至日軍　方我嚴密包圍邕寧日軍之形勢
page 7	事業概況
page 7	外僑協會
page 7	後方衛生
page 7	指導分會
page 7	紅十字週
page 7	嚴防德貨改裝運港港政府昨頒布新法令
page 7	星政府增禁多種港貨進口
page 7	國貨展覽會定期開幕下月五日起一連十五天大會將設跑馬地停車場
page 7	醫務署頒發護士證書
page 7	華僑服務團定期獻花籌款
page 7	學賑會服務團今日演劇籌款
page 7	我國紅十字總會決擴展戰時救濟工作今明兩日召開理監事聯席會議對前線巡邏救護隊將力謀擴充
page 8	新界難民籌賑會請中賑會救濟災黎深圳光復後景象蕭條難民數萬人無家可歸
page 8	西區自衛團組織衝鋒車隊
page 8	聖約翰救傷隊週年技術比賽今日在銅鑼灣球場舉行
page 8	港禁銅幣出口
page 8	中醫藥聯合會昨舉行成立禮
page 8	柯立芝總統輪搭客慷慨輸將救濟難民慰勞將士
page 8	海盜又劫貨艇
page 8	謀殺疑案提堂
page 8	衛生局之議案
page 8	陶秀女中少年團昨成立請杜其章等檢閱
page 8	雞鴨行商再捐大批棉衣
page 8	獻劍團將出發各僑團明日開歡送會
page 8	老翁服毒獲救
page 8	天花征漸流行星期四日又發生五宗
page 8	粵文物展覽會繼續徵求出品
page 8	書法展覽第三日
page 8	贈送防癆圖書
page 8	南南無敵銜被破于蘇皇軍十二碼球士葛雪恥四比三海軍克光華東方雛鳳今日分戰外旅
page 8	南南兵敗加山
page 8	光華力戰而負
page 8	昨日成績一覽
page 8	華軍兩路出師
page 8	宵來女籃戰績
page 8	德權鼎今頒獎
page 8	駐港英海軍截留蘇輪施行檢查疑該輪載有戰時違禁品
