page 2	　　時局觀
page 3	鄂省自治軍懸賞生擒王占元二十萬首級　
page 3	舊交通系擬借太平洋會議問題從事活動藉此為上台地步並反對顧維鈞任代表
page 3	四日閣議討論聯省自治靳雲鵬對湘鄂問題始終主張和平去王留土並無成見惟湘軍得寸進尺妨礙大局當以武裝保障　
page 3	聞北方擬組蘇皖直魯豫贛六省聯軍任吳佩孚為總司令蕭耀南趙傑副　孫傳芳為前敵總指揮兵力以十萬人為　
page 3	外訊　日湘軍佔領新　鄂軍傷亡　
page 3	贛訊贛西鎮守使方木仁獨立係團長李定魁受李烈鈞蔣作賓　
page 3	黎元洪語人謂政府偏愛王占元以致全國騷動王本余所保荐余實難對鄂
page 3	奉天會議決派師　混成旅為援鄂軍先鋒　
page 3	銀行團宣言中國負債三十萬萬年入十分七作軍費若不猛　早息內訌五年後即有破產之　
page 3	張勳任長江巡閱使令文已送府靳雲鵬促頒發惟徐世昌主緩行府院又生問題
page 3	吳佩孚電靳雲鵬謂湘事須用全力爭惟關於援助決從
page 3	中　
page 3	朱啟鈐到日本後屢有密電致　系交通系　抱樂觀
page 3	吳佩孚語人謂對趙恒惕頗失望原擬　聯西南吳聯北方實行聯省自治今忽改變殊出余意料之外王占元不足維持然為保鄂計不得不暫行保正事平王終必　
page 3	王占元電謂前線血戰四書夜斃敵四千餘我軍傷亡　百餘現略休息再調集援軍　
page 3	陸榮廷尚未離桂之別　邕龍　將有惡　
page 3	韋榮昌擔任收束龍州桂軍
page 3	沈鴻英乃不能以一降自保
page 3	孫文將有授勳之樂
page 3	孫文將有紙討鄂令
page 3	黃培桂保存私產之陰謀
page 3	公債票暢銷於廣西
page 3	破獲晏公街煙土案之內幕
page 3	馬君武決於梧州設行署
page 3	湘軍請助餉械
page 3	孫文大借款之傳說
page 3	三審引渡逃妾案
page 3	風報
page 3	中法實業銀行有復業希望
page 6	吳佩孚對鄂　
page 6	閩屬仙永之戰況
page 6	引渡安福禍首之交涉
page 6	湘鄂　　　　暗　
page 6	　　驅逐陳獨秀之通　
page 6	兩貢米市
page 6	衛生報告紀略
page 6	傳染症報告
page 6	園林監督年報紀要
page 6	瑣聞彙誌
page 6	私入禮拜堂判監
page 6	山票案判罰
page 6	被控在街賭博
page 6	童子軍又多
page 6	被控虐畜
page 6	警署通事張鵬安逝世
page 6	傭婦乘電車跌傷
page 6	大煙案
page 6	買貨偷貨
page 6	控接賊贓
page 6	色膽猖狂
page 6	銀價
page 6	被控打架
page 7	許軍進攻桂林近況
page 7	廉州將又有大戰
page 7	兵站部陸續招兵
page 7	兵站部扣留作弊委員
page 7	台山知事被兵站部扣留已釋
page 7	開平股匪仍然猖獗
page 7	清遠團局反對收編股匪
page 7	海軍拘歐福軍之蠻橫
page 7	撤銷三羅保衛團統領
page 7	第　師派員募兵
page 7	兵災救濟會調查災區
page 7	搭發鎳幣
page 7	省憲法起草之停頓
page 7	請另派員查辦馬文車控案
page 7	李烈鈞捷　
page 7	粵鹽運湘決收軍費
page 7	高要辦團之要電
page 7	四會請　
page 7	全店中毒之駭聞
page 7	鐵路待遇藝徒照舊辦理
page 7	台山紳商學界致新寧鐵路股東書
page 7	協約國的經濟會議
page 7	英國出口煤業復振
page 7	深勿打丸失火
page 7	上海執獲大幫鴉片煙
page 7	瑣聞一束
page 9	自治會之倒王聲
page 9	有謂願京兆仍併歸直隸者
page 9	趙倜請暫緩裁兵
page 9	李厚基之病與閩　
page 9	日人對廈門案之反覆
page 9	趙從蕃之辭與促駕者
page 9	劉冠雄之新官軍
page 9	稅　再　
page 9	京綏路商人停止運貨所聞
page 9	戊通公司要求政府賠償損失
page 9	藍建樞不要澄威將軍
page 9	日人在魯之　　
page 9	江西告　
page 12	鍾景棠進向南　
page 12	援桂祝捷之籌備
page 12	國會為太平洋會議事通　
page 12	李　　對專利議員　　
page 12	　　罰　
page 12	　市參　之防　
page 12	　段舖　
page 12	收回割　　　　　　
page 12	湖北省總監將作賓就職　
page 12	滇軍　　有援　之湧　
page 12	覃超　總指揮　
page 12	鬼繳游　奇
