page 1	蘇俄之真態度
page 2	灣沚日軍出犯被我痛擊
page 2	汪日酬酢汪曾拜訪及川乃川訪汪回答
page 2	中國日食觀測會舉行常 會
page 2	澳洲積極製造軍械支撐英國戰爭
page 2	暹女僑胞向蔣夫人獻旂
page 2	美下屆總統多屬意羅斯福倘羅斯福不欲再任候選則加拿或赫爾亦有希望
page 2	將禁止法幣輸出輸入昨已通知上海各國領事館各領事館尚未有表示意見
page 2	滬日軍當局釋放七艘葡輪
page 2	我空軍在粵擊落日機三架潮屬意溪一度失陷我軍反攻當即克復
page 2	川邊民舉行獻金獻旗典禮
page 2	蔣委員長決心禁絕川省煙毒
page 2	美大使詹森捐助寒衣
page 2	汾陽日軍設店售海洛英企圖毒我同胞自己築癮尤重
page 2	北歐諸國會議討論經濟互助
page 2	印度潘閘州表示擁護政府主張將來戰事結束後印度憲政應重加檢討
page 2	川省府各廳長日內赴渝謁蔣聽示治川施政方針
page 2	德法大空戰法獲空前勝利法空軍所用機係美製可以證明美製機精良
page 2	于斌即赴諒山為馬相伯舉行彌撒大典
page 2	港女子籃球隊在菲再度立功
page 2	黔滇綏靖公署特黨部九月一日成立昨補行就職禮
page 2	鄂晉兩省均有劇戰綏西我克鄂魯囫圇
page 3	全文並未提及德國亦未提及蘇芬談判
page 3	遠東中日戰鬥方酣歐洲方面又起惡鬥
page 3	蘇國防部長亦演說準備戰爭以謀和平
page 3	日軍後方縣長的典型一中央社戰地特派員劉尊棋
page 3	美國棉產品受歐戰影響
page 3	美政府警告飛機製造家
page 3	德將加緊施行海上軍事活動阻止聯軍由美運載軍械德報抨擊美新中立法案
page 3	中立國運輸將益感困難
page 3	十月革命紀念蘇大使館歡宴來賓中國軍政領袖到會參加馮玉祥書聯贈蘇大使館
page 3	美新中立法仍有兩缺點
page 3	對新中立法不受限制者
page 3	火石城號輪貨物當眾拍賣
page 3	日謀誘致美國承認偽新組織海關權完整及長江開放等問題日謂美將來可向新政府交涉
page 3	美以經濟壓力阻日在華排美畢特門將向國會提議禁止供給物品於日本
page 3	德政府加緊限制糧食又下令汽車改用煤氣
page 3	德蘇利用波俘虜充當軍役
page 3	德袖珍艦德意志號發現於大西洋英海軍將追擊之
page 3	我駐美領事館昨歡宴顏惠慶
page 3	芬政府對赴蘇代表已發出新訓令芬蘭軍事準備仍在進行政府開始檢查郵政電報
page 3	莫洛多夫演說攻擊英美法日謂資本主義國家煽起戰爭火燄蘇聯必竭其誠意實踐和平政策
page 5	陽江東平仍極緊張
page 5	日艦再搜外國輪船
page 5	日機狂炸欽廉北海
page 5	日軍又增兵駐深圳強征民槍編偽軍港惠交通之情形
page 5	強征民槍
page 5	內爭事件
page 5	日艦炮轟汕尾我漁民擊沉日艇
page 5	省主席李漢魂積極澄清廣東吏治縣長瀆職嚴辦者已有多起將組視察團厲行督察裁制
page 5	香洲海面日艦動態
page 5	西江各縣奉令澈底破壞各路
page 5	電白縣府沒收漢奸產業
page 5	日艦集陽江圖乘虛再犯張炎談戰情及軍事動員日犯粵南圖牽制西江軍事戰時民眾動員已分別部署
page 5	軍會民運視察團由粵轉赴湘桂
page 5	粵南情勢嚴重壯士紛紛請纓參戰自衛團員一律暫緩退伍
page 5	蕉嶺縣府飭緝劫車匪徒
page 5	古鼎華飭屬通緝番禺漢奸
page 5	日艦機再擾電白猛犯連頭嶺之劇戰我軍還擊日軍始終無法登陸陽江電白欽廉再遭日機慘炸
page 7	李思浩非赴日現在港勷辦賑務
page 7	買兇謀殺親夫疑案證據不足陳麗獲釋次被告李和詳臬定讞
page 7	兩輪船在虎門誤觸水雷沉沒金山輪據報昨晨停止上省搭客預購船票已一律收回
page 7	華僑銀行索償匯水損失儒記號須賠償十八萬元
page 7	商販以須設英磅衛生局正式通過
page 7	海盜劫缸瓦船
page 7	倫敦戰時狀態當地來客之談述
page 7	港銀號不願找換澳鈔因換得後不能匯返澳洲
page 7	港僑自衛團三區分隊成立
page 7	立法局非官議員一致反對徵收所得稅明日在會議席上將發表意見戰時政費預算案決暫緩討論
page 8	跳舞院女司數員控海軍船塢職員賴婚已同居生子仍不舉行婚禮經多次催促感情遂致破裂
page 8	連日戰情
page 8	暫獲無算
page 8	大感興奮
page 8	第二次大戰的問題李應林今晚播音演講
page 8	心嘉杯冠軍戰明日舉行
page 8	今夕公開籃球賽六路雄師會戰南會南與培英打頭陣港大逢關光勵行對康元
page 8	學界籃球賽華大輕取皇仁英皇力挫中南初級西南告捷
page 8	太古華體會週年陸運有期
page 8	協會團體乒乓宵來決賽結果東方淩風淩均獲勝今晚四強再決雌雄
page 8	中青會體育部組織之籃球團下週開始訓練
page 8	我軍夜襲迭獲大勝廣九路日軍聞風膽寒連日蟄伏大頭嶺一帶不敢妄動東莞各區民眾向我軍獻旗致敬
