page 1	日本望美調停戰事
page 2	鄂北我捷報頻傳猛向隨縣挺進日軍已有準備撤退模樣我圍攻青山斃日二百餘
page 2	北平四郊我軍活躍屢次出擊均獲戰果
page 2	綏西我軍掃蕩五原外圍克復鄔家地斃日甚眾
page 2	偽臨時政府濫發紙幣
page 2	冀日軍東犯受創殘餘紛紛逃竄
page 2	膠東日軍腰背受脅
page 2	昆明天空發見放紅青黃光之星呈所謂五星聯珠珍象
page 2	于斌謂羅馬教皇致力和平運動相信必獲成功
page 2	桂慰勞團抵韶
page 2	皖北反戰日軍自焚械庫
page 2	掩諱敗績日復施謠言攻勢慣技無中生有心勞日拙徒資笑柄
page 2	豫北我軍一度衝入博愛豫東我在高莊一帶與日軍發生遭遇戰
page 2	粵北戰場的左翼一翁從新公路視察記
page 2	二民眾英勇殺日
page 2	行都敬老會集團祝壽到老者三十一人參加來賓二千餘
page 2	上海煤價飛漲每噸二百二十元
page 2	不堪日軍壓迫閩南偽軍反正在港尾一帶與日軍搏戰黃逆大偉被監視於日艦
page 2	宣佈入中國籍改用中國姓名深悉中國文學
page 2	浙東殘餘已澈底肅清皖南日軍又從事蠢動南寧外圍戰事刻仍激烈對峙中
page 3	維里斯將抵羅馬定期謁見意相蘇聯謂維里斯赴歐等於美國參戰初步
page 3	英法土注意蘇聯虎視中東蘇已開始反土反伊宣傳英法土軍事取密切聯絡
page 3	葉秘書楚傖勗國人為傷兵之友前方將士為國家作長城大家努力愛護受傷勇士
page 3	美澳邦交開始成立澳獲得美物質援助乃得盡力助英戰爭
page 3	瑞典拒絕德國要求倘德實行威脅瑞典實行報復
page 3	美議員一部意見不能退出遠東美國若果退出遠東日本更可橫行無忌
page 3	挪威發覺共產秘密機關係受莫斯科方面指揮目的在挪威煽動革命
page 3	挪威宣稱不欲拘留德輪
page 3	加里利亞地峽大雪蘇芬戰事停頓芬軍退守第二度防線後蘇軍並未突破任何一點
page 3	日機四次轟炸滇越路日法關係緊張法總統將出席內閣會議報告日法外交軍事形勢
page 3	渝各界舉行慶祝達賴坐床大典長安寺舉行大誦經三院長電拉薩致賀
page 3	煤油大王助芬十萬金元
page 3	日本不難發生惡性通貨膨脹眾院通過龐大預算政費支出每年遞增
page 5	桂南大捷
page 5	掩殺無算
page 5	粵南我軍
page 5	增調大軍
page 5	粵參議會討論救濟粵省民食請贛閩馳禁米穀出口
page 5	偽軍特務營長在惠伏法寶安縣長續拿漢奸
page 5	容奇日偽軍拘去居民勒贖
page 5	廣州我便衣隊活躍日軍在河南宣佈戒嚴夜捕居民四百六十餘名南郊各鄉頻發生炸彈案
page 5	粵省今年財政治理方針積極裁廢苛雜訓練財政人員
page 5	發動民眾參加戰時服務李主任飭令各縣加緊組工作團隊
page 5	西江日軍犯閣尾被擊退我軍衝入大赤岡
page 5	第四戰區司令部派員巡視邊防
page 5	由沙魚涌至河源實施船舶伕轎統制規定僱用辦法給與價格
page 5	犯新會古井日軍一部撤退瀧水形勢已由張而弛江會戰事亦轉趨沉寂日艇集順德監視偽軍
page 5	古井日軍進退均難
page 5	江會戰事亦轉沉寂
page 5	復派汽艇進佔大沙
page 5	銀洲日艦大部已撤
page 5	桂南日軍續退欽縣竄犯黃屋屯與我軍劇戰欽東欽西我軍夾擊小董情形最高軍事當局增調大事赴欽高雷情勢未弛戒嚴令亦未撤
page 7	新任總理宣誓就職
page 7	羅旭和監誓致訓詞
page 7	李耀祥氏致答謝詞
page 7	新任總理工作方針
page 7	設法安置久厝棺柩
page 7	組籌款部勸募善款
page 7	華商會昨會議
page 7	香港電燈公司決增股本千二百萬元連舊股增至一千八百萬定期開股東會分派紅利
page 7	兩賊截劫路人
page 7	小童墮樓慘死
page 7	德輪華籍船員昨日過港歸國
page 7	三善院新舊總理昨交代李耀祥發表工作方針設勸募部專責募捐彌補不敷經費添聘醫師增建病院減病人痛苦
page 8	繼
page 8	末
page 8	接臣新輪進水
page 8	砲兵集中訓練廿一日已開始
page 8	臬庭判決刑案九宗尚有九宗押候再審
page 8	住客聯會請求減租今日上書三善院新總理
page 8	國醫會職員題名
page 8	香港埠際足球隊赴越報聘有期大軍啟行約在四月下旬比賽日期決定五月二日
page 8	青支會舉辦九龍區學界籃球賽下月一日開始報名十五日止截
page 8	銀聯籃球消息
page 8	小型球友誼賽
page 8	文物展覽會隆重開幕海外部長吳鐵城氏親臨剪綵各界人士到場參觀者數千人
