page 1	鉤心鬥角中之國際形勢
page 2	鄂中我軍猛襲皂市鄂東我軍出擊奏捷
page 2	進攻安義佔領虎山贛游擊隊屢出挫Ｘ
page 2	特務營李麟法通電反正
page 2	滬工務局召外商報紙發行人談話表示不堅持檢查新聞新聞界答允與之合作
page 2	我游擊隊進襲廣州瓊島我軍大舉出擊
page 2	魯省我軍克復費縣
page 2	黃正清組織藏民抗戰既組青年戰地服務團並組婦女前方慰勞
page 2	Ｘ機再炸寧波
page 2	抗戰以來Ｘ機空襲韶關統計傷亡人數八百六十五人毀屋七十七民艇七十四
page 2	法駐滬陸軍舉行炮兵演習後備軍參加受訓
page 2	Ｘ機炸莫干山美領將提抗議
page 2	浙參議會開會
page 2	美僑電請羅斯福禁軍用品運日以免助長侵略者屠殺氣燄
page 2	英德交換互不侵擔保事英尚未向德正式提出德方亦未有所表示
page 2	滬租界佈告禁止政治團體之活動如有破壞地方秩序之行為當局決以嚴厲手段罰之
page 2	意下院通過海軍新預算案意將有主力艦四艘戰艦巡洋艦各四艘
page 2	賀國光任渝市長蔣志澄免職
page 2	我軍包圍中陽
page 2	蘇任命駐美大使
page 2	蘭青年節終獻金閉幕得款三萬餘元
page 2	湘鄂贛戰場我軍活躍贛北我軍仍以南昌為攻擊中心鄂南湘北Ｘ據點被擊支離破碎
page 3	英眾院開會辯論中國問題工黨議員提議勸日停止侵略中國重慶英領館被炸已向日提出抗議
page 3	贛北抗戰九閱月一南昌陷落總檢討
page 3	馬當九江相繼棄守
page 3	南潯戰局呈膠著狀
page 3	國慶節日我告大捷
page 3	南昌外圍展開血戰
page 3	美駐菲高等政務官墨諾特氏離菲返美墨將為下屆候選總統之一彼離菲時曾受熱烈之歡迎
page 3	顧維鈞訪法總理商國聯援華事在下屆國聯政院會議時請求實際上予中國援助
page 3	英政府與澳聯邦政府會商國防問題決定若將來遠東遇非常時期英將派若干主力艦駐太平洋
page 3	英法軍事參謀暢論大戰形勢民主國必居優勝地位
page 3	英羅簽訂商約內容包括四項
page 3	英下院通過修正徵兵法案因北愛爾蘭不須徵兵引起各議員熱烈辯論
page 3	德意同盟其中一項條款極堪注意
page 3	德擴充軍備需要人手眾多招募各業僱員
page 3	意在阿國各處建設軍略工事
page 3	匈與斯洛伐克恢復外交關係
page 3	德波簽訂物物交換協定
page 3	煙台我游擊隊截擊海關巡船截去大批軍火
page 3	蘇波關係好轉蘇願與波締盟土亦願接受蘇助護巴爾幹下屆國聯英法波蘇將開會議
page 4	破獲三紅丸窟
page 4	中旅劇團公演今晚九時在皇后戲院
page 4	必列　士街被刺少年已死
page 4	汽車互撞傷人
page 4	少年服毒自殺
page 4	諫當保險公司定期召開年會
page 4	醫務處同人歡送製藥監督
page 4	海外僑胞踴躍捐金賑災廣西銀行代收四千餘元
page 4	婦女會募捐訊
page 4	來往本港商輪因中日戰事影響銳減去年較前年減少六千餘艘噸位達六十八萬六千餘噸
page 5	侵南頭Ｘ大涌受創
page 5	西鄉Ｘ軍潰退情形
page 5	Ｘ退時向民眾恐嚇
page 5	莞城Ｘ酋三水陣亡
page 5	Ｘ在橫門涌口門登陸小隱疊石已展開血戰Ｘ一路進犯大　圖窺小欖
page 5	東北兩路戰訊Ｘ步騎砲隊調援馮涌增城我軍團大活躍宋部夜襲福和奏捷
page 5	禪Ｘ步騎昨開馮涌
page 5	Ｘ向廟潭正果炮轟
page 5	Ｘ軍車輛往返甚忙
page 5	衝入增城與Ｘ激戰
page 5	夜襲福和宋部奏捷
page 5	增城儡傀召開大會
page 5	廣州市南我團隊擊傷Ｘ機Ｘ機飛北塘　彈
page 5	車陂游擊隊焚燬Ｘ營
page 5	英艦單條號抵北海艦長拜訪當局
page 5	我團隊在民生沙截擊Ｘ輪所獲糧食呈由李司令核定發給
page 5	大瀝偽鄉長被Ｘ扣留原因
page 5	我軍仍將會城Ｘ控制江佛路我軍推進棠下之激戰中順團隊乘時收復東西馬寧中山情報突告緊張吳飛已到石岐指揮
page 5	佛子　間數處衝破
page 5	六日鶴山空戰補述
page 5	吳飛抵岐指揮抗戰
page 5	東西馬寧乘時克復
page 5	犯寶安南頭兩鄉之Ｘ星夜被我團隊擊退之詳情張我東談東線游擊戰況
page 6	奉派出巡
page 6	痛心疾首
page 6	繼續出巡
page 6	難民救濟
page 6	瓊我軍反攻文昌圍洲糧食之恐慌
page 6	潮汕仍未渡過緊張時期汕市救濟災民之進行外輪又被Ｘ檢查
page 6	單水口視察記
page 6	教育當局收容戰區員生已令各縣辦理登記
page 6	順德代縣長陳千炤昨率部克復東西馬寧西馬寧鄉長何季文壯烈殉職
page 6	克復馬寧
page 6	鄉長殉職
page 6	電約殲Ｘ
page 6	潮汕緊張聲中物價陡漲各地奸商多乘機操縱
page 6	五區專署扣留區長程振雄貪污瀆職准被害民眾指控
page 6	省府令西江各縣保護基圍
page 6	滬不做奴隸團昨抵潮安轉道趕贛訓練
page 6	南海大蓮塘村警匪激戰
page 6	羅卓英電獎三個保安團隊
page 6	朱暉日暢談出巡西江經過與感想黨政均待改善煙賭允應澈除要從根本救濟難民將再出巡
page 7	緊急救難會最近募捐成績
page 7	黃紹雄夫人來港為浙省保育院籌款當地難童困苦實甚希望僑胞踴躍救濟
page 7	南頭之Ｘ已被我擊退寶安小輪照常來往
page 7	美潛艇隊抵港英艦蔑威號開會歡迎
page 7	衛生局派員沿門贈種洋痘
page 7	本港政府籌祝英皇壽辰
page 7	華商總會圖書館應續辦提議停辦者當思前人創造不易十年慘淡經營乃有今日之成績
page 7	窮住客之福音立法局首讀通過修正限制迫遷法例有效期至明年六月一日止期滿後觀察情形再定辦法
page 8	財政年報
page 8	主要來源
page 8	特殊原因
page 8	銀圓債券
page 8	閨秀劇團演習寫真續介紹幾位女主角
page 8	郎靜山攝影預展盛況二十廿一兩天在勝斯酒店公展
page 8	中美文協會首次執委會議
page 8	去年廣九路營業狀況貨運激增客運銳減
page 8	海軍醫院改建問題擱置
page 8	薛岳將軍請捐助裹傷包
page 8	印警勒索疑案兩商販極力指證
page 8	去年度官地售出統計
page 8	上海流亡學生定期招待各界
page 8	鄧世增函謝婦慰會贈雨衣
page 8	港府財政年報去年稅餉收入超出預算六百餘萬因戰事影響各項政費亦增加追加政費凡三百一十餘萬元
page 10	貢獻給本港籃球界伍
page 10	香港木球會舉辦網球義賽為英賑會籌款定期週末舉行
page 10	本屆籃球聯賽甲組戰事結束壓軸戲已於昨晚演出星島挫廣大榮膺冠軍
