page 2	聯省自治與中國二
page 3	吳佩孚蕭耀南因湘無罷兵意決以實力恢復失地連日布防備戰甚忙
page 3	湘程潛派宣言趙恒惕聯絡吳佩孚頗有附北嫌疑舊議員昨宣布趙十七罪狀
page 3	奉訊張作霖迭開會議對於派兵入關因各代表爭持未決定
page 3	王占元臨走時將私產託魏聯　代理迨抵津後因患失眠尚未入京
page 3	吳佩孚又派人說趙恒惕擬以不就巡閱為湘軍退出條件
page 3	靳閣命陸軍部速制定裁兵計劃備交太平洋會議
page 3	靳雲鵬電吳佩孚蕭耀南指蔣作賓提議係自私應拒絕
page 3	蕭耀南向漢口各界商借八十萬備軍用
page 3	湘鄂兩軍於諫十六日開始攻擊吳師全部已開赴前敵
page 3	十年公債三千萬確由中外銀團及交易所銷盡其款分三期繳部秋節難關可渡
page 3	鄂人會議提出條件一鄂人治鄂二省長民選三鎮守使鄂占三席四鄂編三師歸吳佩孚及蕭耀南指揮北軍撤退蕭若不從決用武力解決
page 3	聞吳佩孚商定自望十五日停戰三日如和議不成再行開戰
page 3	吳佩孚催湘軍退出鄂境已是最後通牒不從即親率大隊討伐
page 3	聞方本仁與李烈鈞合謀驅逐陳光遠
page 3	靳雲鵬恐陳光遠附粵擬籌五十萬匯贛以安陳心
page 3	陳光遠電稱蔣作賓贊成聯
page 3	省自治並希望鄂皖湘贛實行聯　
page 3	吳佩孚電京政府　調王用中董國政孫岳品壽莘　混成旅赴　
page 3	旅滬湖北同鄉發起兩湖平和促進會勸告雙方讓步並謂不可破壞聯省自治之基礎
page 3	某方面消息安福禍首李思浩近日將獲赦　
page 3	孫文援鄂之作用
page 3	韋黃收編桂軍之要聞
page 3	沈鴻英潛離桂林消息
page 3	援桂之銷費
page 3	散放無政府傳單被拿
page 3	李少帆被槍斃命案三誌
page 3	知事揭曉須待陳炯明
page 3	魏邦平引退消息續聞
page 3	冒認京政府代表怪聞
page 6	閩南最近軍訊
page 6	整理內債之進行
page 6	聶憲藩被迫辭職
page 6	聯安船燕梳案仍判被告得直
page 6	英議院研究退還庚子賠款問題
page 6	打架案
page 6	被控阻差辦公
page 6	顛犬傷人
page 6	被控以石擊人
page 6	小童摸竊判監
page 6	刑名案
page 6	法國與遠東之無線電不通
page 6	日皇儲東旋
page 6	蘇維埃政府向意購飛艇
page 6	英國生活程度之近觀
page 6	工人三百六十萬名減低工值
page 6	湖南駐滬代表之談話
page 6	趙恒惕解決時局之要電
page 6	王占元去職通電
page 6	奉系分裂之近訊
page 6	免王令發表之經過
page 6	調停湘鄂之要人通電
page 6	趙恒惕限　下蒲　
page 7	祝捷會待陳炯明回粵舉行
page 7	維持舖底會之進行
page 7	各行工人請求救濟
page 7	軍事要聞彙誌
page 7	合興昌兵輪兵士被團勇轟斃續聞
page 7	反對三鳥厘續誌
page 7	石灘粵軍譁變原因
page 7	續誌第二軍招兵之騷擾
page 7	廣威輪船搜獲劫匪續誌
page 7	一師人員毆斃村婦
page 7	茶居罷工之影響
page 7	招考北京清華學校插班生
page 7	投變華安公司商人產業
page 7	嚴緝漏稅紗綢
page 7	舉報官產例誌
page 7	瑣聞一束
page 7	銀價
page 7	西商會聚會
page 7	風報
page 7	羊城學生赴法留學
page 7	陳泰記來函錄要
page 7	被控意圖賣良為娼
page 7	軍火案
page 7	澳門茶居西家行要求加工續誌
page 7	第一影畫場控夥伴案
page 7	銀坑水又不能運載到澳門
page 7	九如坊開影長畫
page 7	有心人來函節錄
page 9	中國破產期之說明
page 9	小幡日使之重要談話
page 9	美國贈我萬國書庫目錄
page 9	朱啟鈐到處犯借款嫌疑
page 9	中日國民對太平洋會議之冷熱觀
page 9	優林抗議與張使駁覆
page 12	省報所述　
page 12	祝捷大會尚未定期舉行
page 12	省署對於選政之佈告
page 12	孫文電獎陳炯明
page 12	罷工各行聯合之大請願
page 12	省報之桂省戰訊
page 12	舉報何惺常產　
page 12	汕頭嚴禁豬仔出洋
page 12	函電　　之教育註冊　
page 12	關於證券交易所之趣聞
