page 1	英國態度須硬透
page 2	汕頭形勢頗緊海外Ｘ艦突增五艘決定強制疏散人口
page 2	江南我克常熟無錫我軍包圍鐵路線
page 2	撫順釜山煤礦爆炸死傷工人數十人
page 2	劉建緒部衝入杭郊三堡Ｘ偷渡錢江南岸被擊
page 2	滇省獎勵出口貿易若干種貨物出口規定的予補助費
page 2	我軍迫近廣州西江一帶情勢轉緊Ｘ強渡古勞受重傷
page 2	我攻岳陽部隊迫近新牆
page 2	名將吉星文並未逝世吉氏仍在前方
page 2	俘虜供詞痛恨軍閥財閥預料我國必獲勝利
page 2	中常會修正國參會會期及議員任期六個月開會一次會期十日
page 2	偽幣跌價換我法幣偽百元貼水二十五元
page 2	晉南之Ｘ增強各處工事並揚言於明日向我反攻Ｘ發表豫北Ｘ亡慘重
page 2	傷病將士自動獻金政治部傳令嘉獎
page 2	蘇聯援軍擴大援助範圍派軍事人員來華服務
page 2	Ｘ艦截翰林英輪
page 2	美艦抵滬
page 2	工部局對桑森氏擬向日提抗議
page 2	馮增山殉職偵察Ｘ情被捕受刑罵Ｘ至死
page 2	國府公布出差旅費規則
page 2	Ｘ佔復旦大學
page 2	豫省參政會下月首次會議
page 2	桂林行營政治部令多寄郵票給士兵以便前線將士得與家屬通信
page 2	羅國外長抵巴黎商討法羅間有關問題暨國際間一般時局談話
page 2	滬Ｘ重申取締抗日言論
page 2	克白石嶺贛我大捷奉新之Ｘ被我包圍高安城殘Ｘ已被我完全肅清
page 3	美擴充空軍計劃已由總統簽字飛機總數增加至六千架所需經費共五千萬美元
page 3	蘇聯外將訪羅國
page 3	德艦隊一部駛抵葡海
page 3	軍委會編發戰地宣傳綱要三揭破Ｘ以政治掩飾武力侵略陰謀鞏固各地政權使Ｘ被包圍而崩潰
page 3	戰地宣傳要點
page 3	波蘭政府報稱無論任何一方不能改變但澤地位凡有損波蘭行動波蘭必予抵抗願根據德波協定討論但澤問題
page 3	美艦隊大部調太平洋
page 3	美將趕築海空軍根據地要求國會撥經費
page 3	比付全權內閣俾完成各項軍事措置
page 3	日本人民反對與德意締結軍事同盟倫敦泰晤十報所載消息
page 3	倘大戰爆發香港菲島平安美國上議院議員麥亞部長之談話
page 3	美國水手主張對日禁運貨物
page 3	紐西蘭財長定期月底赴英討論關稅率問題
page 3	英地中海艦隊一部開赴希臘
page 3	出席下議院張伯倫解釋徵兵理由目的非係挑戰實係防止戰爭英政府將再提出軍事訓練案
page 3	擴充軍備
page 3	應付大戰
page 3	對外開戰
page 3	對英實施徵兵各方態度不同法美滿意德意幽默
page 3	危邦不立德國學者紛逃美避難美內務部長認為美國之光榮
page 3	為輪船泊青島辦法顯然對外輪特別岐視英政府因此向日提出抗議
page 3	利物浦發生三爆炸案
page 3	蘇聯突然關懷保加利亞保人對蘇此舉認為意　深長
page 3	美政府預謀解決戰時航運畢德曼與車務院人員會商中立法修正問題
page 3	英尚無保證挪瑞芬意因該各國未遭受威脅
page 3	德南談判順利已就兩國之利益成立廣泛之協定
page 3	全世界注視中希特勒定今日在國會演說演說詞已起草完峻或將拒絕羅氏主張
page 4	免費交際電報每人限拍一次
page 4	四邑商工總會董事出發勸捐
page 4	中市肉食攤位租價多超過二百元
page 4	優生學會年會
page 4	本港礦業旺盛
page 4	防空班考試揭曉
page 4	吉永戰區難民移殖協會報告修築公路之成績三個月內築成公路五千尺每日工作九小時成績極佳
page 5	單水公益淪陷經過
page 5	Ｘ擾瀧水圖抄會城
page 5	Ｘ艦兩艘駛至荻海
page 5	昨日下午續接專電
page 5	我機在新會上空與Ｘ激戰詳情補述
page 5	東江軍事近訊莞龍之Ｘ昨又增加我方長官之重要會議
page 5	南岸長官召開會議
page 5	河南娛樂場之炸彈傷人案
page 5	我克復潭洲後袁帶率隊襲凰閣Ｘ營
page 5	Ｘ機Ｘ艇窺伺中山　區
page 5	一區各部游擊隊增強政治工作軍民　成　氣
page 5	我游擊隊活躍中海南島維持會成立難
page 5	桂省民眾慰勞南路守軍
page 5	粵省奉令恢復禁煙委會
page 5	潮汕形勢緊張中疏散人口物質之催促南澳拿獲漢奸六名
page 5	疏散情形
page 5	南澳捕奸
page 5	切實準備
page 5	Ｘ查外輪
page 5	Ｘ軍紛援粵北我軍砲轟江村Ｘ陣
page 5	軍委會派員來粵檢閱壯丁
page 5	省新運會節約實施辦法
page 5	粵省籌設五個新蠶區
page 5	Ｘ犯單水口公益埠之劇戰我圍攻會城部隊不至受影響Ｘ又向隴水進犯圖側抄我軍荻海方面昨晨發現Ｘ艦兩艘昨下午接專電單水口Ｘ被擊退
page 6	一別矣潮安
page 6	南潮安到興寧
page 6	番禺我英勇游擊隊在浮蓮山兩次襲ＸＸ傷亡數十人我奪獲糧械無數
page 6	李務滋關心難民糧食電請港　邑僑購辦洋米平糶
page 6	中國青年救護團過汕一瞥起卸花學藥品一箱失慎爆炸
page 6	李漢魂發表告廣東全省黨員書三
page 6	惠屬各地盜賊蜂起縣府嚴令剿捕
page 6	粵衛生處派員推行種痘
page 6	Ｘ機昨又窺伺中山
page 6	高一分院移遷揭陽地方法　則仍在汕
page 6	廣州灣瓊屬僑胞救濟瓊崖難民
page 6	欽縣軍運代辦所已成立
page 6	免稅米額運汕卅五萬擔米商從中取巧米價未見平抑
page 6	吳良弼本派調查惠陽災情
page 6	布告禁捕田雞
page 6	到新省會去
page 7	容十萬人之大隧道
page 7	香港仔區可望繁榮
page 7	全部工程十月完成
page 7	英駐華艦隊集中本港戰艦之多亦前所罕見
page 7	本港政府未勸居民儲糧
page 7	佛山輪昨返港載搭客逾千名
page 7	復旦校友開跳舞游藝會籌募相輝堂建築費
page 7	緊急燈火管制演習下月中旬舉行市區人口過多港府擬設法疏散並限四個月訓練消防員一百名
page 7	捐金購債彙誌
page 7	美增建九新輪
page 7	工程專家向港府獻議闢建偉大防空隧道由市區直通香港仔長萬二千尺戰時可避空襲平時為交通捷徑
