page 1	中日兩民眾之共同責任
page 2	寶山一帶宣佈戒嚴
page 2	蔣定今日接見川樾
page 2	佐籐奉召昨晨飛京
page 2	桑島公畢離京返滬
page 2	英報著論痛斥日人
page 2	孔財長暢談對三國貨幣協定觀感解除國際匯況糾紛穩定幣價我國對於此舉自當盡力贊成
page 2	宜昌發生大火災區延及一方里焚斃生命多少未確知
page 2	同蒲隴海兩路雙十開始聯運
page 2	鎮江報界發表宣言論列最近中日局勢中日兩國願其俱存不願其俱亡真正親善之實現宜有根本覺悟
page 2	時局愈趨險惡各國駐華防軍當局會議決定外僑自衛方策閘北居民昨又大起恐慌英法租界旅店利市三倍運輸汽車往來不絕
page 3	宋與田代商定經濟提攜計劃興中公司資本規定增加十倍
page 3	我國代表當選國聯會副主席
page 3	中央國府合併紀念　慶各國使節紛紛晉京準備參加國慶大典
page 3	英國華僑購機捐款祝壽
page 3	童軍大檢閱今日行開幕式出席童軍一萬餘人
page 3	全國首腦會議將在首都舉行
page 3	首都軍警當局力維地方治安
page 3	雙十節大檢閱將在京畿舉行
page 3	中日談判期間日軍大舉示威
page 3	宋哲元定日內出巡冀南各屬
page 3	華府約十九條英主繼續維持
page 3	閩捐稅監委會通電擁護所得稅制
page 3	成渝鐵路決定年內開工材料已由滬起運
page 3	華中運動會各省選手今日可抵長沙長沙市全體軍警昨舉行國術會操
page 3	總稽查處決於週內遷津
page 3	川禁煙特派處召開結束會議今日正式結束
page 3	錢塘江觀潮團抵漢遊南嶽後返港
page 3	贛本年儲穀達百四十萬石
page 3	滬市昨舉行九屆集團結婚參加新夫婦一百對
page 3	戴季陶致祭胡故主席
page 3	滬各界籌備慶祝全國統一暫定雙十日舉行
page 3	蘇省黨部開特派員會議陳果夫政績昭著建石塔以資紀念
page 3	西政府軍以飛機助戰進攻沃維杜城無功叛軍進攻馬德勒附近軍港亦失敗
page 3	英財相張伯倫演說對中國進步表示同情與欽佩世界和平希望未可樂觀英國防經費將大量增加
page 3	金問泗在國聯演講中國復興現象
page 3	英　報業鉅子談歐洲將有大戰時期不出一年內
page 3	倫敦各報批評中政府復理兩種公債
page 3	意國否認變更對外政策
page 3	捷克內閣通過捷幣貶價
page 3	英法將聯向國聯提議訂立商務協約荷瑞各國均表同情預料此案可獲通過
page 3	澳代表贊成三國貨幣協定
page 3	意捷貨幣貶值　德國證券漲價
page 3	綏匪侵綏戰將爆發閻傅約定向匪迎擊刻匪我兩軍相距不過四十里我軍陣線極固料匪決難得逞
page 4	省港兩埠網球會下月舉行埠際比賽雙方業已約定條例亦已修妥
page 4	雷豫社征澳排絨球隊獲全勝昨已離澳凱旋
page 4	雙十節記者球賽省記者練習完竣
page 4	全港公開排球賽五隊參加比賽十二日開代表聚會
page 5	閩省加緊剿匪工作閩西南匪共竄擾粵境黃濤部又有調閩西說
page 5	閩西匪部突竄漳溪
page 5	閩南匪軍流竄饒平
page 5	黃濤部有調閩西說
page 5	中央將實施粵省之會計獨立
page 5	范其務談行政公署成立期兼任何縣未奉令
page 5	航政局派員赴梧州設辦事處
page 5	粵關施行進口貨蓋嘜頭號數章程報關行請改善困難之點並函商會轉知各行應付
page 5	雙十國慶閱兵大典之佈置余漢謀任閱兵官張瑞貴任指揮官受檢閱陸海空部隊共約萬二千人十日上午八時半在燕塘操場舉行
page 5	檢閱布置
page 5	閱兵體節
page 5	明日預操
page 5	汕規矩堂故址經由汕市府贖回
page 5	繆培南李振球七號晚偕林時清等
page 5	胡故主席漢民之治喪會
page 5	桂省會決遷桂林
page 5	中央當局以粵桂相繼奠定
page 5	軍委會高級顧問林振洪
page 5	翁丘等部撤離粵境後譚邃派隊入駐欽靈防桂粵國防之聯絡佈置
page 6	汕市某人大賭窟因我設法禁止而散夥
page 6	陳誠昨乘車赴港
page 6	建設廳長否認設實業廳各縣設經建支會
page 6	外國歸客談某絲推銷之陰謀
page 6	經建分會加聘委員專員
page 6	卜筮星相仍欲保留耶昨呈廣州行營請求救濟對命運之迷信尚多辯論之詞
page 6	河南膠廠工人被機輾斃分屍慘聞
page 6	戴季陶離粵北返考試院長兼全國童子軍總
page 6	稽核所與運署合署辦公之實行
page 7	召請各界審查名冊
page 7	變更發票選舉辦法
page 7	通函各會依法投票
page 7	澳門僑胞改期投票
page 7	購機勸捐團昨繼續出發總數已達十九萬元捐財捐物者異常踴躍鐘聲社亦將出發募款
page 7	勸捐委員團昨繼續出發
page 7	有錢者捐錢無錢者捐物
page 7	鍾聲慈善社願挨戶勸捐
page 7	挨戶勸捐法昨日已訂定
page 7	陳誠來港訪蔡廷楷昨晨乘車來即晚乘輪返省
page 7	旅店中兩人墮樓慘死兩死者均非店中住客
page 7	彌敦酒店
page 7	大羅仙店
page 7	三賊深夜劫漁艇
page 7	何犖昨已出洋說
page 7	大選情形特誌
page 7	廠商聯合會可捐得萬元
page 7	南華體育會決舉行募捐
page 7	報界對獻機事擴大宣傳
page 7	五信公司亦慨捐一千元
page 7	九龍又有兩院演戲籌捐
page 7	高陞戲院亦捐座價購機
page 7	　選港辦事處公布選舉候選人之辦法九日審查各會所送名冊十六日投票十七日開票
page 8	畢打臣
page 8	布力架
page 8	曹善允
page 8	羅文錦
page 8	鐸威路
page 8	輔政司
page 8	重大工程不宜舉債
page 8	各項建議將可實行
page 8	用具視察員之職責
page 8	教育計劃已漸改善
page 8	取銷逾額水費問題
page 8	香港法例籌備重刊
page 8	馬萊討論預算辦法
page 8	本港討論預算辦法
page 8	港總督
page 8	驗船人員不能裁減
page 8	組會研究政費預算
page 8	此種辦法值得仿效
page 8	準備慶祝英皇加冕
page 8	中英兩國保持友好
page 8	定例局昨日會議明年預算案通過二讀會各無官守議員對該案均有批評港督與輔政司亦逐點詳加解答
page 10	人民公意
page 10	會員大會
page 10	競選手段
page 10	日本貴族視察團定十四日南來
page 10	海壇輪血案訊結陪　員僉認印護勇發槍合法
page 10	杜其章未參加競選
page 10	介紹胡弘成氏候選
page 10	教育界中之競選人
page 10	華商會籌祝國慶
page 10	朱九江先生生朝
page 10	圖劫案昨日開審
page 10	李尚銘談國大選舉問題十團體介紹胡弘成為候選人
page 11	禁煙督察分處已分別成立
page 11	石龍貨渡中途被劫
page 11	懸民請遷火油倉呈
page 11	江門商會聯席會議
page 11	五區之謀財害命案
page 11	爭埔釀鬥制止暴動
page 11	懲戒秘營醜業新法
page 11	環山頭挑坑之糾紛
page 11	購穀貸給各區農民
page 11	中山二區長警搜煙被圍困擊傷并奪犯二區分局長來岐報告
page 11	婦人尚知救命為重
page 11	佛山舉行　運提燈
page 11	紀中學潮之餘波仍有一部份學生繼續罷課
page 14	趙雷為人
page 14	日人販賣
page 14	懷疑於殷
page 14	離殷居津
page 14	遽被推倒
page 14	華北經濟合作日人鐵路計劃軍事作用超過經濟意義
page 14	日方報告
page 14	另一消息
page 14	貨物出口
page 14	軍事方面
page 14	包圍外蒙
page 14	周佛海求學時代辛酸的回憶至今保持著學生態度
page 14	內蒙富源
page 14	該項羊毛
page 14	倒殷擁殷派別分歧冀東偽組織內鬨趙四皇上與池宗墨合作謀推翻殷逆汝耕紛求日軍部以謀自保
page 15	美麗的建築
page 15	棉花的出產
page 15	工人的生活
page 15	茶館與市場
page 15	政治的集權
page 15	新經濟政策
page 15	泊米爾高原秘都薩馬爾間風光中亞細亞神秘處所現在居然蘇維埃化
