page 1	汕戰之認識
page 2	Ｘ軍攻佔汕頭實無軍事價值
page 2	汕外僑不撤退外艦續駛抵汕
page 2	贛北我軍奇襲獲勝破壞公路電線殲滅Ｘ軍百餘
page 2	Ｘ在佔領區舉行反英運動津平青寧漢等處作示威運動並有Ｘ機參加分散反英傳單
page 2	Ｘ傳蒙滿邊境昨發生大空戰蘇聯飛機百五十架參加
page 2	外籍觀察家視察晉後談日軍如網中魚鐵路以外即我游擊隊勢力因糧於Ｘ軍需品不虞缺乏
page 2	我軍克復萊陽擊斃Ｘ偽三百餘
page 2	日圓價今日再跌
page 2	浙各縣市黨部書記長電蔣總裁致敬並對前方將士懇切慰勞
page 2	浙省偽民廳長被剌重傷
page 2	英皇英后昨返抵倫敦首相提議由國會上書於英皇表示竭誠歡迎英皇英后回國
page 2	侵汕之Ｘ分四路進犯達濠楊溪等均有激戰我出擊部隊克庵埠東南之梅溪
page 3	法海軍界重視星洲會議他日太平洋一旦發生戰事時星加坡軍港將任美艦隊利用
page 3	美眾院通過海陸軍費補充預算案數目龐大為美承平時所未有
page 3	倫敦金融界討論遠東貨幣各問題日元價跌在引誘遊客到日
page 3	日本所發行中國事變公債達六十三萬餘日元
page 3	美以縝密態度研究遠東局勢美輿論界一致贊成對日採用經濟壓力
page 3	英保守黨外委會討論遠東問題經過情形未發表
page 3	英當局向日提出最後通牒限期釋放史蔑士
page 3	法外長龐萊報告遠東局勢決在外交軍事上作一切措置以對付　諸武力之任何企圖
page 3	資源匱乏Ｘ國強徵五金人民切齒憤恨
page 3	Ｘ鼓勵外籍巡捕學習日語學習者津貼鉅款
page 3	天津事件英擬在東京方面交涉Ｘ偽舉行反英大會英界加緊戒備英界鐵絲網放生電一華人觸電死
page 3	英各議員質問政府
page 3	天津英僑不斷受辱
page 3	津Ｘ商人極感不滿
page 3	垣曲皋落鎮經劇戰後淪陷但預料該處之Ｘ決難立足最短期內必再蒙重大打擊
page 3	鼓浪嶼被封鎖糧食大感缺乏各國領事抗議亦被日方拒絕
page 3	偽軍黃福泰率部反正冀省主席鹿鍾麟派員攜款往撫慰
page 3	英法新提案竟被蘇聯拒絕英法蘇談判暫停頓
page 4	賣剝皮果被罰
page 4	導游女失竊案疑犯押候再審
page 4	文藝界開座談會
page 4	劫艇疑犯提堂
page 4	防空班將考試
page 4	女新運會捐訊
page 4	浸信會開佈道會
page 4	港澳旅客爭領防疫注射證書本港衛生署昨發出數百張今日設分處工作以免擠擁
page 5	三灶Ｘ軍突告增加
page 5	中山沿海Ｘ艦減少
page 5	Ｘ小艦仍四出活動
page 5	新鶴路我突起擊Ｘ
page 5	我擴大江會遊擊戰
page 5	Ｘ犯畢村被創十二集團軍再逼新街陶營良田間襲Ｘ死傷百餘兩路反攻大逕　戰情激烈
page 5	我軍三部反逼新街
page 5	良田伏兵痛襲Ｘ兵
page 5	大逕坳Ｘ被我進攻
page 5	粵省舉辦農工商業貸款款額定四百萬元決於下月內實行
page 5	定安海面私梟猖獗團隊協助緝私
page 5	粵省航務諮詢處已成立
page 5	太平Ｘ軍紛紛調汕Ｘ機咋偵察東江各地
page 5	Ｘ艦駛過瓊州海峽迭窺雷州半島沿岸Ｘ航空母艦去而復回徐聞東港形勢甚嚴重
page 5	Ｘ母艦仍泊潿洲島
page 5	Ｘ艦窺伺徐聞東港
page 5	圖偷攝三娘灣地形
page 5	儋縣商船中途被搜
page 5	免費運載義民來港
page 5	我機隊襲廣州
page 5	深圳軍警督察處易人歐陽彬張叔廉任正副主任
page 5	教部實施精神總動教育訂定辦法八項
page 5	省黨部嚴限團體遷韶
page 5	江會Ｘ大部撤退後連日派機窺察我反攻三灶島Ｘ兵似準備赴汕新鶴路我軍乘夜攻Ｘ
page 6	中山沿岸抗Ｘ戰士籲請各界捐助藥物港聯隊長昨發出通啟呼籲
page 6	南海深村鄉民痛挫Ｘ軍遊擊隊襲白沙橋殲Ｘ
page 6	張炎召各界討論疏散人口並決定救濟米荒辦法
page 6	西南Ｘ軍一部撤退
page 6	廣海自衛團舉行演習
page 6	Ｘ步騎隊猛犯澄邁
page 6	粵南免稅洋米陸續運入惟米價迄未見回跌張炎召開譚話會詳商調整辦法專署扣留違令高價私糶之穀米
page 7	閩僑精神動員定明日行國宣誓禮
page 7	港九僑團會議討論紀念七七事宜
page 7	戰時貨物保險保險公司責任較重大貨抵內地七日內仍須負責
page 7	私酒案仍押候
page 7	港府決組後備軍官隊徵求僑港英人參加準備應付非常時期
page 7	洋酒伙食行捐金賑濟難民
page 7	少年斬傷兩人衝冠一怒為紅顏
page 7	潮州商會昨開緊急會議即席成立籌賑桑梓難民會決將汕災情電告海外同鄉
page 7	灣仔一人被刺
page 7	港僑救護團第六隊將出發
page 7	黃二南舌畫今日起公展三天
page 7	記者黃鵬出殯執紼者數百人
page 7	Ｘ迫外輪離汕英當局決置之不理富生輪昨照常開往那威輪昆明號由汕頭抵港載來中外難民百三十九人
page 8	昨日魚菜均告絕市
page 8	小艇偷運亦被截回
page 8	澳門禁令昨已取銷
page 8	陽江縣長請賑聯會贈藥
page 8	美電影女星歌羅利亞過港
page 8	廣大學生籌賑金素琴參加義演
page 8	米星如昨抵港徵集貨品運美展覽
page 8	八月一日停用舊鎳幣港府已陸續收回八成以上現流通市面者僅廿五萬元
page 8	大業主要求住客他遷
page 8	巴士誤撞石柱一老婦受驚暈厥
page 8	羅傑士將返英報告我國金融狀況羅在下期憲報將有意見發表李滋羅斯爵士有再度來華說
page 8	南華足球隊不敵仰光選手雨中行軍二比四失利
page 8	女籃賽義款昨已匯交國府
page 8	店伴報被賊劫
page 8	今日棒球聯賽西洋迎戰香港會
page 8	籃球表演賽聯隊球員昨經選出
page 8	澳門政府取銷糧食出口禁令濠江等輪　載大批蔬菜來港淡水鮮魚亦可望今日有運到
