page 3	潔局會議,昨日潔局?會馮劉兩華員皆未在列所議者曷巴馬繪則師代大酒店?求格外權利載起建屋宇不得高過七十六尺今大酒店擬修改加高至一,下車不慎,臬案,進退維谷,高枕無憂,俄使關心,俄國海軍總帥被擒,俄艦三十一艘轟溺,駐港總領事傳來東京三十號電云,日本東京廿九號電云,德儲君於六月六號與思化公夫人成婚,俄運船高麗已到,俄提督羅志士溫士奇似亦在被俘之列,倫敦市上之日本國票值價忽然昂漲
page 4	日本勝俄當為中國之益
page 4	岑雲帥紏參鹿傳霖
page 4	餅行能知團體
page 4	查核土布情形
page 4	自來水兼救火利器
page 4	封舖徹封幻態
page 4	閩省自辦路礦
page 4	奏請歸併衙門局所
page 4	奏請整頓各省警察
page 4	盛官保擬辭辦鐵路
page 4	刊發粵漢鐵路局關防
page 4	商務大臣往廈
page 4	海參威缺水
page 4	日軍在旅順搜獲可炭多數
page 4	內廷雜紀
page 4	挽留駐法使臣
page 4	核允福建船廠借?
page 4	刊行國立銀行章程
page 4	俄軍之禦
page 4	日本戰時船力增加
page 4	國家彩票不可行
page 4	大連灣暫不開放
page 4	博恭王安抵韓京
page 4	張督訂仕學院章程
page 4	陳　龍將調衝要省
page 4	張侍　意欲回國
page 4	滿州俄軍佈置
page 4	英調哲參贊往管非洲華工
page 4	奏變通竊盜條?
page 4	商議奉天善後
page 4	英日同盟　會
page 4	日捕海賊
page 7	李覺出身傳
page 7	周馥
page 7	陳瓊
page 7	招子庸
page 7	得家書言內子錦紋臥病羈人不能歸也百感　觸漫成高陽臺一
