page 1	蘇芬媾和以後
page 2	嶺東日軍全線崩潰揭陽方面我克古巷向楓溪推進
page 2	同蒲路我軍克大牛店車站晉南我軍猛襲侯王張店日軍困守待援極為恐慌
page 2	西北工學院成績優良院長賴璉捐渝談話
page 2	滬租界籌劃平抑物價或將與日談判要求通力合作
page 2	渝各界進行建無名英雄墓
page 2	關於開放長江日本絕無誠意日謂第三國繼續援華使長江開放無期　擱
page 2	財部實行改組鹽政直接管理四川鹽池
page 2	徐州附近激戰日受重創
page 2	國民教育會議二次大會通過要案多起
page 2	華西大學創辦人畢啟博士決退休返美定本月廿二日離蓉赴渝接受國府頒給采玉勛章
page 2	燕大校長司徒雷登抵筑
page 2	中國地質學會在渝舉行年會
page 2	海外部統一海外行動以後各機關派遣人員出國活動須到海外部先行接洽以便協助
page 2	日俘虜談願與我攜手打倒日閥並希望歸化為一中國人為中日永遠和平而努力
page 2	泰僑胞黃俊卿臨終不忘抗戰囑由遺產項下提萬元助軍需
page 2	薛岳在南岳籌建忠烈祠使與名山共千古
page 2	日運輸艦經東流被擊沉
page 2	南洋丹商助我鉅款救濟中國難民
page 2	日軍在中山任意殘害澳門派防軍駐守邊界桂南邕欽路我軍克復十二壇
page 3	倫敦方面批評蘇芬和平局勢芬蘭須已確為強鄰屈服聯軍實未遭遇如何失敗
page 3	德國積極準備作大規模進攻已徵用各鐵路運輸軍實各地臨時建築許多醫院
page 3	芬蘭總統發表宣言
page 3	前線芬軍聞和驚訝
page 3	芬蘭外長廣播演說
page 3	印度議會發生兇案奧德維爾爵士被剌斃項政府印度事務大臣等亦受傷
page 3	芬蘭仍需瑞典協助
page 3	維里斯離英經巴黎赴羅馬再與墨索里尼等會面三月底可返回華盛頓
page 3	瑞典謂蘇條件苛刻
page 3	芬蘭政府告民眾書
page 3	英美分別通知日本不承認汪政權英認識援華之重要性竭力求實現對華貸款
page 3	美方抨擊蘇芬協定
page 3	德輪山漢號自動擊沉
page 3	意國已有準備應付非常事變各軍事區建築砲壘百萬軍隊配備武裝
page 3	巴黎輿論責備瑞典
page 3	英蘇衝突已可避免
page 3	英眾議院將開會辯論戰爭問題
page 3	潘公展今日廣播演說題為重建上海之光榮
page 3	贛北我軍連日分路殺日
page 3	挪威人士引為快慰
page 3	蘇聯可以積極援華
page 3	天津俱樂部發生大火
page 3	政院會議通過各項要案
page 3	第四戰政治部發動討逆鋤奸大會湘全省各界大會來陽舉行當場提議開除周佛海湘省籍
page 3	德國藉端抨擊英法
page 3	蘇聯發表最後軍報
page 3	芬將組臨時政府然後批准和約瑞典挪威芬蘭三國將締結一防守同盟
page 5	日仍阻民眾回前山
page 5	日佔關卡構築砲壘
page 5	石龍增到日偽四出竄擾在兩頭塘被我截擊莞城日偽戒行甚嚴
page 5	東江禁牲出口昨十四日起實行
page 5	大黃圃由袁部收復
page 5	白蕉昨晨戰事甚烈
page 5	日軍限古角旂日旂
page 5	日在五區圖組偽會
page 5	日軍圖攻紅灣不逞
page 5	寶安稅局裁撤船戶漁艇苛捐
page 5	制止粵北各縣非法增加鹽價曲江鹽價已規定
page 5	順德米價飛漲各鄉糧食多被掠奪
page 5	嶺東最近戰訊揭陽城郊之拉鋸戰日軍不能矗工犯梅縣豐順我據有利地勢
page 5	揭陽城郊之拉鋸戰
page 5	豐順鞏固梅縣安全
page 5	汕尾日艦似有企圖
page 5	中山又增到日軍數百昨佔三廠趕築炮壘並迫石角分卡堅日旗白蕉昨晨戰事甚劇烈大黃圃已由袁部收複日軍誘迫五區組偽會不逞
page 6	日機轟炸保亭白沙
page 6	王毅電告各路戰情
page 6	省行增設寶安匯兌所
page 6	台山發現日艦海晏一度緊張
page 6	東線日軍續增四出竄犯大塘尾日擾鳳凰山被誘殲我軍挺進上下林攻入羅崗日機頻擾龍博圖大舉蠢動
page 6	似有醞釀大舉之勢
page 6	增城外圍我軍出擊
page 6	粵青年團派出四處職員
page 6	增從間福和大塘尾
page 6	粵長途電話協助軍事得力省府嘉獎管理人員
page 6	省府詳查戰地農村損失提倡小工業
page 6	王穀電告瓊島戰情日機狂炸保亭白沙犯東由市日軍受挫北黎日軍亦被擊潰我策動全瓊軍民奮起抗戰
page 7	戰稅法案擬製經過
page 7	四項戰稅開征辦法
page 7	各項新稅收入估計
page 7	羅文錦對該案意見
page 7	李樹芬作贊同表示
page 7	五百萬元建造新船
page 7	對英獻金一十萬鎊
page 7	英國政府表示感謝
page 7	學界響應勞軍今日開始總動員募捐
page 7	澳服務團昨日招待各界報告參加抗戰工作
page 7	孤軍被毆斃命一人被控謀殺罪
page 7	立法局昨會議戰稅法案已通過二讀羅文錦仍認不適宜於本港環境希望所定稅率能減少不良影響規定商店營業時間案三讀通過
page 8	全港佛教徒明日公祭蔡元培先生全國追悼會擬五月四日舉行紀念基金徵募辦法亦已商定
page 8	兩年來東華三院之工作周兆五存督府　告
page 8	一經費問題
page 8	老婦被控為孕婦墮胎以兩竹枝塞入孕婦下體孕婦受手術後腹痛異常
page 8	摩登女子十七人坐囚車山村道破獲賭局
page 8	二病人日增
page 8	華民司與西商會函復華僑廠商解釋量洲禁貨入口問題
page 8	醫務委會
page 8	西商會　函
page 8	華民司覆函
page 8	船舶須注意封鎖港口信號
page 8	四院務興革
page 8	碼頭工人跌斃
page 8	九龍貨倉公司獲利百餘萬元定期召開股東年會
page 8	太陽奇象
page 8	童軍週年大會港督到場訓話
page 8	深水埔圖劫案昨提堂押候四十八小時再審
page 8	車輛失事統計去週死四人傷十八人
page 8	小販工商會義款昨已匯渝計國幣四千元
page 8	長沙灣街坊擇定碼頭地點呈請港政府採納施行
page 8	港督召見三院新舊總理對與革事宜有所訓示
page 8	業餘社演劇籌賑
page 8	中西聖公會賣花
page 8	工程師學會常會
page 8	住客聯合會　請華人代表贊助減租轉請港府賜予合理解決
page 10	本星期日督憲杯第二戰華聯隊陣空排定
page 10	華人出發徵求
page 10	二十八年全國各關對外貿易上海以及西南各關均已出超華北及淪陷區各關依然入超
page 10	體協會籃球部昨日舉行會議
page 10	總會加緊籌備三次東南大戰入場券將提前發售
