page 1	現階段之抗戰形勢
page 2	我在台莊再殺敵二千台莊墟內已無敵蹤津浦正面我克禹城濟南敵動搖台莊北面殘敵數行響嶧縣逃竄
page 2	滬江大學校長劉湛恩被刺斃在戈登路口劉頭中一槍斃命暴徒三人警士奮勇捕獲一人
page 2	津浦南段我向懷遠猛攻牽制敵軍使不能增援津浦北段劉府敵軍被我截擊斃敵廿餘人
page 2	魯西濮縣城內已無敵蹤
page 2	被俘敵軍懺悔自白敵軍之敗首在輕敵自承我軍勇氣實百倍厭戰日軍感我官民之優待悔聽長官謠言
page 2	我英勇抗戰迄今殲敵三十萬餘各線合計現餘敵軍僅二十餘萬敵國內軍民厭戰情緒日見普遍我兵愈戰愈強敵兵愈戰愈弱
page 2	我空軍飛浙北轟炸杭州敵陣陸軍渡江進擊嘉杭路海鹽空軍出現滬上空盤旋良久皖南我軍克復焦家灣
page 2	滬工部局副總董屍體在黃浦江尋獲失蹤十餘日果然遇害屍無傷痕定今日檢驗
page 2	晉南我軍克復高平我軍現向北挺進敵機飛潼關投彈傷斃平民十一人
page 2	台莊正面殲滅戰五日間完成
page 2	台莊殘敵決難漏網
page 2	我軍奪獲勝利品無算
page 2	台兒莊巷戰一佳話
page 2	敵國內政已呈紛擾
page 2	手刃敵人引為快事台兒莊殘敵完全殲滅湯恩伯關麟徵立處決書然後殺敵渡黃河側擊津浦路部已直逼濟南
page 3	英下議院開會議員質問政府兩要事日在華暴行政府有否提抗議日作侵略戰奈何許軍械運日外次謂已屢要求日保護英在華利益敵在我各地暴行英方已獲充實證據
page 3	馬寅初演講法幣問題抗戰後敵人陰謀破壞卒不果法幣即使跌價於我有利無害
page 3	英對承認意帝國案將以國聯意旨為依歸國聯滿意英方態度
page 3	法財政法案眾院通過內閣有被迫辭職之虞
page 3	敵軍失敗事實在國內愈統制愈流傳敵社會人心浮動反戰空氣濃厚某外人由日返滬證實此種情形
page 3	漢藥物徵募委員通電籲請國民盡力前方忠勇將士躬昌鋒鏑浴血苦鬥後方同胞應予物質接濟精神慰勞
page 3	美菲改獨立法經濟獨立展延十五年
page 3	美巴納艦損失日方允予賠償
page 3	遠東評論歷史上空前大移民江南內移難民千六百萬
page 3	北歐四國外長舉行會議
page 3	法駐外國使團昨日舉行會議討論中歐問題
