page 1	遠東與荷印
page 2	陽晉一帶我獲重大戰果先後克蘇家庄匠村等據點殘日　線崩潰我迫近陽城
page 2	南昌西郊殲日軍五百餘日三十三師團團長重傷
page 2	黃勗吾遵父囑捐款救國國府頒給獎章
page 2	南僑第二團行抵耒陽
page 2	王曉籟抵渝
page 2	合肥縣長張敬文盡忠取義國府明令褒揚
page 2	羅斯福致意首相函係屬私人性質意首相現已悉心研究料意難長久維持中立
page 2	美駐夏威夷艦隊決長駐太平洋將有一部調往大西洋說美海軍部據謂未有所聞
page 2	羅國當局嚴防內奸
page 2	田漢編製長沙會戰影片
page 2	駐美日使訪赫爾後無聲言不侵東印願與東印繼續商務關係
page 2	順德偽軍收場
page 2	豫鄂會戰影片將在渝放映與日激烈戰鬥一一收入鏡頭
page 2	華里拉氏逝世享壽八十一歲
page 2	各國駐華防軍不受歐戰影響無論歐戰將來如何擴大亦決維持目前和平局面
page 2	滬糞夫等罷工潮擴大糞便遍地臭氣四溢
page 2	何部長談鄂北勝利證明我軍愈戰愈強棗陽殲日無法逃脫再起巷戰湘北我軍攻入桃林斃日盈千
page 3	推進地方自治之基本義務六總裁對川省地方行政幹訓班訓詞
page 3	德機械化師團衝破法國防線現法軍集中雄厚力量打擊深入法境之德軍
page 3	德統帥部報告德軍進入比京比政府遷離畢魯拉些繼續維　其獨立地位
page 3	邱吉爾飛巴黎會商軍事大計料聯軍將施行新戰略德軍向隆城方面推進
page 3	英機大舉出動襲德軍事目標破壞敵後方浮橋道路德軍機械化部隊重創
page 3	英海軍部發表援荷作戰經過護送荷國皇族人員出境助荷破壞建築免資敵用
page 3	蘇親德政策或有修改必要英將派專使赴莫斯科向蘇聯政府有所提議
page 3	匈決加速施行軍事動員
page 3	德在南非各口岸敷設水雷
page 3	德為求勝利準備巨量犧牲
page 3	拉此爾坦克車大戰德軍已被法軍擊退聯軍地位經此一戰已有轉機甘茂林令全體將士不得退卻
page 5	日軍三萬增到廣州
page 5	日偽四出強行拉伕
page 5	據某軍事家之觀測
page 5	各地日軍最近動態
page 5	嶺東我軍分路出擊衝入潮安城巷戰激烈池湖下寺激戰斃日百餘澄海偽軍犯程洋崗受創
page 5	分路突攻潮城
page 5	擴展侵略地盤
page 5	省務會議議決更調南海吳川兩縣長
page 5	桂行政保安會議討論保安與教育問題決定區團人員任免辦法將稅警撥歸保安隊編配
page 5	中山傀儡爭地盤開煙賭灣仔有絕糧之虞
page 5	四戰區傷兵管理處新處長已就任
page 5	各種紀念日召集辦法宣傳活動須先呈准開會經費務求節省
page 5	三水河口偽軍譁變焚日軍品庫被捕五十人全數被槍決
page 5	中山偽軍強奪關卡關員五人脫險
page 5	維護船舶安全南路當局劃安全港日艦一艘又擾陽江
page 5	廣雲公路日軍車被截擊
page 5	桂南我軍逼邕寧日軍炸斷浮橋阻我前進欽城緊張日駐重兵防我進攻瓊島白沙我軍襲南豐市得手陵水日軍北犯受挫連夜回竄
page 5	亭子激戰邕寧緊張
page 5	日艦移集瓊島以西
page 5	瓊崖日軍進犯不逞
page 5	廣州增到日軍三萬餘日偽四出拉扶之大騷擾西裝及長衫客亦難倖免日軍增到之軍事家觀測
page 6	從化日軍繼續北竄
page 6	花縣城南又起劇戰
page 6	我軍襲鐘落潭奏捷
page 6	北行抵韶的沿途印象炸後的惠州已昂起頭來戰時的韶關充滿著朝氣
page 6	踏入國門
page 6	淡水一夜
page 6	炸後惠州
page 6	訪問羅昆
page 6	河韶道上
page 6	四區專署統制運輸工具利便運糧接濟民食
page 6	三年以來日機襲粵統計
page 6	順德我游擊隊襲陳村羊額克上涌擊斃偽中隊長一名
page 6	衛生處籌設廣東振濟醫院經已擬定章程
page 6	北江日圖擴大蠢動猛犯花縣城反撲街口雞籠山日續竄青龍被痛殲我軍加緊出擊衝入鐘落潭
page 7	嚴禁擅藏電碼
page 7	輪船糧食供給
page 7	煤炭貯藏辦法
page 7	留港難民返鄉耕作遺送辦法已商妥
page 7	廈門日偽引誘閩僑僑委會通令防範
page 7	意大利領事談意僑未有一人離港女道士不致離開學校
page 7	日炸傷五漁人
page 7	中國抗戰已見勝利曙光首都建設均呈朝氣泰晤士報記者談話
page 7	港督羅富國今晨離港代督史美宣誓就職
page 7	賈乃錫昨赴滬
page 7	番禺會所撥款回鄉施粥
page 7	沙頭角破獲拐帶案男女犯四人昨被判徒刑
page 7	十王殿設水廁
page 7	陳戴不日放洋
page 7	本港當局下令統制輪船糧食供給儲煤十噸以上者須隨時呈報嚴禁居民擅自藏有電報密碼
page 8	獻議三點
page 8	商店防空
page 8	荷輪船公司否認荷輪二度來港集中名輪仍照原日班期來往
page 8	荷府並無二度命令
page 8	各輪照常由港開出
page 8	砲隊定期演習
page 8	港府之委任令
page 8	規定煉奶價格
page 8	利用無線電傳達金融消息無線電生三人被罰
page 8	秘密電碼
page 8	破案情節
page 8	瞞騙政府
page 8	誤陷法網
page 8	身為公僕
page 8	元朗小販會開會
page 8	廖大律師
page 8	金融貿易
page 8	全港工廠商店應速作各種防空準備防空處長施柏堅通告市民
page 10	宵來公開籃球賽甲組星島輕取銀聯乙組太古保羅奏凱
page 10	東方南征隊定期乘隊出發人選明日公佈
page 10	征越足球隊昨晨返港此行四戰勝負各二
page 10	棒球開鑼戲港啤出師失利岷甸奴旗開得勝今日中華戰工程
