page 1	中央積極完成黃埔商埠
page 2	中日一切問題川樾群賡續談判期尚待下星期始能決定各國在華使節將發聯合宣言日對我一面交涉一面加緊軍事活動
page 2	日傳我向英德趕購巨砲六個月後德砲可鑄好全數運華田代又召天津會議策動對華軍事
page 2	李思浩就冀察經委會主席開發華北經濟擬有計劃大綱行將按步做去內容暫不發表
page 2	華中運動會糾紛解決各項運動照常舉行第五日各項運動之成績
page 2	英國對華信用放款日外務省發表聲明謂此舉為英國買好中國之歡心
page 2	各地選舉尚未辦竣中央二十三次常會議決國民大會延期舉行展至何時舉行尚未確定俟各地代表依選出即行定期召集
page 3	叛軍領袖佛蘭哥自認進攻首都失敗蘇俄主張監視葡國海口制止各國運械接濟叛軍
page 3	日本明年度預算案藏相不堪軍閥壓搾龐大軍費竟佔總預算之半數藏相繞室徬徨勢將無術應付
page 3	韓將南下謁蔣孔等
page 3	施劍翹得赦後談話
page 3	廈大學生鼓動罷課
page 3	差陸軍長乘機遇險
page 3	西歐協定德願參加
page 3	田中抵津即謁田代
page 3	宋派代表南下謁蔣
page 3	各省市當局擁護所得稅制川省亦決如期開征
page 3	比利時重興軍備增強戰時中立力量英法安全地位將受打擊
page 3	津秦兩關稅收大受私運影響
page 3	閩向政院呈請發行建設分債債額九十萬元建設自來水用
page 3	行政院頒佈徵工服役辦法
page 3	汪案同謀犯張玉華解返京
page 3	就業訓導班行開學禮翁文灝代表蔣院長宣讀訓詞一題為就業訓導班創設的意義與教育之要旨
page 3	王世杰訓詞
page 3	吳鼎昌訓詞
page 3	蔣院長訓詞
page 3	林雲陔歡宴章嘉活佛
page 3	武昌乞丐亦捐款購機
page 3	中國音樂家蔡繼琨在日大受歡迎所著禰江漁火一曲被譽為不可多得傑作
page 3	王用賓由漢轉湘視察粵湘司法
page 3	定期今晨舉行
page 3	孟加錫華僑捐款購機壽蔣
page 3	我國對法郎眨價將受間接影響馬寅初之談話
page 3	日本重申遵守潛艇行動規定
page 3	美海軍部發表四強海軍實力以英國為最強
page 3	芳澤發表談話不信將有大戰否認日德訂結同盟中日必須成立諒解
page 3	美國總統競選羅斯福大受歡迎
