page 2	護法戰爭之是是非非訴諸國民
page 3	內務田文烈兩上辭呈財政高恩洪陸軍張紹曾無表示
page 3	閣員除內務田文烈赴津財政高淩蔚陸軍張紹曾農商盧信未　京外餘次第就職
page 3	九江領事團調解贛事主先停戰次議退軍條件吳佩孚有允意惟蔡成勳不肯退出南昌
page 3	薩鎮冰南下係赴香港
page 3	閩李厚基電京溫樹德將率海圻海琛肇和駛泊閩江
page 3	王寵惠昨宴各總長及兩院議長討論國是又定八日就兼代閣揆及教長職
page 3	盧信將閣員名單電唐紹儀請表示意見
page 3	潯陽變兵百餘竄鄂屬黃梅孔龍鎮勒款二千串旋聞防軍出堵遂竄宿松蘄春等處
page 3	蒙藏議員將補十人政府開單保國務院員五名可備當選參議員
page 3	南京接南昌電
page 3	黎令洪語某將軍謂國會已開俟內閣成立後倘魚電仍不能行即下野
page 3	漢口傳近因潯陽兵變有撤蔡成勳援贛總司令以孫傳芳代說
page 3	聞鄂省全省法團及各國代表二百餘人六日在青年會聯席議決電京保洛請速決鄂長問題
page 3	黎元洪派王懷慶赴保定請對新閣同意並請疏通吳佩孚蕭耀南俾湯薌銘到任
page 3	吳佩孚擬將洛陽大本營移鄭州　並令胡景翼部調駐武關屏蔽豫南又電蕭耀南接濟子彈
page 3	黎元洪擬任顏惠慶為財政委員會長董康為法權討論會長聞顏仍辭
page 3	聞王承斌派員到京綏路局候款
page 3	八月七號北京電
page 3	中日魯案委員會第十二次會議日本提出之事如下一答覆中國委員建議關於取銷建築四坊電局權二答覆中國委員建議將燈塔船政廳交海關分委員辦理三解釋山東條約第廿三廿四兩款之說帖四關於公眾及慈善院所中國委員對第一二三項留後答覆對第四項主與其他同樣之事一同辦理
page 3	三號漢口電
page 3	澳門炸彈風潮三誌
page 3	北江軍事近誌
page 3	省長問題之最近呼聲
page 3	孫艦最近消息
page 3	汕頭風災續聞
page 6	趙恒惕與曹吳商權國是電仍主張建築聯北化之單一國贊成開聯省代表會議
page 6	湖北政變後之所聞
page 6	澳門西訊
page 6	潔淨局會議食水問題
page 6	七月卅一日大總統令
page 6	閩軍殺人祭旅又聞
page 6	岑春　對於敦促長桂之覆電
page 6	傳染症報告
page 6	途有沉艇
page 6	銀價
page 6	偷鴨判監
page 6	煙未納稅被罰
page 6	被控當假金　案
page 6	蛋女溺斃
page 6	鏹水傷人
page 6	西貢村火警
page 6	南洋公司選派留學生揭曉
page 6	軍火案判監
page 6	德輔道西劫案詳臬
page 6	學神打自傷其腹
page 6	被控攔途截搶案
page 6	煙案
page 6	控圖劫花旗公司案
page 7	番屬新造鄉之厄運
page 7	　　沙面之檢查情形
page 7	公安局傳詢報界　　續誌
page 7	雲浮之民軍
page 7	陳德春派兵往台山
page 7	魏邦平最近之態度
page 7	黨　催李一諤起事之傳聞
page 7	鄭　琦　李被劫案近聞
page 7	戰事消息別報
page 7	廖仲凱　先行釋放訊
page 7	袁帶　募營兵
page 7	交通近訊
page 7	北郊外警董被捕續聞
page 7	加調部隊駐防五邑
page 7	瑣聞一束
page 7	美國鐵路罷工近聞
page 7	越南干返國
page 7	上海船員罷工
