page 1	羅馬尼亞政變感言
page 2	希特勒命令貝當政府接納日對越南要求
page 2	汪組織財政拮据擬實行節流日促汪組織改組
page 2	蓉行轅參謀長劉綺仁逝世
page 2	沙市日軍車遭我襲擊
page 2	霍華德此次東行未往日本係一殊堪注意之事美已無意安撫日本
page 2	節約建國儲蓄團舉行成立大會蔣委長任名譽總團長孔副院長則任總團長
page 2	傳德在英海峽發掘遂道美國軍事專家認為絕不可能
page 2	英國各方捐購機款已達四百餘萬鎊金
page 2	英向日抗議班臣氏被扣案
page 2	一個有力的回答
page 2	不能忘掉中國
page 2	洋桂一帶日軍分股犯大洪山我軍中途截擊日軍死傷過半鄂南我軍襲擊後港日受重創
page 2	美際認二次照會日本尊重荷印越南地位
page 2	竄犯上思日軍再度為我擊潰明江日軍犯孟墟被痛擊粵南霄邊我燬日軍倉庫
page 2	我軍破壞滇越邊界與法駐軍發生衝突法日成立協定容許日軍登陸龍主席再表示堅決準備抵抗
page 3	德機六百五十架三次進犯倫敦圖破壞倫敦之防空網被英方擊落四十五架
page 3	英空軍用新式戰術
page 3	德方宣傳全不可靠
page 3	美下議院辯論菲島防守問題有主張放棄菲島者謂為力量所不能及
page 3	英國空軍轟炸柏林
page 3	英機炸德軍事目標
page 3	羅保談判可望結束
page 3	美國確不能再容廢鐵出口因發展國防工業之需要
page 3	美海軍部長諾斯到夏威夷視察將駕一旗艦巡行太平洋
page 3	貝當政府改組仍由貝當任總理
page 3	魏剛乘機遇險
page 3	蘇聯否認日謠商締四國協定
page 3	駐滬美首要繼續舉行會議
page 3	每日有一法機逃往直布羅陀擁護哥里將軍
page 3	日委任豐田為海軍省次官
page 3	美龐大國防經費案已獲上院通過將呈請羅斯福批准
page 3	我軍奮勇攻入臨湘
page 3	重慶重鎮定為陪教已見國府明令
page 3	哥里將軍在倫敦成立招兵機關招募法國各地志願軍
page 3	英謀發展南美洲貿易將派兩代表赴阿根廷企圖組織一商務機關
page 3	正太路西犯日軍慘敗
page 3	前羅王夫婦逃亡秘密飛離羅國已有大批要人被捕新閣遲遲尚未產生
page 3	蔣委長令各界節約儲蓄二以養成節儉之美德而達成建國之目的
page 3	美與英澳加緊合作防止日本之膨脹美澳加新友誼協定簽字美與澳洲將有聯防可能
page 5	日軍揚言進犯三埠
page 5	日機連日狂炸古井
page 5	中山陸路重行封鎖
page 5	日　擾亂高雷南路匪風披猖接連洗劫墟市行署再令登記民槍嚴懲私梟
page 5	桐油大量輸美不受日封鎖影響
page 5	惠州各界慰勞郎擎天部並印發告該部官兵書
page 5	起出炸彈
page 5	給卹辦法
page 5	中大各院院長人選已定許崇清兼長帥研兩院
page 5	日軍加緊封鎖寶安交通出入口一律不准通過我軍乘時向寶安推進日機連日向各地窺擾
page 5	羅中堂談港澳教育進步廣大嶺大國大首手內遷
page 5	乘時向寶安境推進
page 5	發生大火焚燒山林
page 5	封鎖情形又更緊張
page 5	余漢謀召開會議加緊完成韶防空設備將在城郊建設新農村籌建死難同胞紀念會
page 5	湘省水銀出口之統制湘民生活受影響
page 5	受日主使
page 5	佈告略謂
page 5	走私風氣
page 5	日軍懼我軍大舉反攻中山戒嚴岐關路昨再封鎖日艦擾銀洲湖我再封鎖陳涌古井文樓等鄉又遭日機投彈
page 6	襲金雞塘激戰經過
page 6	日艦派兵登陸騷擾
page 6	美洲僑胞贊助粵省難民墾殖捐款合計達一百萬元錢樹芬將於月底返國
page 6	防城戰事外弛內張
page 6	汪彭丙系　雷某任禁煙局長
page 6	廣東省府組政務視導團
page 6	台山慰勞戰士
page 6	中秋節開始徵募寒衣募募委員會昨已成立發動中秋獻金及捐薪
page 6	澳洲機工在韶建村
page 6	那路僑胞過韶赴渝
page 6	日軍三路東犯失敗後欽　我軍乘勝猛襲金雞塘部署嚴密縱橫暫殺斃日數百防城日軍趕築工事準備大戰
page 7	本港政府試掘防空山洞施柏堅認九龍居民會計劃可行灣仔各街道正積極建築避難壕
page 7	九龍防空計劃可行
page 7	挖掘山洞在試驗中
page 7	居民紛紛購防空棚
page 7	嚴禁輔幣出口九龍關之佈告
page 7	港法僑擁護哥里將軍組義勇隊赴英參加殺敵
page 7	三行紙幣統計
page 7	業主請發還空屋差餉辦法
page 7	砲兵學習日期
page 7	正道社乃不合法團體
page 7	已疏散之英婦孺不得私擅返港違者決處以一千元以下之罰款未滿十八歲英婦孺禁在港登陸
page 7	省澳交通昨已恢復兩日輪由澳赴廣州
page 7	去月南渡人數三千二百廿七名
page 7	組保衛團計劃警方絕無變更
page 7	灣仔積極建防空壕
page 7	傳日軍在越登陸港軍事當局未有所聞港越班輪船仍照常開行電訊亦暢通惟須受檢查
page 8	店中情形
page 8	店門虛掩
page 8	七賊闖進
page 8	報販被縛
page 8	搜劫財物
page 8	損失統計
page 8	深水　又破獲一私寨私娼十餘人送保良局三婦人扣留警署候訊
page 8	住客聯會雙十節演名劇正義感與春風秋雨
page 8	難童工讀院開換物籌款會各大廠家指贈貨物
page 8	孔教團體改在太平戲院祝聖
page 8	港府財政報告去月入不敷出
page 8	我交通部恢復西北空航並與蘇聯合辦歐亞航線由重慶可直達阿拉木圖
page 8	英航務部長克羅斯英國情報部遠東局播
page 8	七賊械劫旺角木油店店內男婦十餘人盡被綑縛掠現款金飾共值六千餘元
page 10	昨日友誼棒球賽美國隊雪恥成功十七比五大勝葡萄牙今晨十時半一場義賽
page 10	今日東方會練兵渡海對抗光華四時三刻會師界限街昨日南華和約瑟光華克警察
