page 1	今後之國民大會
page 2	李鴻文談匪偽受某方策動確有進窺綏東勢我對匪偽行動已加意防範匪偽如若來犯當迎頭痛擊津日駐軍昨又在東局子演習
page 2	庚款留英公費生取錄二十五名八月初啟程放洋
page 2	徐埠興辦水利三大工程
page 2	宋哲元接見巴特里克宋子文有親筆函致宋
page 2	名古屋汎太平洋博覽會我國展品與滿洲冀東並列滬市中華國產商聯會認為奇恥大辱電呈國府請飭外部向日捉嚴重抗議
page 2	內部編訂禮制條例草案初步審查已告竣事
page 2	朱慶瀾召開救災會議提出四項救災辦法定期舉行救災大會
page 2	冀國術觀摩會昨在保定舉行開會三日廿七閉幕
page 2	徐東趙壩莊發現蜜蜂與烏鴉大戰蜜蜂死傷不計其數烏鴉被刺瞎者亦多
page 2	甘省府召開救災會議決定急賑三十四縣極貧災民各賑一元
page 2	鐵部在贛購辦大批枕木
page 2	甘省黨員代表晉京促朱紹良履新
page 2	津浦車中迭發現運毒犯
page 2	贛省當局拘捕新聞記者漢記者會電請釋放
page 2	劉峙報告航建征募辦法第一期組織飛訓班第二期組航空公司
page 2	青海關搜獲走私銅元
page 2	甘省黨部改組
page 2	張部運蚌完竣各辦事處一律撤銷職員各回原部服務
page 2	劉為章談中央與桂隔膜盡除李白隨時均可晉京白崇禧遵蔣電示已打銷出國意蔣委長仍在私邸靜養謝見賓客
page 3	宣言內容大要
page 3	比觀察家意見
page 3	英法友誼深切
page 3	馬步青代表謁顧報告青省軍政馬麟定期返青視事
page 3	意政府否認國社黨參加奧政舒斯尼對此親自有所聲明意國對奧國內政從未干涉
page 3	滇各界籌備歡迎週覽團昨商訂歡迎辦法
page 3	日軍部府迫使林內閣實現高度國防計劃右翼團體大日本青年黨發表長篇宣言要求即成政黨及無產黨迅即自動解散
page 3	朝日新聞機神風號飛抵羅馬
page 3	胡宗南由京抵徐地方各界熱烈歡迎
page 3	巴黎民眾眼福不淺法舉辦中國藝展會陶器佛像不下二百餘件歷代珍品大抵應有盡有
page 3	英商界輪運糧赴西成功後德報對英海軍作激烈攻擊指英海軍協助商輪為故意干涉西　西叛軍向比爾波陸上進攻卒被擊退
page 3	滬新聞報副總編輯嚴獨鶴遇刺受傷兇手患有神經病平日愛讀嚴論者
page 3	我對美輸出增加
page 3	比國回復中立地位解除比國所負洛約義務英法共同宣言昨正式公布比國將以全力保障邊疆以防外人之攻擊或侵略並整頓國防務使比國領土不致為他國所利用
page 4	人事略談
page 4	戰情一瞥
page 4	南華女子排球隊果然犀利昨勝上海東亞隊東亞籃球隊今晚對興華明晚對港聯
page 4	籃球比賽
page 4	比賽情形
page 4	蔣氏談話
page 4	參加省運潮安選手昨抵港將在港顯身手
page 4	友誼籃球賽民大隊壓倒南華排球賽南華敗啟新
page 4	南粵足球隊戰海軍
page 4	英銀價漲半個咽
page 4	國際杯球賽三比一壓倒英格蘭愛爾蘭榮獲錦標英隊先奪一城繼竟連負三隻中衛過於不振為全隊致命傷
page 5	程天固巡視三角洲後本週將往視察瓊崖對東西沙群島之注意
page 5	王應榆晉京述職
page 5	汕營業稅總額官商相持未解決
page 5	李宗仁暫不入京
page 5	覃振於五五前到粵參加獻機禮吳主席之宣誓就職期
page 5	汕旅業公會決定平抑星檳票價辦法
page 5	粵桂建長途電話
page 5	敵機籌款超額各縣將呈總會請給獎
page 5	逾限申報營稅有准免處罰消息市商會請展限至本月底則未便照准
page 5	洋米穀進口之分配省府決不將原案變更米行請准洋米同時進口昨某秘書談決不准如所請但米行別有其請求之理由
page 5	米糠行等再請求
page 5	糧調會開談話會
page 5	米商亦再有請願
page 5	商民團體反對電話計次收費
page 5	軍委會昨委胡朝俊任廣東師管區籌備處長師管區司令部之組織
page 6	按押業公會函稅司再請制止搜查各押店
page 6	赴港迎吳大員狠嫌被撤續詳郝車光否認因此撤職
page 6	市禁煙會規定到院戒煙法由團體送院者減費
page 6	整頓全省地稅各縣督征員將調省受訓振財務地政兩緝畢業學員到縣整理征收無成績原因之控討
page 6	杜月笙來粵組商業貿易所之傳疑據聞杜氏尚未到粵
page 6	赴瓊實考團消息
page 6	冒函為姪求職被撤職懲處
page 6	土煙商開會決定年餉數目
page 6	汽車輾斃學生
page 6	市婦女會選舉記
page 6	舖屋租簿年須貼印花二角
page 6	地稅滯納罰款獎金分配辦法
