page 1	粵新省府成立以後
page 2	居正陳立夫等乘廣東號飛粵
page 2	日圖察綏甚急陶林戰事一觸即發熱河至察北軍車擁塞日偽軍又　到四千名
page 2	我方銳意整頓國防田代又再向我聲明以前華北談判完全推翻華北時局將有嚴重演變
page 2	淩鴻勳到鄂計劃粵漢通車日內晉京報告
page 2	幽默大師林語堂赴美講學介紹中國著名于美國人士
page 2	王應榆昨已啟程南下
page 2	津市華新紗廠又被日人收買昨日雙方簽訂合同代價一百二十萬元
page 2	廬山管理局提倡體育運動舉行國際田徑運動會
page 2	陳紹寬由廈赴東沙島
page 2	鄒琳等經縝密研究後擬具改革粵幣方案將定一粵幣與法幣之折價電財孔核示最近可望施行
page 2	冀東民眾密謀驅逐殷逆
page 2	東北義軍活躍前途正未有艾
page 2	黃麟書談陳濟棠即出國莫秀英不同行
page 2	內部警校擴大改為中央警校杭州警杭亦將歸併
page 2	　　同鄉籌款獻機祝壽
page 2	張群到青召談話會商討魯省國防問題蔣擬在魯省設行營馮玉祥將赴魯一行
page 2	陝省軍區劃定後西北軍備擴充實情增建新式機場建築陝甘隧道
page 2	蔣委員長夫婦昨日飛抵廣州市民熱烈歡迎陳布雷等已先行飛到
page 3	政院試辦數種特殊研究現已開始進行
page 3	所得稅定期九一開征將呈政院核定公佈
page 3	何成濬昨赴萬縣授旗明日轉往　陵
page 3	國府頒發滇黔綏署關防
page 3	四省統稅局緝獲走私洋灰
page 3	江漢水位現已漸趨穩定
page 3	伍廷颺　黃召赴滬有所商洽
page 3	華中區水運會將在漢市舉行贛派選手赴漢參加
page 3	美使館秘書二人昨由煙台抵京
page 3	國選法令解釋會昨開二次會議議決提案六項
page 3	馬德勒危在旦夕美使勸僑民離境白宮會議派艦赴歐
page 3	世界運動忽起爭端秘魯足球員逞兇積分完全被扣除秘選手一致出會
page 3	體操比賽開始
page 3	中國拳賽又敗
page 3	男子游泳比賽
page 3	世界紀錄五種
page 3	各種球賽結果
page 3	日本國債突增將突破百億圓
page 3	飛機接濟叛軍
page 3	叛軍發表戰報
page 3	叛軍召後備兵
page 3	累及外國僑民
page 3	各國贊成中立
page 3	德國注意護僑
page 3	津浦路七月份撥償債款統計
page 3	行政院會議紀
page 3	報告事項
page 3	討論事項
page 3	任免事項
page 3	國府體育促進會昨日正式成立
page 3	菲島洋面發生颶風南海將受影響
page 3	賀國光談赤匪已受包圍
page 3	部令各路舉行經濟調查
page 3	滬禁毒總檢舉展期月底結束
page 3	國大總所各組長已決定
page 3	吳醒亞靈柩昨日由牯運滬各地團體在江干祭奠李烈鈞等均有聯致輓
page 4	友誼籃球賽華雄戰勝淩晨隊成績四十七對四十
page 4	精武會友搏擊賽今晚有八場舉行預料表演精彩特多闢座以容觀眾
page 4	華塞斯軍隊水上運動會成績戴維斯成績最後獲兩項錦標
page 4	華人公開水球賽昨晚兩場均改期比賽秩序將重新編配
page 4	勵行籃球隊決定不往汕比賽學校放暑假隊員難召集赴廈門比賽仍繼續進行
page 4	南華隊南遊日記續
page 4	公開籃球賽青年會再戰印警印警當非青年會之敵
page 4	英京銀價轉趨縮
page 4	今晚青年會游泳團舉行游泳測驗七時在該會游泳池
page 5	程潛許崇清昨抵省
page 5	駐閩中央軍繼續入駐潮屬各地八十師到後四十三師續到
page 5	四三師奉命入粵
page 5	八十師一切動態
page 5	駐防軍建築工事
page 5	中央派員來粵建築粵省國防
page 5	一別十年旌麾再蒞蔣委員長昨午抵粵同來者有朱培德陳布雷等昨日上午八時由南昌起航下午二時十五分抵步旋到黃埔行營駐節蔣未抵粵前余陳等之對桂會議十八軍今日全部由樂昌南下
page 6	開會情形
page 6	議決各案
page 6	比率問題
page 6	平換理由
page 6	汕市商界請費苛雜到省請願之步驟
page 6	代表名單
page 6	撤消項目
page 6	三省統稅局裁撤訊印花菸酒另行設局辦理捲煙火柴等撥歸海關征收
page 6	宋貝同飛廬謁孔定今日飛回廣州
page 6	已完稅貨物改裝改製運銷法
page 6	不守清規妙尼將令還俗出嫁
page 6	市商會昨請撤銷港紙期貨處
page 6	新任廣東省政府委員兼民政廳長王應榆
page 6	新任廣東省政府委員兼教育廳長許崇清十日抵港十一日上午八時
page 6	粵省水利建設委員會
page 6	印花於酒統稅
page 6	湖廣熟天下足改進湘米產銷方案四對於國計民生意義甚大積極推進湘米銷粵政策
page 6	調劑政策
page 6	農林局長易人建廳委淩道揚充任馮銳被總部扣留
page 6	請撤銷專賣苛稅土煙與炮竹業
page 6	省市各機關新委人員續詳林逸民三任局長
