page 1	拍賣古物充賣國防問題
page 2	滬大陸報載日方已備提四條件
page 2	截至昨日止日態如何尚無確報
page 2	京市新聞界電唁渡邊深井家屬
page 2	外部調查員楊邵二氏今日返京
page 2	冀察征抽新稅問題納稅者可獲相當保護從此私貨可通行無阻
page 2	宋哲元擬專任治軍辭冀察委會委長職該職改由文人繼任
page 2	日本之遠交近攻策和俄侵華同時並進中國已覺悟國聯無能決鞏固內部自力抵抗
page 2	日軍秘密遣送來津
page 2	工部局強拆棚戶楊樹浦民警大衝突警員受傷頗多棚戶傷者亦眾
page 2	中政會昨例會通過發行整理廣東金融公債案公債條例草案發立法院審議
page 2	法幣與毫券比價馬寅初之意見不贊成毫券比價太高免投機者作發財機會
page 2	生週刑主辦人杜氏請求開釋
page 2	鄒魯電告本月初間返國
page 2	西國駐滬總領自動停止職務表示脫離舊政府
page 2	宋慶齡對桂局不願發表意見但希望團結救國
page 2	世運中國足球隊在英又敗一場英隊以五對二勝
page 2	王克敏夫婦由滬乘輪抵青
page 2	日本對蓉案要求俟三相會議後當可決定糟谷調查報告已電達外務省陸海外三省將研究交涉方針
page 3	古北口日砲兵舉行實彈射擊石匣密雲各地均聞砲聲不絕
page 3	蔣伯誠赴濟指導魯青選舉韓主席到站歡迎
page 3	馮玉祥昨日離浙返京
page 3	日總領事崛田干城即將到津履新同時日駐津領館將添設商務領事
page 3	司空見慣日軍在津演習
page 3	達賴十四世有在藏轉世說但尚待證實
page 3	立院財委會開會審查各預算案
page 3	義教幹部講習班開講日期將屆教部電令各省市迅速選送受訓員
page 3	中懲會發表四懲戒案
page 3	教部審查各職校申請補助理由
page 3	政院限令各省市造送行政計劃
page 3	臨時高考將分兩次舉行
page 3	滬警被匪擊斃
page 3	滬遊樂場中魯人躍樓自盡
page 3	西國叛軍再攻伊倫炮火震天撼地城中損失甚巨叛軍糜費彈藥甚多卒無所獲
page 3	叛軍佔據城外高地裝設炮位猛烈攻擊
page 3	日本實施南進政策以海軍人員任台督
page 3	唐紹儀由牯過京赴滬
page 3	周作人等發起追悼章太炎
page 3	演滿邊界雙方再開談判
page 3	行政效率研究會擬編行政月刊定十月一日出版
page 3	招考稅務人員今日發表初榜
page 3	西國北部亦有大戰農民屋宇多被焚燒
page 3	飛機多架圖炸西京惟未得逞飛回原防
page 3	蘇俄強化軍備召集兩班後備兵
page 3	新西蘭代表提議強化國聯
page 3	黑運動家歐文斯失去業餘資格已接受職業合約
page 3	美國預算不敷達二十萬萬金元
page 3	俄西兩首都慶祝國際青年
page 3	國選總所解答各方疑問
page 4	給歐洲網球界有理個新認識
page 4	到達法國太遲祇練習一星期
page 4	一千鎊的補助望好好的利用
page 4	體協會派選手照理可以拒絕
page 4	潘萊夫婦來華只怕沒有對手
page 4	潘萊入職業界僅僅時間問題
page 4	林改學潘萊的歐洲式提拍法
page 4	英國至多只能再勝台杯一年
page 4	在英各地比賽得了不少亞軍
page 4	一萬五千人看林許戰克勞福
page 4	工務局游藝會將舉行水藝會地點南華游泳場日期本月十五日
page 4	太古華人體育會小足球隊征澳門太古昨戰雅賢以五對二勝
page 4	英京銀價昨報漲
page 4	港外匯市情穩定
page 4	滬外匯市情穩靜
page 4	林寶華歸國談片中國亟應組織草地網球會全國體協會派選手參加台杯國際網球協會照章可以拒絕林許表演博得歐洲網球界一個新認識
page 5	粵各區行政專署定於下月成立訊擬分為十個區專員月中委出
page 5	粵國防及要塞由中央直轄
page 5	居朱程等抵南寧　之和平會議桂軍調動甚忙似向粵南路推進粵省府指定大沙頭為戒煙室地點
page 5	粵禁賭後之第二日省府派員接收深圳賭場商人請弛禁麻雀難邀准
page 5	禁賭犧牲
page 5	接管賭區
page 5	麻雀問題
page 5	蔣委長聲明非為討桂而來決以和平原則解決桂事必要時只以大軍監視以俟桂人之自行解決居正等昨午已抵南寧昨日粵路之軍運情形蔡廷楷親到南路閱軍
page 6	東區綏署事務總部令參謀長代理名義上仍李　魂兼任惟李氏仍未打銷辭意
page 6	財廳擬設全省農稅總局
page 6	汕市府調查日醫請日領令照章登記
page 6	粵省土地行政將劃回民廳辦理財政又裁第六科
page 6	馮銳被留案農民擬聯請嚴辦
page 6	財廳確定筵席捐為正當稅豪于食者不吝于捐吳健陶所擬之意見
page 6	商會再爭大洋比率請准先四八繳按稅
page 6	河南各界決定迎李辦法
page 6	市黨部將明令撤銷報社証金例
page 6	粵漢直通車昨一日開駛情形
page 6	廣州市民聯請規復自治續訊昨日會議之決案
page 6	一百五十二個尼姑請弛禁還產之呈文詞鋒犀利含意酸辛
page 6	請改組米業公會社會局派員澈查
page 6	湖南建廳長昨日抵省之談話
page 6	曾判一年半有期徒刑之黃永勸自訴謝瀛洲謂為非法受理濫權逮捕附帶私訴請給償十萬元
page 6	華僑請設革命稽勳處生者感奮重捐救國之軀死者懷恩少瞑鬼雄之目報功崇德我國家禮亦宜之
page 7	由港乘車直達歐洲
page 7	沿途所經各大商埠
page 7	全程需時僅十四日
page 7	歐亞郵遞益形利便
page 7	港洋米業將受影響
page 7	永績艦昨日來港將開往北海接防
page 7	廣九路不增開夜車華英兩局長昨日會商之結果輪船更改班期於火車無影響
page 7	汽車輾斷婦人臂
page 7	余立奎上訴英京尚未著手進行
page 7	粵漢鐵路完成通車後由港乘車可達歐洲省港兩地商務均有良好影響惟本港洋米業不免略受打擊
page 8	工務局去年之水務報告一
page 8	稽查進口貨今日起實行九龍關公署之佈告
page 8	贊助招商局發展我航業
page 8	四人自殺幸遇救
page 8	華商會值理會議決改星期二為圖書館例假具呈蔣院長請示蒞港日期
page 8	聯合工學界歡迎蔣院長
page 8	女工人墮車受重傷
page 8	積勞成疾宋美齡女士留港休養一方面做蔣介石的妻室一方面做軍委長的顧問
page 10	九龍童軍懇親會陸軍司令到場授旗
page 10	自刎少年已殞命
page 10	八月份本港天氣十七日颶風為五年來所僅見
page 10	外艦來去之調查
page 10	廣福祥輪改航港梧
page 10	七個賭徒被警拘罰
page 10	一榜人被貨物壓斃
page 10	印人打架簽保了事
page 10	德明分校招免費生
page 10	東華醫院之近狀
page 11	更動五個縣長韓山師範校長易人
page 11	民間之爭地而戰越界取坭醞釀鬥禍東莞東向村陳何爭界
page 11	省城四邑渡因運兵暫停交通
page 11	教職員泣請發欠薪
page 11	匪乘軍事緊張蠢動
page 11	曲江米商請撤銷穀米捐
page 11	四區電話局之罷工
page 11	上川區風災之請賑
page 11	惠陽公民反對統承碼頭之郵電
page 11	禁賭之後番禺八個區長會議
page 14	粵漢全線
page 14	淩鴻勛氏
page 14	美松枕木
page 14	著名橋工
page 14	車輛設備
page 14	物產豐饒
page 14	閩漳龍路又發生劫車案軍匪激戰歷三時之久死傷乘客及士兵四人貨車及行李被劫無遺
page 14	衡州車站
page 14	匪夷所思不可究詰匈牙利女預言家之談話馬來亞將發現油礦及貴於黃金之礦產吳顯圖不久成中國著名人物並任總統日蘇戰爭明年爆發中國統一強盛可期
page 14	關於中國
page 14	將來總統
page 14	中日戰爭
page 14	三民主義
page 14	共產主義
page 14	至蔣壽命
page 14	日貨充斥
page 14	華南唯一大幹線粵漢路即將通車武昌總站及輪渡均在建築中添置車輛改善沿線各站設備
page 15	中國物品
page 15	韓復　曲阜代表國府致祭孔子祭廟謁陵典禮莊嚴隆重
page 15	致祭典禮莊嚴隆重
page 15	致祭位置致祭職員
page 15	禮器珍貴古　失傳
page 15	明德中學將改書院
page 15	愛體育的褚民誼一切嗜好都是發展體力馬車運動可惜曲高和寡
