page 1	越滬事件與遠東風雲
page 2	三國防禦同盟尚未發生效力除非遠東英美軍事合作
page 2	德外長演說詞充滿恫嚇性質謂三大國因其同盟利益實行其軍政經濟之合作
page 2	粵南我克防城增博間我軍獲勝
page 2	英美認為僅係一種空洞威脅德意與日締結同盟之後亦難取較強硬政策對英
page 2	德意日同盟成立
page 2	美國禁運與遠東危機
page 2	日內閣委任十個常任理事指導建設新政體制
page 2	魯東我軍出擊奏功
page 2	晉南我軍續有斬獲
page 2	豫北我軍四出襲擊
page 2	滬金融市場人心振奮
page 2	上海工潮擴大築路工人清潔工人均參加自來水及電燈工人傳繼起
page 2	侵略者成立大集團德意日三國在柏林成立軍事防禦同盟西班牙亦在湊數之列
page 3	對禁運案赫爾不願批評關於美艦隊之行程仍將集合於夏威夷
page 3	東京人士反美情緒緊張日皇批准日德同盟但尚俟樞密院批准
page 3	德轟炸機七十架向修森頓襲擊被英機截擊覆落六架
page 3	美國對我熱烈同情美婦女委會醫藥援華局共捐贈我國九萬二千金元
page 3	倫敦上空激戰擊落德機十架
page 3	法屬金馬倫電英首相擁護繼續戰爭
page 3	希土談判軍事協定
page 3	中英文協會電英文化界說明滇緬路禁運影響希望英文化界喚起國人注意
page 3	達加防軍在戒備中
page 3	國大籌備委會國府限令下月成立
page 3	聚利亞人漸多排擊貝當
page 3	文藝獎金會撥助王獨清治喪費
page 3	國際危機迫近眉睫四美艦突駛滬泊黃浦灘防衛公共租界
page 3	加拿大巡艦截留一德商輪英潛艇亦截擊德輪
page 3	匈羅邊界又有衝突
page 3	甘地第七次謁見印督甘地此次見總督可望獲良好結果
page 3	日方謠言攻勢毫無成就各種謠言均屬絕對無稽我國抗戰到底絕不妥協
page 3	英空軍續炸擊德軍渡海地點
page 3	侵入越南日軍繼續向南進迫西原少將亦無法制止彼正乘一運輸艦返日
page 3	美國兩院響應禁運政策一切歡迎政府施行具體行動打擊日本
page 3	美國決心裁制侵略宣佈完全禁運油鐵此項禁運等於直接向日挑戰
page 5	粵黨政軍各要員補行宣誓就職典禮余司令長官監誓並致訓詞勗勉各同志努力消除困難
page 5	日機擲下草人偽裝降傘隊
page 5	粵青年團繼續招待青年
page 5	日軍又在市內外拉伕大批伕役押赴南路
page 5	財部修訂捲煙等統稅自九月十一日起實行
page 5	煙膏店商請發還保證金
page 5	粵府嚴禁赤燐白藥資日不准私人運售
page 5	四邑鹽價暴漲
page 5	蔣孔電勉鄒琳
page 5	日機炸桂南中途損壞轟炸大王死於火在憑祥附近下墜機內四人均焚斃
page 5	粵東奸徒販賣人口監察院下令查禁
page 5	　廣州灣法當局已暗中嚴密監視
page 5	汪系軍人謀擴張勢力企圖另組軍隊受制日人內部意見紛歧難以成事
page 5	粵省當局銳意發展教育本年度教育經費佔最高額全數已由教育廳分配妥當
page 5	防城全境展開血戰克復扶隆戰局急轉直下江平劇戰日兵紛退竄　尾島欽城外圍據點多被我軍收復
page 6	中山呂部掃數南調
page 6	日軍嚴禁糧食出口
page 6	游擊隊襲中山港口
page 6	江門日軍施　戒嚴
page 6	粵北日軍犯龜嘴受罰我軍進襲　翔近郊奏捷
page 6	粵高等法院派員巡視東江司法接納人民舉報貪贓　法事件
page 6	粵省毫券提高比率進行順利公私交收與國幣一體行使日方搗亂粵金融陰謀潰敗
page 6	交收計算簡便甚多
page 6	證明粵券本身價值
page 6	彼味良之投機商人
page 6	為利之溥實難言喻
page 6	粵國民兵建設優良中央傳令加獎
page 6	江會日軍抽調一空
page 6	江會日軍空虛縮短防線日艦　銀　湖西岸不得逞中山呂春榮附日軍盡調粵南
page 7	大景象酒家女侍馮玉荷控茶客賴婚既有妻偏說娶填房腹已便便又寒盟約
page 7	萬全公司新片血灑桃花扇被竊送片工人中途遇盜查緝嚴密幸獲珠還
page 7	三門關海面貨艇被劫損失財物約值二千元
page 7	又一新騙術冒名定燒豬騙喪家　是
page 7	昨日天氣仍熱清溫度升至九十一
page 7	港澳振濟會免費學生考試今日起在華僑中學舉行
page 7	廚子斫同侶案押候一星期審訊
page 7	劫艇殺人案捕獲疑犯一名
page 7	工務局取締舊樓宇飭令業主改建大道東已有十餘間動工住客倉卒搬遷極為狼狽
page 7	五孔教團體今日慶祝聖誕書業公會亦開會紀念
page 7	干諾中保衛團已選出團員十三人
page 7	孫家哲母逝世今日下午六時大殮
page 7	港府強制疏散英婦孺留而不去須呈報理由如理由不充足仍須限期離境英美當局絕未勸美婦孺撤退
page 8	少女私藏毒藥案公審緝私幫辦軒氏述搜查經過
page 8	住客聯會擬辦婦孺登記俾必要時易于疏散
page 8	字花廠主被捕將遞解出境
page 8	粵救濟會港分會昨會議盡撐促各界繳回捐冊
page 8	中航機接載英澳空郵俟商定辦法即可實現
page 8	粵省府羅致農業專才
page 8	各埠僑胞捐資救國三年內幾達二萬萬平均每月約五百萬元
page 8	中澳交通又傳明日恢復
page 8	徐謙昨日大殮　廣東華義莊
page 8	霍亂症已減少
page 8	少婦自縊斃命
page 8	防空洞山泥崩卸死傷工人兩名
page 8	黃耀東賻儀全數捐贈難民
page 8	記者公會三屆職員選出
page 8	港黃金大量流入美國九個月內總值六千四百餘萬元白銀則多流入英國數量亦不小
page 10	今日甲組足球聯賽南華迎戰九龍海軍會對米杜息香港會抗聖約瑟
page 10	南華週年水運最後一夕成績
page 10	文　　排球賽今日揭開序幕
page 10	全港游泳競技今夕最後決賽九時正開始角逐代督亦蒞場參觀
