page 1	五三紀念感言
page 2	平準委員會命令停止賣出外匯法幣價昨晨突慘跌僅三便士零八份三
page 2	滬外報記者目睹日軍在滬西之暴行民房三百餘家悉予焚燬農民被屠殺達五百餘人
page 2	新任駐土公使張彭春之談話土為地中海一大國對於此行極感興奪
page 2	湘北日軍死傷奇重
page 2	成都教會醫院發生大火受傷者百人
page 2	邕日軍四出竄擾
page 2	中央社隨軍報務員劉柏生中彈殉職定八日在渝舉行追悼
page 2	豫東我軍進擊商邱博愛日軍蠢動
page 2	黔新教長視事
page 2	地中海運輸保險費又增加
page 2	蘇南商約談判進行順利
page 2	滬市開始青年運動週
page 2	內政部計劃改進地方治安擬定辦法三項
page 2	渝市商會改組竣事
page 2	日池田少將傷重斃命
page 2	贛北開始全線出擊我軍再克奉新萬壽宮東竟日發生激戰一部向德安馬迴嶺挺進
page 2	亳縣日軍中伏
page 2	傷愈官兵請准再上前線
page 2	襄河東岸我軍收穫甚豐鄂北日軍施用毒氣
page 2	美下院義決授特權於總統得隨時統制貿易
page 2	巴黎先後捕獲共黨二千餘人
page 2	艾登演說決心作戰到底
page 2	新運婦女會商幹訓班畢業指導長蔣夫人親臨主持典禮
page 2	滬工部局新任董事會議
page 2	滬市黨部等電蔣委長致敬
page 2	臨晉大道南側激戰我施神勇殲日四千芮城克復後茅津渡日軍陷重圍
page 3	張伯倫出席眾院報告挪威時局聯軍在挪作戰頗感困難全局觀察聯軍仍佔優勢
page 3	渝盛大茶會中樞同志歡迎孫子夫人到林森吳敬恒等一百一十人林主席述國父往事多為感動
page 3	歐洲各交戰國不願轟炸羅馬避免傷害天主教徒感情羅馬當局仍然佈置空防
page 3	聯軍戰略或須改變
page 3	英空軍襲德軍機場
page 3	南薩斯局面無變化
page 3	羅反動份子密謀政變政府施行特別戒嚴
page 3	美海軍部長主張修改造艦圖樣歐戰情形證明空軍優越於海軍故美軍艦構造圖樣須從速修改
page 3	埃及實施某項國防步驟
page 3	法郵法蘭西號已由紐約開航
page 3	菲島二萬人列隊巡行慶祝勞動節
page 3	菲議會通過新移民限制案以後每年每國赴菲以五百人為最高額
page 3	美上議院休會下星期四復會
page 3	駐菲美專使西里訪日外相有田
page 3	德國外交隨時變幻最近又離蘇親意墨索里尼表示意現尚未有意參戰蘇擬停供給貨物於德轉供給英南
page 5	各線日軍增減無常
page 5	日機昨又炸鯊魚涌受傷男女送港救治海濱貯貨棚盡被焚
page 5	私梟父子被截獲中途謀擊關卡員兵父子均被擊斃命員兵兩人亦受傷
page 5	新加坡嘉應五屬救鄉會捐五萬元救濟米荒由香港嘉屬賑濟會購運
page 5	日軍封鎖四邑無效
page 5	袁帶所部展開游擊
page 5	我機隊頻飛小欖各地偵察中山日軍擴築機場日艦戒備防我夜襲
page 5	前山灣仔最近情況
page 5	南路米價有回降趨勢免稅洋米開始起運米糧運銷會完成各地運輸站電請省府米款外匯免收匯費當局嚴懲囤積居奇奸商近誌
page 5	米糧運銷會之決議
page 5	洋米千包到廣州灣
page 5	順德我團隊仍活躍半浦河面擊沉日運絲艇事後日艦開到胡亂放炮示威
page 5	鄧青陽談巡察湘贛經過各地軍風紀尚好
page 5	省黨部通令祭輓文用土布
page 5	各線日軍調動係防範反戰江會各線戰事仍沉寂昨仍有渡船由澳門開入三埠前山准行人通過灣仔仍封鎖
page 6	粵南各地迭起激戰
page 6	那陳殘餘悉被肅清
page 6	日本被俘軍官在韶廣播到中國後的回憶和感想一醒來吧日本的戰友啊共同打倒萬惡的軍閥
page 6	日機一架為我擊落
page 6	西營賑災會之誅奸
page 6	粵設專責機關組訓戰區義民
page 6	粵省黨務會議圓滿閉幕大會通過發出三電
page 6	澳門與內地交通仍阻四邑內河交通甚暢旺
page 6	省黨部擴組戰時工作隊
page 6	日軍派飛機頻襲西江各地在七星岩巖一帶投彈
page 6	欽邕路東側鏖戰我軍迎頭截擊奏捷克牛崗掃蕩那溪久隆殘餘日圖再擾平銀江東岸不逞大塘爭奪極烈情勢至緊張
page 7	檢拾貨品準備收市
page 7	西服少年入店行劫
page 7	放槍四響司理重傷
page 7	一賊被擒搜回臟物
page 7	賊亦傷手入院醫治
page 7	來往路人幸未受傷
page 7	大欖涌六賊騎劫貨艇榜人脫險昨日返港報案財物損失共值九百餘元
page 7	防霍亂症運動昨日已開始
page 7	帝航機港曼班恢復原日班期
page 7	旅店住客行動可疑
page 7	警探動員查緝逃匪
page 7	英賑華會資助挪籍醫師俾能繼續在華工作
page 7	青年團體及學校籌備紀念五四運動紀念辦法各有不同各學校將放假一天
page 7	籌備團體
page 7	紀念辦法
page 7	懷械案昨詳臬
page 7	開會儀式
page 7	　學藝比賽參加者極踴躍
page 7	防空處遷新址今明兩日停止辦公
page 7	英公主電謝本港人士
page 7	必打街槍彈橫飛兩賊械劫利威首飾行司理法人刁波士擒賊腹部中彈一賊被捕繳械並搜回全部臟物
page 8	函華代表
page 8	出版會刊
page 8	少女被迫作導遊娘報訴警署幸獲解放導遊社女主人被罰
page 8	人事服務
page 8	贈醫地點
page 8	廠商聯會會議
page 8	防癆會擬設檢驗處免費為貧民檢驗肺疾並張貼標語擴大防癆宣傳希望政府速設肺病療養院
page 8	二步計劃設療養院
page 8	第一期輔助看護畢業
page 8	三期肺癆尚未絕望
page 8	青年記者學會募款設圖書館各界名流紛紛贊助
page 8	四月份之氣候是月得雨水八寸餘
page 8	王立明昨返港
page 8	留營難民續增較前週增二百餘人
page 8	美艦在港演習
page 8	義央成績
page 8	名俱樂部
page 8	八十二僑團參加傷兵之友光華公司成績優良
page 8	禁拋穢物入海航政司之通告
page 8	劫案定期開審
page 8	車輛失事統計上週死三人傷卅一人
page 8	太古輪機師失蹤
page 8	殷商陳壽庭逝世
page 8	住聯會請華人代表協助推進減租運動人事服務部職員已舉　將可成立籌辦免費接生所十間贈醫所廿間
page 10	全港學運籌賑會昨舉行開幕禮主席會長致詞勉勵今日為大會第二天
page 10	顏成坤詞
page 10	力　集中
page 10	田徑運動與球賽學賑運動大會的感想
page 10	當前急務
