page 1	日本之南進政策
page 2	南僑慰勞團離滇赴渝
page 2	杭嘉湖一帶我軍活躍大小數十戰我均獲勝利
page 2	戰時首都盛會蔣夫婦歡宴孫孔夫人到中外婦女界二百餘人蔣委員長夫婦均有致詞
page 2	天津白銀問題未必迅速解決須磨發表之談話
page 2	中日戰爭中朝鮮人食糙米日本人反食白米
page 2	鄒魯因病辭職許崇清代長中大
page 2	綏西我軍進迫安北日軍心極動搖
page 2	粵北日軍困守工事
page 2	汪抵北平林柏生等同行城內大起戒嚴
page 2	魯南戰事日趨激烈
page 2	桂南我軍完成包圍
page 2	晉南戰爭激烈安邑一役斃日軍五百三角地帶我軍極活躍
page 2	合肥懷遠日軍蠢動受創
page 2	上海海關醞釀風潮
page 2	平漢路日軍火車中我地雷
page 2	陳玉甲入蒙巡視
page 2	豫北不斷激戰我均獲得勝利信陽偽保安隊反正
page 2	國參會會議結果圓滿國共磨擦一切已消除明確宣釋領土完整之意義
page 3	上海工部局董事英美日競選劇烈進行一般人觀察英美必能獲勝但票數比較日人亦差不多
page 3	英法警告各國商輪勿冒險入水雷區域
page 3	美貨輪奉令中途折回因聯軍之封鎖線將伸展到太平洋
page 3	上海物價昂貴原因實由內地日軍之壟斷致阻礙糧食之自由運到上海租界人口增加物品供不應求
page 3	賀汪特使阿部準備來華四月十八乘輪赴滬
page 3	墨索尼里演說意國已有準備應付春間任何事變
page 3	日商務代表團前日赴莫斯科
page 3	日委任野田為經濟局主任
page 3	法大使戈思默將由重慶赴滬
page 3	埃及皇后昨日舉一女嬰
page 3	法空軍深入德境偵察
page 3	日益利用偽政權到處組織偽軍減少日軍補充困難日軍傷亡達百餘萬
page 3	日本對華貿易貨物多係偷運百分七十不經海關
page 3	劉湛恩博士殉國兩週年渝舉行紀念會
page 3	傳親日白俄領袖謝米諾夫抵滬將勸白俄投票擁擴日候選人
page 3	三井三菱兩日行各增設購茶部圖壟斷上海茶市
page 3	日在上海設立秘密法庭侵越我之司法權
page 3	美社會主義黨推舉湯麻士為候選人反對軍事獨裁禁運政策
page 3	關於憲草經過及其內容的說明一孫院長今在參政會報告
page 3	聯軍在挪威領水界放下水雷三處阻止德國向挪威取給資源挪威政府向英國提出抗議
page 5	狂炸情形
page 5	各地損失
page 5	發現汽球
page 5	西鄉槍聲
page 5	人員貨物准經過通行線各檢查卡不得留難苛擾
page 5	韶關北潦暴漲損失情形
page 5	省務會議紀要陳樹渠代防城縣長
page 5	桂南各縣清理戰場
page 5	東路戰敗之日兵增調西線圖固廣三側翼江會各線之戰況中山八區仍安定
page 5	東路日兵增調西線
page 5	中山各地最近情況
page 5	會城傀儡裝箱轉解
page 5	江會各線最近戰況
page 5	嶺東最近戰訊我軍完全克復意溪潮汕日軍之動態
page 5	大幫桂米運到三埠接濟近週間米價趨跌當局禁牲口出口
page 5	四邑省行維持毫券幣值照此率無限制收兌並吸收各種版省券
page 5	黃麟書談出席國民教育會議經過通過鄉設中心學校保設國民學校粵第一年所需經費不敷之數甚鉅
page 5	日艦突集大亞灣後昨轟炸鯊魚涌葵涌各地各地損失死傷調查偽軍掃射西鄉沿岸南頭附近昨發現日軍汽球
page 6	各據點克復
page 6	司令伍觀淇
page 6	從北線我軍
page 6	省行農貸增加至五十縣成績較去年為佳
page 6	南始土地整理十月將可完成
page 6	第四區專員禁止庇私
page 6	製造毒氣原料禁止出口
page 6	隴東中共分委及八路軍三八五旅在甘肅暴動謀破壞抗戰中共黨員千餘人通電聲討籲請軍委會依據國法懲處
page 6	訴諸武力實行暴動
page 6	顛倒是非搞亂挑撥
page 6	減削國力影響抗戰
page 6	北　我軍之攻勢克復大陵圍攻新街猛襲禺北高塘斬殺甚眾再攻太平場衝入何家埔
page 7	綏西大捷米行公所主席楊永庥電傅作義將軍致敬慰勞粵北將士籌備會成立
page 7	香港青年會高級國語班修業期滿發給證書全期學費三元
page 7	救傷隊週年大檢閱港督政躬違和昨未到場由賈乃錫將軍代表致訓
page 7	蔣光鼐夫人昨日在港浙世
page 7	馬會增建馬
page 7	莫壽增赴澳賑濟難民
page 7	本港各僑團將追悼宋哲元
page 7	長洲海面又有水雷爆炸
page 7	住聯會選出新理事定期本月十一日交代
page 7	海軍試放警報
page 7	英慰勞會最近募款成績六萬三千餘元
page 7	中央研究院徵集蔡公遺著
page 7	第一間商店被控違犯節省陽光法例警察奉命檢舉違例商號街邊小販亦受該例限制
page 8	開會致詞
page 8	籌備經過
page 8	徵求隊長
page 8	開始徵求
page 8	入社注意
page 8	軍官大醉駕車輾斃路人警察訪尋案中證人
page 8	棚匠被殺案昨日初審證人述血案發生經過同業爭生意弄成慘案
page 8	老航海家森麻土昨逝世
page 8	查究失金條案
page 8	衙前廊道十三號屋兩個梁美霞爭為業主互控侵佔罪對簿公庭誰是誰非今晨再研訊
page 8	少年墮崖慘死
page 8	建築技師奄士服務前線
page 8	九龍關新稅費
page 8	飛剪機昨赴菲創港菲飛行最高紀錄
page 8	中國救濟會徵聘醫生護士
page 8	昆明郵局招考汽車技術人員
page 8	琴齊舍書展訊
page 8	開本港新紀錄　險銷賣場出現
page 8	澳門政府已准魚菜出口昨晨各輪運來極多
