page 1	抗戰中之政治攻勢
page 2	日侵北海目的斷我內地交通
page 2	法權利受影響必聯英美應付
page 2	上海有一萬人生活無著完全倚賴慈善救濟彼等多係戰區難民
page 2	須磨抵滬談日本外交政策希望日蘇關係圓滑進展澈底考慮解決日美懸案
page 2	六中全會發電慰勞將士及嘉勉僑胞各組審查會昨舉行會議
page 2	上海偽警槍擊英人汽車英領向偽市府抗議
page 2	中青會領袖出國宣揚抗戰目的施行全世界為難民捐募振款
page 2	滬關上月分出口貿易增加入口貿易銳減
page 2	日本又增煙稅捲煙價增百份十四
page 2	四艘輪船沉沒其中一艘係屬英國一為希輪二為立輪
page 2	蘇聯已承認斯洛伐克地位
page 2	浙西我軍採取包圍形勢蘆頭烏鎮等地現均發生激戰
page 2	湘贛大捷有功民眾蔣委長電令查明獎恤並將經過事實詳報軍會政院斟酌情形頒發獎章以資旌揚
page 2	工業機器損失統計值一萬萬五千餘萬元
page 2	廣州日軍大為恐慌防我空軍襲擊
page 2	仙桃日軍被迫退走
page 2	晉西苦戰三日夜我克鄉寧縣城總計斃日軍約五百內有大尉隊長一人
page 2	北海仍在我軍手中龍門日軍已被我擊退企沙尚有殘餘負　亦不難殲滅廣州灣當局已增加邊界巡守兵
page 3	英官方否認撤退滬駐軍
page 3	蘇擬以最新戰略不戰而屈芬蘭強大紅軍集中芬蘭邊境同時封鎖芬蘭西南海疆
page 3	菲議員提議限制外籍之零沽商人此案若通過則華僑最受打擊菲島小商業大部在華僑手中
page 3	阿特里任英工黨領袖
page 3	日政府提倡米糧節約運動每逢星期三戒食米並定名為無飯日
page 3	德方否認德瑞談判決裂
page 3	港女子籃球隊在菲首次失利以二分之差敗於英華隊
page 3	對南美貿易英美將起競爭
page 3	夏津區長率民眾襲日軍殲滅盤踞城內日軍隨即加入國軍抗日
page 3	西線無大變化
page 3	美教會損失案事實未有解決滬江大學儀器財物盡為掠去未有賠償
page 3	汎美洲金融會議舉行全體會議
page 3	一德商船被英巡艦扣留
page 3	德國軍隊缺乏官佐人才
page 3	美潛艇奉令開馬尼拉藉以增強美國遠東防務無異向日提出嚴重警告
page 3	日岡部子爵甜言蜜語日在菲島無侵略野心贊成菲中立及其現政府
page 3	美對太平洋時局須取獨立政策否則必將損失一切紐約日報所著評論
page 3	齊亞諾申述意西聯合必要外間無論有何壓力不能拆散意西關係
page 3	英國商輪損失漸少德潛艇政策已漸失效力
page 3	歐戰發生後滿洲經濟地位受打擊豆糧及其副產品無從運往德國又無從獲得德國工業用品供給
page 3	傳德已向荷國下哀的美敦書要求荷與德國締結同盟德已正式拒絕荷比呼籲
page 5	沙灣日軍陣地進攻
page 5	開赴南路進擾北海
page 5	五六百人乘艦撤退
page 5	西江戰訊近誌我軍克復楊梅我圍魯村攻入日陣
page 5	管理各地戰時交通
page 5	省衛生處考試衛生人員送中央訓練後回粵服務
page 5	台山縣府積極籌　闢大窿廣　商人投資墾荒
page 5	救濟北江船民軍政當局下令辦理
page 5	日機連續狂炸寶惠各地昨又向沙魚涌等地肆虐本報記者親往各地調查
page 5	前日惠淡被炸情形
page 5	深圳漢奸被日槍決
page 5	日機昨日再炸各地
page 5	侵踞容良日軍挨戶派良民證
page 5	田主在外縣居住耕佃代納地稅財聽函復一區專署
page 5	中央未明令收回以前省券仍照規定比率行使台山省行負責人談
page 5	省府設實驗縣厲行新政以優秀青年任縣長
page 5	滇省黨部請中央續築滇緬鐵路鞏固國防開發西南
page 5	廣海海面日艦不斷肆虐貨船漁船多遭害
page 5	我空軍頻向從花日陣窺襲日犯天江被擊潰
page 5	中順河面日艦均告減少
page 5	西路日軍調犯南路江門日軍昨繼續撤退我團隊襲攻番禺沙灣日軍戰事交通管理處實行改組
page 7	港督之演說詞
page 7	行政不虞困難
page 7	戰費數目問題
page 7	輔政司演說詞
page 7	美大使昨抵港明日乘輪赴滬轉程北上
page 7	兩西商之演詞
page 7	李子芳演說詞
page 7	官員就地取才
page 7	立法局昨復會通過戰時政費預算案非官議員極力反對徵收所得稅當局已決意實行似無挽回希望
page 8	防空俱樂部昨已佈置完妥港督羅富國前往參觀
page 8	陸軍司令演詞
page 8	青年獻劍團將出發昨日舉行授旂典禮
page 8	兩機師竭港督報告帝航機被截擊經過
page 8	縣長來函
page 8	駐滬美領抵港
page 8	國醫會徵求會員
page 8	昨日高級學籃賽20比30華仁挫皇仁初級之戰改期今日兩場角逐
page 8	協會公開排籃球賽明日均有戰事
page 8	聖保羅女書院開慈善賣物會
page 8	印刷業商會討論維持業務辦法油墨洋紙價格升漲逾倍議決承接印件概照時價
page 8	五女團派代表視察中山災情代表團定今晨出發
page 8	海盜劫貨鎗傷榜人貨物搜掠一空值銀千餘元
page 8	蔣光鼐等抵港
page 8	駁覆財政總監
page 8	志士淒涼閑處老馬頭涌孤軍離營返國十五名乘電燈熄滅相約逃去違犯營規警當局已嚴密緝捕
