page 1	保衛西北與建設西南
page 2	Ｘ機肆虐狂炸桂林吉安南昌梧州亦遭投彈
page 2	外籍軍事家觀測中日決戰必在西北戰場地點於我有利
page 2	前日Ｘ機初炸沙市投二百磅炸彈美教堂被炸毀
page 2	北平郵務局長被匪擄去索贖款三萬元
page 2	我蘇魯游擊隊伏擊襲Ｘ毀Ｘ汽車多輛
page 2	一週戰況概述一自一月二日至八日
page 2	我軍三路大舉反攻杭州杭州西北山嶺尚有戰事
page 2	崇明島日浪人擾亂福安紗廠
page 2	我軍伏擊開赴安國之Ｘ
page 2	教廷報載日機狂炸在華教堂
page 2	平沼將在國會發表演說
page 2	溫逆宗堯通電勸人與Ｘ妥協
page 2	平偽政府荒謬否認英美貸款
page 2	鄂北隨縣以東我軍襲Ｘ奏捷夏家河之Ｘ向東回竄豫東之Ｘ犯淮陽受創
page 2	廣東方面
page 2	豫北Ｘ增加似有北犯企圖
page 2	Ｘ方定期統制煙台外匯
page 2	對羅斯福演說艾登贊揚備至
page 2	滬各界捐款三萬餘元國府收到轉解國庫
page 2	滬西意兵妄動陳佩慶在路旁便溺竟被意兵開槍擊中
page 2	國際反侵略總會最近援華概況英法南菲分會積極助我美國澳洲努力抵制日貨
page 2	晉西我軍大勝後Ｘ渡河犯陝計劃失敗收復吉蒲等縣之後斃Ｘ六百餘名偉我軍克復石龍游擊隊進抵莞城
page 3	美將如何制日斷食乎槍決乎將由外交委會執行宣判
page 3	捷政府向匈政府對蒙加爾事件提建議將烏匈交界地帶劃為中立區
page 3	中愛友好條約全文我英大使與愛英公使去年簽訂昨十日互換批准文件發生效力
page 3	詹森大使經法返美
page 3	大阪大火災
page 3	字林西報記者視察華北我游擊隊成效甚著政府依然行使職權
page 3	維多利亞大火原因天氣酷熱森林自然起火
page 3	德國向東推進初期決暫不侵入波蘭邊境希特勒已對波外長切實聲明
page 3	猶太難民二百由意繼續赴滬
page 3	倫敦財政論家推揚匯豐銀行
page 3	英準備取積極行動維護遠東權益同時援助我國經濟
page 3	費朗哥親函墨索里尼
page 3	歐洲時局前途悲觀料大戰將在春間爆發法國不能再忍獨裁者難免出於一戰戰機之爆發必係由於德意兩國挑釁
page 3	匈牙利決於日內宣佈退出國聯
page 3	東戰場我游擊隊大舉發動Ｘ軍恐怖異常
page 3	英法商決共同態度英意談話難有效果張伯倫過巴黎及熱那亞均受熱烈歡迎
page 4	婦慰分會召開會員大會
page 4	阿拉伯王子昨過港飛倫敦
page 4	鄧世增溫淑海函謝捐贈寒衣
page 4	車輛失事週報死四人傷廿九人
page 4	醫界長期捐輸去年十二月份之成績
page 4	東亞銀行勸銷救債成績
page 4	衛生局時症週報
page 4	本港造船業發達將躍居世界第八位一九三七年建船三萬三千噸尚有二萬五千噸現在建造中
page 5	我空軍連日之活躍
page 5	炸燬虎門Ｘ艦兩艘
page 5	Ｘ在太鵬登陸不確
page 5	寶安皇崗發生命案
page 5	寶安佈告催徵地稅
page 5	東北兩路之軍訊增從線Ｘ軍紛紛後退東江連日無大戰只有小接觸增城附城各鄉近日已無Ｘ蹤Ｘ派兵增援石龍莞城等 各地
page 5	我軍克復沙灣市橋續詳Ｘ軍分兩路退卻有重犯企圖退時留數函聲明三天內再來沙灣鄉民多未敢返鄉
page 5	白崇禧巡視西江防務訊徐景唐談西江軍事
page 5	Ｘ機連擾潮汕
page 5	Ｘ圖北江不逞後西馬口金利連日鏖戰我軍殲Ｘ三百金利墟無Ｘ蹤之字形戰略收效Ｘ機無所用七日我空軍飛三水炸Ｘ補誌
page 5	我空軍炸Ｘ之補誌
page 5	我游擊隊襲九江Ｘ
page 5	閩省海疆仍未解嚴沿海公路多破壞
page 5	南路沿海Ｘ情Ｘ艦頻改番號
page 5	我空軍炸Ｘ艦在赤溪海面施炸Ｘ艦傷沉各一艘
page 5	汕市黨部請懲汪精衛電
page 5	我反攻軍事進展中我空軍連日亦大展神勇我機十七架昨猛炸虎門太平燬Ｘ艦兩艘Ｘ陣地損失甚重石莞將大戰散傳單勸民離境昨傳Ｘ在寶安大鵬登陸不確
page 6	Ｘ機轟炸台山寨門漁艇
page 6	Ｘ機艦擾瓊崖
page 6	粵舉辦戰時工商農業小額放款派員調查各縣戰時財政經濟
page 6	瓊崖民眾舉行抗Ｘ宣誓全瓊三百萬人於本月七日舉行
page 6	新會第一期毀路工作第二期本月中旬實冼
page 6	牛灣海面Ｘ機追擊電輪該輪停泊暫避民眾誤為怪艦
page 6	鶴山宵鄉賭徒糾眾拒捕鄉長犯庇賭嫌疑
page 6	潮梅高中集訓生赴連縣再受訓女生則先返籍
page 6	財廳另派員整理汕商庫證
page 6	新會圍剿土匪拿獲　匪陳添等九名
page 6	瓊十種貨出口暫准免結外匯
page 6	溫淑海旅長訪問記
page 7	發生地點
page 7	住客逃避
page 7	哭聲震天
page 7	東區教聯會登記失業教 員
page 7	出席五中全會陳策陳慶雲等昨赴渝李福林指揮游擊隊抗戰未同行擬有重要提案託陳等代送大會
page 7	李福林歡送各中委
page 7	陸領殺Ｘ屢建奇功
page 7	袁帶任別動隊司令
page 7	金山輪昨赴粵載外僑四十名
page 7	澳門學界推行帶債運動
page 7	海賊劫貨艇槍傷榜人劫去大批荷蘭薯紅米
page 7	諾貝爾將赴菲
page 7	小麥禁止出口九龍關之佈告
page 7	英振難會又募得千餘元
page 7	警察當局禁旅客吸紅丸一經查出旅店主人亦須受懲各旅店已嚴防住客設局吸食
page 7	筲箕灣今晨火警焚兩屋住客多人失蹤聞有三婦人葬身火坑但未證實財物損失萬餘元焚燒約兩小時
page 8	還債運動成績微弱
page 8	捐助慰勞會一千元
page 8	難民營中尚用冷水
page 8	佛教徒設難童保育院紫竹林住持慨捐院所一間推行一毫運動藉籌經費
page 8	惠僑救鄉會定購大批棉衣
page 8	婦慰會召開座談會討論贊助工業合作社
page 8	聖保羅書院開遊藝籌賑會
page 8	捕獲截劫疑犯
page 8	授旗之儀節
page 8	再組兩大隊
page 8	青年隨軍團增組兩隊出發本月十五日行授旗禮
page 8	匯豐行獲厚利
page 8	難童三名候領
page 8	新團員提名
page 8	各界之贊助
page 8	雪中送炭難商會主席李星衢反對捐建難民營蒸水爐據謂難民食宿有地尚何他求李冠春個人慨捐一爐
page 10	烏盟盟長
page 10	石王夫人
page 10	助馬占山
page 10	沙王雲王
page 10	烏盟六旗
page 10	兩季祭祀
page 10	有詩特詠
page 10	抗戰一年半後之福建省府遷治永安後內地日趨繁榮生產貿易均有長足進展經濟漸足自給
page 10	現代成吉思汗沙王矢志抗戰內蒙大部仍由華軍控制民眾均深恨德王輩叛國
page 11	體特委會六次會議
page 11	隆重禮聘會長顧問
page 11	昨宵女子籃球戰績培道華僑南華奏凱
page 11	記者公會主辦之足球義賽游藝大會定本星期六在加路連山舉行昨聘出名譽會長顧問等多人
