page 1	蔣介石來粵後之粵治前途
page 2	桂軍開赴龍虎關截阻中央軍入桂桂林已入戰事狀態戰事有一觸即發勢
page 2	魯省國防外交會議昨在青市府舉行日在鄉軍人極注意召集日僑籌商應付
page 2	蒙偽匪軍續向綏東移動綏東形勢甚為緊張德王在嘉卜寺已被某方監視淩蘇龍被擄遇賴刺說証明不確
page 2	田代檄調吉岡聯隊趕速開寶昌增援並調佐木聯隊向綏東進股匪偽會合再圖侵攻
page 2	粵幣對法幣比率須候孔財長決定粵銀業界曾建議擬以加三計算折合法幣有人主張援用理川幣方案以改革粵幣
page 2	青市日人結隊巡行示威散發傳單高呼口號
page 2	北寧沿線日僑較上月份增加
page 2	陳濟棠出國休養已得中央同意英麟書返港向陳覆命
page 2	宋哲元肅清保定蚊蠅肅清漢奸又如何
page 2	粵民廳長王應榆乘日后輪來粵
page 2	林雲陔抵京日內到部視事
page 2	外籍教職員人數月俸統計
page 2	孫秉謙被侮辱後已得釋放返滬
page 2	滄石路沿線鄉民決武裝護衛土地請宋向日方撤銷承築協定並請中央收回該路建築權
page 2	桂局和平絕望黃紹雄啟程南下黃先在粵就新職謁蔣後定期回桂
page 3	美豐公司案法院維持原判
page 3	滬市人力車夫被英水兵毆斃市府已向對方提出交涉
page 3	甘肅地震區域極廣被災甚重
page 3	財部分行各省市認真查緝偽幣自印鈔幣正籌劃中
page 3	陳振先日內田聯廬晉京主持農本局設立事宜農本局協理呈請辭職
page 3	津市十七中學力爭教育經費
page 3	僑委會派員赴南洋考察僑民教育以謀積極推進
page 3	李基鴻談粵省禁煙辦法決于短期內根本滅絕
page 3	京市氣候降雨後已變涼
page 3	美各大學教授抵平遊覽名勝
page 3	貴州綏靖主任名義撤銷呈府備案
page 3	國大選舉醫師名額分配
page 3	吳醒亞靈柩運滬公葬過蕪各界代表碼頭公祭
page 3	中美空運問題雙方尚未接洽外電所傳不確
page 3	閩省嚴限肅清殘匪各軍進行甚力黃立貴等股均已散竄
page 3	全國火柴業聯營總社設滬
page 3	日本外交政策外陸兩省意見一致外交政策重心在對俄對華政策當特別審慎
page 3	贛農村合作事業辦理頗著成效現正積極推進中
page 3	西國仍在劇戰中西首相宣稱最後勝負四十八小時內可決定
page 3	世運重量級拳賽我國選手勝英英選手謂評判不公已向當局提出抗議
page 3	下屆世運會偽滿圖參加
page 3	四百公尺自由泳日美選手列第一
page 3	秘奧足球賽爭潮將擴大
page 3	二百尺俯泳決賽日選手又列首名
page 3	四百米自由泳美國選手第一
page 3	不干涉西國內戰各方已大致贊成
page 3	中政委會開十九次會議決議要案六項
page 3	新西蘭飛行家由滬飛抵青島
page 3	津鄂冰雹成災
page 3	　人有膠　路恃強滋事毆人我已向日方嚴重交涉
page 4	昨晚甲組籃球賽青年會勝印警兩場乙組因雨改期
page 4	南華隊南遊日記
page 4	英京銀價無變動
page 4	青年會游泳團第一次測驗成績公開俯泳劉美修得第一名
