page 1	蘇聯亟應增強對我援助
page 2	美限制廢鐵出口日本地位愈窮蹙
page 2	日　會不日開會近衛命運有問題
page 2	美朝野已下決心少講說話多行動
page 2	日報認英美貸款為聯合壓迫日本
page 2	德機大舉炸擊蔑蘭西部小鎮英機亦飛德轟炸
page 2	駐美英大使勞司安突病逝死前仍發表演說詞信英必獲最後勝利
page 2	勞司安演說詞
page 2	英艦砲擊沿海意軍
page 2	希軍乘勝向阿北部推進威脅士金比河流域意煤油資源受危害
page 2	德貨輪一艘被荷軍艦截留該輪船員自動縱火
page 2	北非洲西沙漠英軍克復塞特巴倫尼鎮意軍被俘虜者至少有一萬人自由法軍在埃協助英軍作戰
page 2	沙漠作戰英軍有備
page 2	英機頻炸意軍機場
page 2	意軍增援難挽頹勢
page 2	英國航政大臣反對美糧接濟歐陸英國人生命重於歐洲人美糧接濟歐洲等於延長戰爭
page 2	美海軍諾斯視察國防完竣
page 2	日南進積極準備西沙瓊島海防日軍　集蘇考慮繼英美助我援助不限經濟特別注重空軍日國際環境不利近衛地位危
page 3	匈南兩國締結相互不侵協定
page 3	土向保國提議訂互不侵條約
page 3	德蘇商務協定談判近已結束
page 3	泰越空軍不斷互炸泰軍連日襲擊越邊越督及日軍代表團將赴西貢視察星洲領談泰政府仍願與法談判
page 3	泰機再飛越境轟炸
page 3	日忽發表泰伊條約
page 3	襄河之役日軍損失重大晉南三角地帶激戰霍縣日軍西犯受創
page 3	盛世才等通電斥汪
page 3	日機多架分襲渝昆
page 3	菲憲法修改問題奎松與美專使駁論造成備忘錄準備呈遞羅斯福傳羅斯福有撤換塞里氏可能
page 3	駐日澳公使拉森抵滬明日轉程赴日
page 3	荳薯種子有殺蟲能力黃瑞綸博士發明
page 3	兩種公債抽籤
page 3	美以美教會傳道將停止總撤退美主教謁蔣後談話
page 3	蘇反軸心態度益顯最近派員警告保王勿許德假道政希否則蘇聯決先佔保國黑道口岸聚利亞人反對維士政府漸激烈
page 5	安安日軍又揚言封鎖邊界交通草布鄉斃日軍數人鹽田連日又被騷擾
page 5	三水日艦艇犯羚羊峽日艇一艘被擊沉
page 5	都斛雙水貨物堆積物價亦趨低跌
page 5	台山各界慰勞前線將士向各長官獻旗
page 5	日軍兵力單薄無法進犯粵北廣州重光之時機將至軍事長官與記者談話
page 5	一區發展戰時運輸通令各縣組貨運隊發動農民耕餘運輸鄉鎮長應保護貨運
page 5	張司令長官告傷病官兵書
page 5	廣州日軍搜花地煙賭館捕去男女數十人
page 5	欽防我大軍開始復員將轉調其他戰場俾再建功勳瓊崖日軍擾新興市被我痛擊
page 5	桐油統購統銷辦法須憑內地轉運證方准放行粵省奉財部命令通飭辦理
page 5	曲江小本貸款處貸款軍人家屬並訂特別優待辦法
page 5	日煽動越泰間發生衝突乘機推行南進政策之陰謀　集瓊島海面日艦已紛紛南開日軍官日前一度在潿州島會議
page 6	民營工業
page 6	省營工業
page 6	扶助發展
page 6	桂南糧食不虞缺乏省府與糧管處統籌辦理派員實地攷察積極存儲
page 6	潮僑眷屬請恢復匯款數十萬災民饑寒交迫
page 6	中越文化會在桂成立推定李任仁等任理事發表宣言向長官致敬
page 6	粵振濟會加緊生產工作華僑　　捐款六百萬元
page 6	韶興公路運輸情形
page 6	國防委員會設物價審查會穀　　為　任委員　　
page 6	省　臨中服務團國落鄉倡導冬耕高初中部分區出發
page 6	興寧地價暴漲原因
page 6	粵北工業調查完竣建設廳協助復活興民營工業擬定辦法分予技術經濟協助昆連戰區各工廠　設法內移
page 7	移往九龍
page 7	訂定辦法
page 7	甲種葬地
page 7	本港肉行商人派專輪赴汕尾辦牲畜連日已有大批運到市上肉價仍未稍跌
page 7	七號墳場
page 7	箕筲灣謀殺案之真相六個鎳幣竟累一命
page 7	又到大批暹米本港市價可望續跌
page 7	貨艇觸礁沉沒
page 7	海盜騎劫貨艇
page 7	難民工業社賣物會今開幕地點在聖約翰禮拜堂
page 7	人鬼同樣擠擁本港墳場已無隙地明年元旦實行封閉新死者須移葬九龍七號墳場港政府已置備舟車代運棺柩
page 8	郭會詆張為富不仁
page 8	冀博巨款以購片
page 8	陳氏自認參加行騙
page 8	市民營養問題
page 8	歲底延長營業時間商會已代各行擬定辦法日間呈請當局予以批准
page 8	鉅劫案昨提堂
page 8	違犯統制令兩柴店被處罰
page 8	三大漢搶救伐樹犯人
page 8	滬旅客來港免攜防疫證書
page 8	警察當局下令肅清各區歹徒警探連日四出搜捕疑犯多人將解出境
page 8	何華生昨返港　與星洲近況
page 8	中區保衛團將先成立藉作各區團隊模範
page 8	唐拾義追悼會昨午在孔聖堂舉行
page 8	翁照垣昨飛渝
page 8	兵災籌賑會謝各行商捐助賣物會成績在核算中
page 8	永樂輪已獲釋
page 8	聯美機未到港
page 8	孀婦追索汽車愛侶對簿公堂
page 8	反婢會召開年會
page 8	天仙局一騙案續審陳倩如欲騙人反被騙合夥開狀元攤咎由自取次被告袁裕祥無罪省釋
page 10	國際杯初賽英格蘭隊陣容昨已正式排定實力相當雄厚
page 11	英國海軍軍官學校
page 11	蕭伯納戰時幽默我不被希特勒威脅割去鬍鬚
page 11	美國的艦隊上
page 11	第四章麥日之死
page 11	夏威夷軍港素描
