page 1	開放長江問題
page 2	邕賓路我再克復八塘連日欽防問日軍受重創犯桂日軍後路悉被遮斷
page 2	渡撫河我向南昌挺進贛北我軍一部衝入奉新攻入奉新展開激烈巷戰
page 2	漢宜路我軍正面出擊一週以來斃日軍逾千人潛江城仍在積極圍攻中
page 2	柳州發生激烈空戰
page 2	粵我軍反攻克銀盞　我軍進襲三水直撲北門沿途與日接觸均有斬獲
page 2	晉東南日軍處處受困我猛攻長子斃日軍無算鎮風塔我正加緊圍攻中
page 2	上海日人機關報評論新政府須靠日支撐新政府若在自由獨立名義下成立則難保將來不會發生中日間之慘變
page 2	聖誕郵件暗藏炸彈倫敦郵局通告各職員要小心
page 2	渝市元旦舉行盛大巡行
page 2	由溫州等赴滬不得多攜國幣定額只限二百元超　此數者沒收
page 2	偽軍王興煥反正事洩被戮就義至死不屈高呼民國萬歲
page 2	華西建設公司獻蔣耕地萬畝
page 2	女子吳木蘭在滬被刺斃命料係與政治有關兇徒似汪派分子
page 2	滬律師公會開除敗類會籍
page 2	開戰以來聯軍截獲違禁品物共達八十七萬噸此等貨物若靠火車運輸需要一十一萬六千餘輛
page 2	平綏路交通大部破壞我攻入包頭激烈巷戰我軍各路出擊綏省入混戰狀態
page 3	日本國會開會阿部應付困難
page 3	關于英日談判日傳已有進步
page 3	重慶各團體歡迎緬訪華團盛況三
page 3	團長宇巴倫氏演說
page 3	法總理宣稱盡力援助芬蘭芬軍在柏三姆區猛烈反攻蘇軍猛攻曼拿漢陣線不逞
page 3	西線方面空軍又大活動
page 3	美國感覺並非麻木對何為侵略國尚能有所辨別
page 3	美海軍度支委會提議加編預算建造六萬五千噸之主力艦有主張造八萬噸超主力艦
page 3	法政府發表黃皮書聚述戰前情形該書強調法外交努力維持和平指出希特勒種種背棄信義事實
page 3	法國大捕兵共黨
page 3	美洲各國將向英德抗議謂交戰國海軍破壞中立地帶
page 3	美大使與日外相會談料係關於長江開放問題日外相宣傳美對日好轉
page 3	菲島寶施中立法問題重要
page 3	瑞典志願軍第一批赴芬蘭
page 3	德人被控偷聽外國廣播謂係犯叛逆之罪處十五個月監禁
page 3	英國油船觸中水雷傾側
page 3	日法商約行將期滿日與法商訂過渡辦法日希望法能多銷納絲織品而日本可仰給煤鐵於安南
page 3	對於開放長江日方患得患失日政府希望美有善意回答日人恐得不償失多積極反對
page 5	粵南我軍雲集前線
page 5	犯靈日軍全線崩潰
page 5	我懸重賞反攻邕城
page 5	日機散放挑撥傳單
page 5	虛傅日在水東登陸
page 5	粵參會議決請用女子行政
page 5	封鎖珠江後廣州日軍之大調動　　赴粵北粵南增援駐市日兵撤離二十里
page 5	島洲島我日發生空戰傷日機一架墜下大角河面
page 5	我軍夜攻茶山目偽捷訊先焚燬其營幕旋將日偽擊潰
page 5	粵海軍管區改委黃世途任司令張發奎令飭各區收容淪陷區民眾
page 5	我克大良日偽仍集沙頭前晚容奇發生大火我團隊仍包圍容奇日偽再犯小黃圃禁黎畝村茅寮後潰退江門日軍兵力空虛會城昨最戰事甚烈
page 5	廖秀山部全駐大良
page 5	突向容奇放火焚燒
page 5	各地交通均告斷絕
page 5	犯小黃圃繞我側翼
page 5	派便衣隊潛入江會
page 5	經已迫近江門市郊
page 5	日力空虛會城戰烈
page 5	西江下游海道交通停頓六邑護輪隊成立辦事處
page 5	李漢魂巡西江就任卅五集團軍總司令昨已公畢由肇返抵韶關
page 5	河源縣長被控
page 5	南洋僑胞組回國慰勞團籌振總會請僑胞參加
page 5	粵桂我軍所向皆捷掃蕩犯靈山日軍猛攻邕城調某集團軍部隊回防粵南白崇禧令禁民眾代日工作當局積極強化電白之防務
page 7	香港是否英鎊集團
page 7	羅文錦談值得研究
page 7	全港廠商均甚關切
page 7	亞洲旅店謀殺案查訪死者姓名
page 7	德潛水艇追擊英輪被護航英軍艦轟沉
page 7	中山僑商會新職員已選出
page 7	銀行與郵局耶誕辦公時間
page 7	六賊夜劫難民掠金飾紙幣值二千餘元
page 7	防空當局在西區建新樓
page 7	耶穌誕之前夕百貨商店延長夜市各大酒店趕製聖餐
page 7	南華大學響應募衣運動
page 7	培正中學舉行五十週年紀念
page 7	星洲政府將禁多種港貨進口因不承認香港為金鎊集團港廠商大起恐慌設法應付
page 8	明星茶樓設象棋鐳台賽今晚何　武對周德裕
page 8	中華電力公司獲利二百餘萬昨日召開股東年會
page 8	學齡及青年時期之營養一
page 8	旅滬粵同鄉捐金三萬振濟桂難民由駐港代表交廣西銀行代轉該行又收到寒衣捐款數萬元
page 8	五種交通工具年內須換新牌
page 8	張寶樹追悼會明年元月十七日舉行
page 8	中國文化協會今日開座談會
page 8	昨日地震上下午各一次地點距港極遠
page 8	兩影業公司今招待文化界
page 8	麻章來客談南路軍事機構強化劃分兩個游擊區殲滅日軍由張炎鄧世增分任指揮官
page 8	商會籌祝元旦
page 8	甲組聯賽第二週聖約瑟整陣抗南南下午四時會師加山警察逢士葛九龍遇海軍
page 8	約瑟重逢南南
page 8	警察迎擊士葛
page 8	海軍對抗九龍
page 8	公開女子籃球賽今夕揭開戰幕知行迎擊仿林南華對抗西南港大改期思思客串戰勵志隊
page 8	籃球聯會最近各項措施
page 8	三千青年埋頭苦幹我國製成大批新飛機新空軍計劃短期內可全部完成翱翔戰地之時即日軍潰敗之日
