page 1	從國際關係解剖但澤形勢
page 2	晉省戰事
page 2	德當局尚否認但澤軍事行動德雖訕笑英法過度驚惶其實但澤命運殆已確定
page 2	Ｘ海軍發言人稱閩江封鎖完竣英美保護權益不令僑民撤退
page 2	波羅將實行貨幣貶值調整產品價格與美國等競爭銷路
page 2	黔湄潭青年自動從軍並已編成一隊啟程赴築入伍
page 2	吳鼎昌談出巡觀感農村欣欣向榮各縣吏治清明
page 2	于斌抵芝加哥華僑熱烈歡迎
page 2	Ｘ艦三艘砲擊溫州發廿餘彈我無損失
page 2	福州美僑被Ｘ侮辱令美僑不堪
page 2	滬新匯劃票開始流通舊有匯劃票則換取法幣
page 2	政院會議議決各案
page 2	駐日外國記者紛赴蒙偽邊境
page 2	浦東綸昌紗廠白俄守衛中毒
page 2	何部長發表Ｘ軍死傷統計總數八十六萬餘四五月共十萬強
page 2	南滿鐵路Ｘ車兵軍相撞
page 2	傳邱吉爾及艾登將重入閣
page 2	我江防砲兵發揮威力
page 2	蘇聯熱烈進行籌備中國藝展
page 2	駐德大使韓德森病返國
page 2	Ｘ機轟炸揭陽
page 2	傳日政府向美要求貸款援助美如肯以信用放款助日本日則接洽美調停中日戰爭
page 2	滿蒙邊境仍有劇烈戰事雙方機械化部隊均出動日傳奪獲蘇聯機二十架
page 2	我粵某有力部隊攻入新會迫近江門蘇浙我軍襲Ｘ衝入嘉興城晉南永濟風陵渡之Ｘ北撤
page 3	美國華僑紀念七七舉行盛大遊行
page 3	教皇代表飛渝向我當局至敬
page 3	日本大興黨獄捕青年學生七百名
page 3	英下院討論滬李利案英擬向日提出要求現金賠償
page 3	潮安學生請纓當局已予以收容
page 3	英法兩國當局研究蘇聯覆照英願保證波羅的海沿岸線國家三國協定草案不久可著手討論
page 3	法國國慶日英決派飛機百架助慶我國林主席亦致電遙賀
page 3	抗戰後的西北皮毛業二
page 3	羅斯福簽准美國緊急國防預算案增加空軍增強巴拿馬運河防務
page 3	羅斯福關懷歐局
page 3	新西蘭之愛聯邦理想過於帝國新財政部長之談話
page 3	德政界否認巴本赴蘇
page 3	英日談判將在東京舉行英外次報告天津事件英始終維持原定態度
page 3	日軍當局態度倔強
page 3	法殖民部長要求擴充越南軍費擬就地徵收特種捐稅以資挹注
page 3	天津租界復趨緊張
page 3	日本國內大舉反英
page 4	報告事項
page 4	美僑昨祝國慶
page 4	討論事項
page 4	紅丸案昨詳臬
page 4	渣華新船來港明日上午可抵步
page 4	救債勸募分會擴大購債運動將發表警告僑胞書籲請踴躍捐資購債
page 5	我軍進克會城真相
page 5	Ｘ偽反攻外海失敗
page 5	李福林昨飛抵馬尼剌當地華僑隆重歡迎
page 5	我便衣隊襲擊Ｘ偽
page 5	Ｘ機連日甚少出動
page 5	Ｘ艦又再砲擊睦洲
page 5	三水Ｘ調佛山我軍一度攻佔佛山車站殲Ｘ五六十人另斃少佐一員三水Ｘ軍一部移返佛山駐守
page 5	一度攻佔佛山車站
page 5	三水Ｘ軍移調佛山
page 5	我機迭飛三水轟炸Ｘ陣
page 5	我機轟炸西南鐵橋
page 5	東北兩路戰訊續誌高塘九佛墟相繼克復我軍一度克許先岩過近石龍
page 5	橫潭Ｘ軍完全敗退
page 5	克復高塘回攻江村
page 5	龍九佛墟Ｘ軍又敗
page 5	駐九江Ｘ大部撤退另調雜軍接防並即施行戒嚴
page 5	獅子竇站被我焚毀
page 5	梧檢閱防護團
page 5	欠稅免罰展期
page 5	Ｘ屢增援我守原陣
page 5	進逼石龍爭奪甚烈
page 5	粵省籌設皮革製紙兩廠
page 5	我軍前日攻入會城之真相Ｘ派偽軍反攻外海受重創Ｘ機連日甚少出動之觀測我便衣隊衝入紫泥羊橋市
page 6	一絕好的游擊地帶
page 6	二無虱　的不配當游擊隊
page 6	戰區司令部嚴查前糧管處
page 6	廣西教育消息
page 6	伍觀淇將軍領導下禺北游擊抗Ｘ經過二本報北區戰地記者與陳主任之談話
page 6	台山縣民送子入伍
page 6	省婦女工作會令各縣組婦女服務隊
page 6	萬頃沙農民聯請自衛局長打銷辭意
page 6	新會將另設聯防機關
page 6	朱暉日等發起組六邑救濟會
page 6	Ｘ艇擾小北江在馬房被我擊沉
page 6	訪問第二遊擊區一
page 7	限本年內訓練完成
page 7	非常時期出而服務
page 7	順德僑商平糶會會議選出執委二十三人富商何華生任主席
page 7	港九各區以後晚晚制水由十時至翌晨五時始開放限制時間較前增加一小時
page 7	本港輔政司史美今午返國
page 7	報際象棋賽朝報華僑棄權
page 7	七七紀念會決定素食辦法
page 7	筲箕灣破獲紅丸機關拘捕男女疑犯六人
page 7	港僑救護團公祭陣亡將士
page 7	蒲崗村迫遷案遷徙期限展延兩星期
page 7	嚴密保衛香港防空委員會積極組消防後備隊增強消防力量應付非常時期徵求市民參加男女均可投攷
page 8	畫報登記辦法
page 8	說得天花亂墜萬善緣大會宣言功修十地大開般若之門孽解三生廣設無遮之會
page 8	團體備案規程
page 8	賑聯會昨會議
page 8	海賊截劫漁船一艘被擄一艘脫險
page 8	利源東街截劫案公審劉文珠被控糾黨圖劫案
page 8	東院總理難產僅五人允出就任
page 8	法航機新班期
page 8	飛鏢場主被罰
page 8	澳門賽馬有期
page 8	南華南遊隊庇能兩戰皆捷三比一先勝中華繼挫該埠選手隊
page 8	夏令籃球賽會委員昨已選出
page 8	南遊日記四
page 8	汲水人墮井死
page 8	巨竊案犯入獄
page 8	南華會友籃球賽展期止截報名
page 8	友誼排球賽記者渡海戰仿分
page 8	聯會小型球賽訊
page 8	拍賣地段詳細章程
page 8	中央僑務會通告僑港文化機關須登記在此抗戰建國之際應與政　聯絡報紙發表非法言論者將禁止入口
