page 1	歡送邵大使赴俄
page 2	信陽附近我軍克復要點柳林附近日兵車被炸鄂北程家河殘日肅清偽
page 2	蔣委長德籍衛士隊長史天大佐談我抗戰日機濫炸增加我戰爭精神蔣委長體強如鋼領導抗戰
page 2	奸逆圖冒名復刊益世報揭破日方陰謀欺騙民眾徒見其心勞日拙
page 2	良口附近激戰日軍希圖突圍遭我痛擊迄不得逞
page 2	南僑一分團謁黃帝陵三分團抵西寧
page 2	日卅五師團長前田在晉城負傷不治
page 2	正中書局貢獻版權教部呈請褒獎
page 2	邕欽路附近連日發生激戰小董日軍竄擾受挫
page 2	我軍一度衝入海鹽偽自治會長張子芳斃命
page 2	嚴懲貪污國府重申訓令特別注意於高級官吏
page 2	吳鐵城談汪組織於我有益無捐汪粉墨登場民眾再不受愚只有抗戰到底才有真和平
page 2	古巴萬埠抗日會通電討汪汪精衛盜竊名器
page 2	為虎作倀之女子王寶業在滬被刺斃命傳係曾逆姪女王寶業係代名
page 2	贛東我軍出擊勝利進迫彭澤克流芳市漸東我軍分路猛攻餘杭上埠
page 3	聯軍開放水閘阻敵
page 3	佛蘭特區戰情仍然
page 3	英軍一隊在法登陸
page 3	德機損失超過二千
page 3	聯軍一部衝出重圍
page 3	料德將攻英法兩京
page 3	哭而不去的傀儡三
page 3	英意談判經已決裂英代表由意返倫敦墨索里尼謂意大利終必參戰
page 3	新西蘭準備施行強迫兵役下大決心戰爭到底擁護聯軍獲取勝利
page 3	羅斯福防備侵略積極整軍經武要求國會撥款十萬萬元訓練戰鬥人員百萬以上
page 3	英政府取嚴密措施嚴防奸細活動德軍所用軍運飛機危險甚於第五縱隊
page 3	美聯邦公安部主任贊成羅斯福繼任總統連任三屆總統雖屬破例惟顧全國家安全更重要
page 3	英法空軍作戰英勇如常不　比王降敵影響
page 3	在法美僑乘輪返國
page 3	奧青年男子多被徵充兵役西線大戰以來奧人心甚沉鬱
page 3	政視團抵耒陽
page 3	比內閣否決比王地位比王現處敵力之下彼已不能統治比國
page 3	法總統致電鼓勵北翼聯軍今能英勇爭鬥將留光榮史頁
page 3	美艦兩艘返滬
page 3	由比海岸撤退英軍源源返抵英倫南岸聯軍決堤放水以阻德軍壓迫
page 4	南洋公司最新貢獻怪俠一枝梅試映觀感是一部有意義而又名符其實的作品
page 5	向中新邊境集中
page 5	決從新加以調整
page 5	江會各線之戰情
page 5	中澳之水陸交通
page 5	粵北日軍潰敗中日閥調兵北赴增援襲擊日軍車發生戰激我團隊破壞廣從公路
page 5	呂春榮政爭失敗後赴中山擴編偽軍續聞欲以中順兩縣為其根據地但順德偽軍呂逆不能統轄
page 5	桂來賓縣街長臨財不苟受獎十萬金如數送還
page 5	軍委會慰問組犒慰從化負傷官兵
page 5	槍決漢奸劫匪
page 5	端午佳節征募禮金慰勞征慰會訂定辦法
page 5	日在三水崗根興建臨時倉庫強拆民屋取用磚瓦
page 5	省行防範資金外流提高存款利率
page 5	各縣舉辦農貸須切實防弊
page 5	偽廣東江防司令部之組設難其最難解決者為經費問題汪偽政府擬設銀行發鈔票
page 5	旅菲僑胞代表抵韶慰勞將士
page 5	桂省府派員視察飲水消毒
page 5	粵國民兵團後備隊初斯教育在實施中軍管區訂定訓練計劃
page 5	三水日軍犯大路墟受創白坭市民眾被濫捕
page 5	袁帶接長一區游擊司令後決將中順團隊從新調整袁氏與彭霖生晤商後即就職江會戰情尚緩偽軍發生內鬨
page 6	良口西南郊戰甚烈
page 6	日軍左翼企圖突圍
page 6	我日爭奪之中心點
page 6	廣州日軍限三日內拉伕七千運赴南路工作附市各鄉按戶分等交伕市內警區亦須依額解送
page 6	廣東省政最近進展情形一本既定計劃做去埋頭苦幹成效甚多
page 6	政治方面
page 6	中山日軍扣留出境鄉民
page 6	我游擊隊襲太平擊斃偽軍隊長
page 6	維持鹽食限制鹽店醬園
page 6	經濟方面
page 6	文化方面
page 6	日軍北犯野心尚熾良口墟各地之戰情日擴展左翼犯棋盤山被痛殲米　西側日受創我克芙蓉頂花縣日軍犯福源水遭我擊潰
page 7	本屆畢業生之題名
page 7	中英國運咸抱樂觀
page 7	學生多人投效中國
page 7	積極訓練當地工人
page 7	星洲禁貨打擊工業
page 7	張陸鵬返前線
page 7	歐戰發生後本港工業仍見發達小規模新工業極呈蓬勃失業工人漸為工廠吸收衛生局主席發表去年報告
page 7	護督致詞舉行頒獎
page 7	羅翼群昨抵港
page 7	日機犯渝郝更生受微傷
page 7	學生賑濟會明日舉行年會
page 7	澳門馬票暢銷下週賽馬搖珠開彩
page 7	傷兵之友推進會昨結束成績約達二萬餘元今日匯呈重慶總社
page 7	成績一覽
page 7	徵求競賽
page 7	西友贊助
page 7	港大卅四屆畢業典禮四十八人獲碩士學士副監督史羅士謂該校同情中國現到中國內地服務者已有多人
page 8	好夢方濃忽告火警
page 8	消防隊員全體出動
page 8	傷頭斷足慘不忍賭
page 8	掘出屍首共十三具
page 8	傷者十七人入醫院
page 8	夫妻走避遺失兩子
page 8	日機頻犯重慶不能動搖我抗戰信念渝來客談日機襲渝情形
page 8	女兒肩今晚開演
page 8	粵省軍事極有把握廣大慰勞隊報告
page 8	長洲發現水雷
page 8	深灣發現暗礁
page 8	崇正濟難會募款救濟饑民昨募得四千餘元
page 8	華比銀行滬行經理過港
page 8	丹輪馬思克號美貨發還美領英船務大臣訓示到港
page 8	菲督座船竣工
page 8	孔會義學賣花
page 8	荷蘭船務貿易委會保管淪陷區輪船貨物荷蘭外交部長之訓令
page 8	昨日之雨量
page 8	中山濟難會新委員昨就職郭泉為正委員長
page 8	圖劫案昨判決藏槍械案仍押候
page 8	世界黃金的出路
page 8	藝術欣賞會消息
page 8	外聯會初夏聚餐
page 8	灣仔波斯富街深夜大火焚樓六層死傷卅餘人灰燼中掘出屍首十三具傷十七人兩人生命危險
page 10	今日棒球聯賽洋水兵戰香港明日兩場戰事南華新軍上陣
page 10	明日兩戰
page 10	公開籃球賽今夕六路會師南南能否上陣屆時決定
page 10	東方新泳場本星期日開幕
page 10	東方南征足球隊在菲三戰三捷詳情三
page 10	九龍學籃戰訊
