page 1	松崗談話與日外交近態
page 2	老撾邊境兩軍開火泰機大隊空襲維田
page 2	越法當避仍欲和平泰不來攻決不先發
page 2	希特勒曾與比王會談
page 2	傳阿根廷海岸外英德發生海戰
page 2	松岡又發恐嚇談話美如攻德日必參戰
page 2	英德空軍互相大舉轟炸英機炸德鋼廠投彈四千枚德機襲倫敦轟炸區域甚廣
page 2	德機大舉炸擊倫敦
page 2	華北各地日軍車連日被炸發生五宗之多
page 2	蔣委員長在紀念週講演四痛駁日汪私約
page 2	泰越戰爭徒利日本海防日軍有意生事
page 2	越南泰僑完全撤退泰人決心收回失地
page 2	泰越邊區戰事復烈湄公河兩岸機砲互轟我軍五師開抵越邊河內亦傳中英商訂軍事協定泰決收復失地談判解決難極
page 3	希軍奪加士托管曾與意軍肉搏戰
page 3	日當局決定實施改良東京港口計劃企圖將橫濱繁榮擴充到東京橫濱市民恐受影響表示反對
page 3	孫院長提議糧食由政府專賣蔣委長令軍隊協助冬耕不索報償俾增糧食出產
page 3	羅定耶誕日為因哀日表示紀念所失土地不忌政　地震捐告
page 3	羅蘭士女士已獲釋放在神戶候輪返國
page 3	德貨輪伊達華爾特號被英巡艦扣留船員欲將該輪縱火焚燬為英巡艦人員將火灌熄
page 3	日機三架上午十一時十三分在朱亭
page 3	中越文化工作同志會
page 3	蕪湖方村鎮綏靖隊第一連全部
page 3	上海外訊美僑七十六人
page 3	華中遣征軍司令部今日宣佈
page 3	馮湧西北康村日廠被我澈底破壞
page 3	法蘭西學院教授亨利貝格臣行將辭職彼為法國有名之猶太哲學家不滿貝當政府頒布排猶法令
page 3	奎松發表談話維持菲憲法修正案對美專使談話表示不滿
page 3	晉南我軍出進奏捷鄂中仙桃日軍竄犯被我圍殲日退鎮南關時遺棄輕重甚多
page 3	意又換海軍統帥企圖海陸大反攻
page 3	希軍兩路大捷北線距埃爾巴桑僅八英里南線逼近德比林意軍潰退淩亂損失甚大英希空軍痛炸阿兩要港
page 5	中山八區發生激戰
page 5	沙頭角日軍昨又騷擾鹽田沙魚涌葵涌實行夜運
