page 2	我之統一觀
page 3	財長劉恩源偽造墊款成功說使軍警放心現已逃津
page 3	王寵惠電告五日放洋辭謝使命
page 3	直魯豫熱綏察議員聯請直奉戢釁
page 3	軍警回擁閣滬萬鈞張琴警告
page 3	黎元洪約王家襄吳景濂張伯烈報告與外交團接洽墊款十個月共三百萬將有成議各公使電本國請示下星期可覆到望國會原諒景濂要交議
page 3	京電言張克瑤前鋒到南雄方本仁前鋒到英德有彈五十萬　韶關交沈鴻英
page 3	保洛甯會保陳炯明長粵李根源亦言我不幹
page 3	中　派議員亦主內閣部　改組
page 3	外國銀團允撥鹽餘百萬原約駐外公使領事經費四十萬軍警六十萬張紹曾欲全數發給軍警銀團不肯照撥
page 3	張紹曾擬辭職將稿示吳景濂吳不語李根源彭允　不贊成　獨辭故辭呈未上
page 3	眾議院三十日議程未列入不信任案倒閣派決臨時動議
page 3	吳景濂廿八晚赴津接洽國會內閣
page 3	國務院派何恩溥疏通海軍先到江寧晤齊燮元杜錫珪再來滬
page 3	福州米店廿九日罷市因軍隊強買不付價上遊運米又被沿途駐軍強買
page 3	連日馮玉祥部自南苑移北苑聞將赴邊防
page 3	吳佩孚令袁祖銘假道湘西回黔趙恒惕堅拒滇軍前鋒
page 3	已抵桐梓接觸在即
page 3	現在各省實力擁閣者僅有江蘇齊燮元
page 3	大墊款劉恩源報糊塗吳景濂十家襄問黎元洪條件不能答致議員多人往詰黎黎召劉則已赴津財政次長　競仁入府　墊款難成
page 3	某外人　捲煙專賣說帖民督商辦二借墊籌辦三設立銀行四規定專賣所五限制外商營運定限六明定專賣收入用途
page 3	東江形勢日趨緊急
page 3	北路聯軍最近之作戰計畫
page 3	拉伕情形續誌
page 3	香山城發生戰事詳情
page 3	王寵惠之統一意見
page 3	北海西訊
page 3	南寧西訊
page 3	王寵惠演詞錄要
