page 1	土煙專賣與稅制問題
page 2	國際風雲緊急中王寵惠談中日問題中日交涉已達最後關頭欲謀解決雙方須有誠意
page 2	中日外交仍在作側面磋商桑島抵京後當有新開展國際輿論對日謀獨霸遠東深長不滿已在磋商採共同步驟以保在華利益
page 2	虹口一帶情形似覺和緩
page 2	寺內廣田協議對華對策
page 2	英美注意保全在華利益
page 2	魯大昌任一六五師長
page 2	宋哲元昨日由津返平在津曾與田代會晤所談多關經濟問題
page 2	冀察總稽查處遷津即可實行
page 2	國軍佔領成縣賀龍已受重傷匪勢已失退踞徽縣
page 2	對京滬報界宣言東京各報多表緘默惟時事新報評論謂誠意接受彼等所言宣言中所云確為中國人民偉大的覺悟粵以新聞界亦發起響應
page 2	葉海生提上訴已准
page 2	張代總司令發表重要談話西北四省獨立說純屬謠言個人及西北諸將領絕對擁護統一一致對外絕對服從中央命令甚願效命國防第一線上
page 3	粵漢路通車禮雙十未能舉行武昌總站尚未落成所購新車亦未到齊
page 3	王應榆李煦寰今晨來港迎戴
page 3	津市私貨堆積已成供過於求津海關擬請行政當局予以撤底之緝私援助
page 3	行政研究月刊定期今日出版對於征政改革均有實際擘劃
page 3	華中運動會籌備處昨招待新聞界報告籌備經過情形
page 3	京公教區主教于斌昨日就職翁文灝等均到賀
page 3	中法儲蓄會賡續進行接收月底可告竣事
page 3	甘邊剿匪捷報
page 3	閩綏署嚴令各部隊限期肅清殘匪
page 3	禁販婦女公約案立院審查竣事
page 3	西叛軍宣稱將以大軍十五萬向馬德勒城進攻馬德勒炸彈製造廠已被叛軍飛機炸毀
page 3	重慶日僑束裝離境
page 3	我對桑島取靜默態
page 3	旅滬粵人要求宣戰
page 3	日僑旅館藏匿漢奸
page 3	黑衫隊定在倫郭游行示威或將引起重大紛擾共產黨及工黨號召同情份子先期舉行反法西期示威游行
page 3	中國將被選任國聯理事席
page 3	捷克官方宣稱現將貶低幣值惟貶低成數則未能宣佈
page 3	英蘇波等國對法友好關係尚佳法總理勃魯姆氏離日內瓦前談話
page 3	德南部布克堡開會慶祝豐登希特勒將親臨演說並將作軍事之耀威
page 3	意內閣將集議討論里拉問題眾信里拉增高兌價可使旅業大獲其益
page 3	阿拉伯人罷工潮漸有解決希望巴力斯坦全境皆呈安靜氣象
page 3	東京密探全部出動
page 3	各僑會議籌商互助
page 3	王英李守信受日命招編偽軍十萬款械概由日方接濟謀策動華北新局面
page 4	兩隊戰來尚不魯莽
page 4	中華諸將各盡所能
page 4	李惠堂參加世運歐游雜感三
page 4	中菲摔角家再決雌雄黃博昌勝額堅那都觀眾歡呼紛向黃氏握手黃氏明晚戰印人馬加星
page 4	紹漢無私近戈相向
page 4	九華守衛屢挽狂瀾
page 4	風雨淒迷攻守皆困
page 4	大戰完畢以和為貴
page 4	港記者球隊征省中有七隊員不暇參加
page 4	中南英文書院水運會成績陳鏡湖夫人頒獎劉耀庭得全場冠軍
page 4	鐵爾登九日可到港
page 4	苦練之後技術大進中華會力抗九華會中華屢佔上風且先勝一球結果九華勝回一球成各局中華諸將努力前途　可限量
page 5	煤商請發還煤類專稅財廳批示礙難照准
page 5	四路軍更動團長
page 5	汕日領派員探詢廣志案消息公安局督察長之答詞
page 5	廣州市銀行籌劃建築新行址水管電管兩處同在一處辦公
page 5	財部飭廣東財廳將前時金融庫券截毀財部已實行發售公債
page 5	西江各屬匪患未靖海陸軍之分路協剿鄧旅長謁張之英商水陸圍剿計劃
page 5	某人在汕走私內部發生糾紛
page 5	思賢滘河面禁止深夜泛掉
page 5	省府總部派員迎戰白崇禧雙十後飛京
page 5	各行政專員署定期於月中成立保安司令部同時組織十五日開聯席會議
page 5	周景臻電告翁丘等部已退出三縣翁部各部奉命集中南寧區壽年先抵邕商改編靈山縣長鄧業漢已卸任民眾電促宋德培回任
page 6	國選投票期前農工商團體競選近勢
page 6	農界
page 6	工界
page 6	商界
page 6	黃濤返省辦理兵器廠交代由鄧演存接收
page 6	湘米銷粵之最近進行余籍傳談湘米銷粵利益
page 6	請撤銷鎢礦專賣定期開礦務會議
page 6	汕市郵局發現怪異郵包中有布包毒品
page 6	疏濬珠江後航線工程將可開始
page 6	鄒魯返省之後病已漸愈將返校辦公鄧植儀仍長中大教務居勵今即接附中主任
page 6	酒樓茶室工會否認請復雀牌賭
page 6	河南沙南鄉火警
page 6	兩廣鹽運使　海安辭職照准
page 6	江西地政局長熊漱冰日前由贛抵省協助本省草擬組織地政局辦法
page 6	廣東綏靖主任余漢謀以軍警王剿匪時往往擅捕良民
page 6	李白電告廣西省會遷桂林
page 6	華人捲菸公會請取消加貼包花
page 6	河南一帶地區
page 7	金銀場人捐二萬元
page 7	僑工會述蔣氏勳勞
page 7	新靚就鬻車籌捐款
page 7	澳橋胞擬自購一機
page 7	勸捐團定明日出發
page 7	馮伯勵談粵漢廣九兩路聯運貨物將必大增廣九華段已進行負責運輸惟搭客聯運尚未著手籌辦
page 7	李星衢昨日已由省返港國選投票日期即可公佈澳僑候選人定七日公選
page 7	日考察團昨返港
page 7	醫學博士警告市民
page 7	葡領事招待外賓
page 7	粵童軍北上過港
page 7	長洲增駐滅火員
page 7	港大生籌祝國慶
page 7	購機籌蔣金銀貿易場昨已募得五萬元全僑勸捐團明日出發澳僑胞亦擬自獻一機
page 8	港汕糖商昨日再晉省請願
page 8	火車輾斃兩鄉人
page 8	汽車又傷一路人
page 8	孔教學院昨日講學
page 8	灣仔拾獲死嬰三具
page 8	粵當局將建設廣州新魚市二建廳某參議之建議書
page 8	過海輪搭客投海
page 10	濠江雙十節會景因籌款難決取消
page 10	少婦厭病服毒死
page 10	沙田將設農牧場
page 10	九龍城過海碼頭一月後乃可竣工
page 10	山能幫辦昨已回港
page 10	小輪碼頭竊匪猖獗
page 10	兩女郎駕車失事
page 10	孔聖會徵求結束期
page 10	澳門宜安街火警
page 10	學海書樓講學日程
page 11	佛山普君墟昨四日晨之火警
page 11	田畝複評會已成立
page 11	中學奉令撙節經費
page 11	會城火警燒傷婦人
page 11	清遠謀殺馬伕案犯盡獲
page 11	匪徒打單轟斃漁民
page 11	同村爭鬥傷斃人命
page 11	中山紀中校潮續訊被扣留學生已進食一分局扣留所弦　滿堂
page 11	南三西江各地患旱情形
page 14	陝北清鄉善後會積極辦理救濟事宜災黎多染時疫進行醫藥治療關於土地問題訂立晨佃新約
page 14	難民救濟
page 14	土地租額
page 14	解決爭執
page 14	農民貸款
page 14	取締高貸
page 14	我國留歐學生概況二
page 14	總會會章
page 14	我國概況
page 14	日軍布置戰時用具虹口驟呈緊張狀態鐵絲綱鐵甲車高射炮照空燈日軍布哨設防如臨大敵
page 15	唱蓮花落著名的抓髻趙訪問記他曾受遜清慈禧后的特別寵幸王二姐　夫是他最拿手的玩藝
page 15	他生於
page 15	蓮花落
page 15	聲調高
page 15	有一次
page 15	最拿手
page 15	最近華北外交概況明朗化政權距離尚遠五省緩衝地一句空話
