page 1	我國外交上應有的戰略
page 2	皖我軍續克據點直撲安慶城下紹興附近戰事激烈晉西南我猛襲聞喜
page 2	滇緬路交通照常
page 2	日和與汪退二論日本南進與結束事變
page 2	沙面租界　美僑多撤退
page 2	蘇廣播特別音樂節目
page 2	晉豫浙各地推進工業合作生產以軍需為主兼及人民日用品
page 2	日機砩昆明一容克機被燬總駕駛師盧茲肩部受傷兩處
page 2	日機兩批駐川
page 2	川紳正伯平捐獻軍糧千石
page 2	陳嘉庚抵泉州
page 2	綏省清理荒地
page 2	昨美國海軍日亞洲各地美海軍站照常紀念未有儀節
page 2	傅筱出殯租界大起戒嚴
page 2	一個怪消息
page 2	希特勒的外交攻勢
page 2	三汪組織問題
page 2	荷印政府禁米出口
page 2	希各政黨一致對外
page 2	荷印捐贈機款購機助英作戰
page 2	英美在遠東已合作我國前途甚為樂觀決繼續抗戰與英美對付日本
page 3	美照會法政府注意法國舉動
page 3	西國決定不參戰望維持英西商務
page 3	越南當局聽候維士政府發表對英國決策越南態度現已傾向軸心但不願以武力對抗英國
page 3	數艘載貨美輪在越南被扣留
page 3	英德空襲倫敦傷亡多人
page 3	美國務卿赫爾檢討世界現狀整個世界都受侵略者威脅美願援助各國以抵抗自衛
page 3	英海軍進攻非洲意軍毀意一運輸輪一煤油庫著火
page 3	哥里將軍在剛果發表廣播支撐聯軍繼續戰爭
page 3	美工業組合大會領袖柳維士表示贊成韋爾基政綱但有許多工人團體領袖表示反對柳維士之主張
page 3	羅政府受德慫恿徵用英國輪船間接落於德人之手英國政府據理力爭
page 3	意外長接見日大使討論歐亞局勢
page 3	英勞工部大臣發表廣播英國決心在歐洲組織新經濟秩序
page 3	希阿防軍衝突雙方互有傷亡
page 3	羅馬雅典間電話突然停頓
page 3	貝當內閣一致議決接納希特勒要求德國並未要求法國參戰主要條件仍屬經濟問題
page 5	為天然之險要地帶
page 5	馬專員巡視粵北政務各縣積極增加生產推行新制煙賭娼妓流毒不久即可廓清
page 5	增加糧產
page 5	出巡觀感
page 5	軍管區組會審核國民兵團經費王偉斌蔡鐵郎任正副主委
page 5	粵訓委會委員略有更動聘鄭彥棻鄒琳等充任
page 5	日要人抵寶安視察
page 5	憑藉險要控制一切
page 5	鶴山煙葉漲價
page 5	一區專員公署嚴禁阻撓米糧轉運餘糧之地應供給不足地方
page 5	省府飭屬保護中大員生同學會昨歡迎許崇清
page 5	廣州南郊之槍炮聲附日軍反正襲擊日軍
page 5	潮屬僑胞出入國門困難汕海賊劫掠歸僑
page 5	寶安日軍暫無異動謂日軍圖犯沙魚涌純係謠傳梧桐山脈各地形勢均甚險峻我軍配合當地兵團控制一切
page 6	大批貨物運入內地
page 6	赴湘日記二
page 6	蔣委員長令飭強化軍事力量全國上下皆應集中意志力量予日顯著打擊爭取最後勝利
page 6	江會各線略有接觸
page 6	台山當局召開行政會議　令各區舉辦冬防
page 6	越南日軍今後動向
page 6	泰越空氣日趨緊張
page 6	戰事影響西貢米市
page 6	滇越交通勉強可行
page 6	星越港線航空恢復
page 6	越南日軍動向滇越鐵路星越港航線尚可通泰越緊張空氣前途未可樂觀
page 6	中山澳門貨運無形弛禁灣仔設稽征所澳貨源源運入中順我團隊改編增強抗戰力量
page 7	運往美國最佔多數
page 7	美派專員駐港選辦
page 7	醉西人大鬧建國酒家長城餐室亦被醉漢騷擾
page 7	工合事業與公共衛生
page 7	海外國選代表返國張培梓等過港赴渝
page 7	遊艇會新會所昨舉行開幕禮
page 7	字花師爺被解出境十年內不得回香港
page 7	林西河堂籌募義學經費勸募員數十人昨出發
page 7	青年會圖書館更改開放時間
page 7	中國工業香港促進社播
page 7	明日燈火管制演習港區救護隊將全體出動
page 7	大學生聯誼會昨夜開音樂會
page 7	淡水救護醫院請港星僑商繼續維持
page 7	灣仔防空隧道可容數千人
page 7	我織造原因料輸出激增九個月內值二萬萬元大部份係運往美國英屬亦不少美各大商行多派專員駐港選辦
page 8	魚菜源源到港市價已略低跌
page 8	清遠同鄉聯歡昨在英京酒家讌會
page 8	西貢公路開築計劃
page 8	代督檢閱童軍領袖柴灣露營昨晚結束各童軍已分別歸隊
page 8	滇緬路開放後本港織品暢銷　　價　漲獲利甚微
page 8	總監致詞
page 8	主教祈禱
page 8	黑南頭海盜劫艇擄人漁艇主人脫險返港報案
page 8	代督訓詞
page 8	旅港台山學生決組織青年會
page 8	木刻展覽梁永泰個人作品
page 8	十餘工人打架兩人受傷入院
page 8	國際風雲緊張中我國已處極重要地位舉足輕重實具有左右世界之勢為已為人友邦不能不切實助我
page 10	界限街場光華喪師一比三敗於警察會
page 10	鐘聲水運
page 10	德權鼎賽戰績陸智夫克　菜裕源迫和西園
