page 2	評孫中山之工商政府三
page 3	張作霖索給軍費二百萬曹錕索給軍費三百萬方始出兵援庫一事昨已提交閣議聞周自齊允於三日內酌籌如籌不出引咎辭職
page 3	陸榮廷電請撥給大批軍械靳雲鵬電飭滬廠照撥
page 3	延琿日警不允立撤京政府電令胡維德向日政府抗議
page 3	京滬間飛機准期三月朔日開始搭客徵費二百元郵信一角八
page 3	京政府將召集軍事財政大會議
page 3	內務部通電查禁無政府印刷物品
page 3	褚其祥偕同范熙績到烏里雅蘇已證實僅帶衛兵二百名隨行
page 3	曹錕張作霖吳佩孚等到京須俟有正式明文方起程
page 3	湘局又有不穩訊林支宇堅辭省長聞尚無人願繼任
page 3	昨公使團再開會議西南關餘事美公使主張俟得京政府同意再商決
page 3	閻相文應徐世昌電召昨已晉京
page 3	直隸選舉決主緩辦
page 3	閣議因曹錕張作霖不願出兵援庫曹則要求給餉三百萬張則要求給餉二百萬結果由財政部擔任籌款
page 3	國務院催王占元晉京王謂川湘問題未決宜昌上流民軍未靖礙難離任惟當派楊文愷代表赴京
page 3	上海美商商務總會發起自四月廿七日至五月三日擬在滬開在華美商商務總會聯合會出席者當有北京漢口南京濟南煙台天津奉天廣東等處商務總會代表
page 3	張勳赴奉天昨已返京
page 3	湖北選舉展期四十日已照准陸榮廷向京政府報告討粵軍容並要求軍餉一百萬元
page 3	張家口訊息叨林駐軍已退至烏德鄒芬即在烏德設立司令部
page 3	顧維鈞電詢庫倫失守事謂英報載全蒙獨立多數英人驚詫請示詳情
page 3	徐世昌密召王占元晉京調停奉直暗潮王表示不願惟轉勸吳佩孚負疏通責任
page 3	湘電常澧肅清王晉定逃至漢口李烈鈞有移駐黔省鎮遠訊息
page 3	王士珍決不回京密保王芝祥繼蘇皖贛巡閱使任
page 3	閻相文馮玉祥均電請援庫聞係出自吳佩孚意藉防奉派擴張勢力計
page 3	國務院得報徐樹錚擬以外牽制奉軍以青島牽制直軍彼則全力在長江一帶活動
page 3	某系謀倒靳閣因靳與段祺瑞關係未絕
page 3	京政府因本年政費無著要求各督顧全大局共圖挽救
page 3	京政府召集財政軍事會議決定三月舉行
page 3	劉存厚電請中央助三十五萬擴充成都兵工廠
page 3	靳雲鵬以顧品珍覆電詞息謙和再電川省某要人勸令來歸至善後辦法有桂例在力所能及無不曲從
page 3	鄂訊排斥夏壽康之運動愈接愈厲現有劉承恩繼任說
page 3	某方面消息日前外交部訓令駐英專使顧維鈞向英政府交涉在印度開設領事館事
page 3	對於曹張入京　張雖否認但此間一般仍豫料彼等必來京政府聲稱宜乘此機會並招吳佩孚王占元　馮玉祥等入京開一首領會議解決實行裁兵補救財政疏通奉直暗潮維持現內閣等問題
page 3	滇籍議員請顧品珍附南
page 3	王參謀之桂省消息
page 3	舉報逆產之騷擾商場
page 3	粵省政局變化之風說
page 3	財廳長張羅乏術
page 3	省議長之逐鹿
page 3	公用局又削去航政局權限
page 3	茶居開市佳期
page 3	神戶開港之五十週紀念
page 3	雞煲墨魚幾斃人命
page 3	普樂君與西報記者之談話
page 6	京政府財政之危象
page 6	國會選舉最近之趨勢
page 6	北京學生會反對起用張勳
page 6	日本在華販煙大質問
page 6	京師焚土紀事
page 6	粵政府維持紙幣復滬商電
page 6	靳雲鵬辭職不確
page 6	張師遣散竣事
page 6	海參威日美案結束
page 6	國際聯盟會討論鴉片煙業
page 6	文遮士打籌賑中國饑災
page 6	戰務賠償費續誌
page 6	美國海軍部長
page 6	美國飛航郵政
page 6	美國與邑島
page 6	捐款勵學
page 6	印童十二歲作工之規定
page 6	為印度支那航業公司辯謠
page 7	魏邦平薦吳霏任公安局副長
page 7	籌備市政委員之銷差
page 7	議築禁賭紀念大鐵橋
page 7	李福隆是瓊崖煞星
page 7	伍老博士之　居
page 7	軍隊又騷擾之新世界
page 7	洪兆麟將回汕頭
page 7	前道署職員請發欠薪之批示
page 7	吉祥火榮公司之虛驚
page 7	停鑄銅元
page 7	南京開商品展覽會
page 7	推廣省銀行紙幣之辦法
page 7	惠安公路行開車禮
page 7	陳小岳請增兵剿匪
page 7	又有人條陳舖底保存辦法
page 7	台山又有軍隊庇賭
page 7	軍府委員調戲婦女案續聞
page 7	山陝人開懇親會
page 7	卹款不能空口講白話
page 7	佛山大魁堂請撥辦花筵捐
page 7	福生輪船誤殺案注銷
page 7	香港賽花會
page 7	昨日銀價
page 7	華僑洋務文員工會又將成立
page 7	青年會徵求隊出發
page 7	賭案
page 7	竊案
page 7	酒案
page 7	荷屬華僑抵港
page 7	澳門娼寮罷業近聞
page 7	澳門停止徵收醫　鈔
page 9	英公使向我政府之聲明
page 9	籌備對付日本監督財政
page 9	庫倫商會代表之呼籲
page 9	奉天之增兵計畫
page 9	過激派將攻滿洲里
page 9	中央促辦延暉防務
page 9	保定兵變說之真相
page 9	外人對於延琿案之不平鳴
page 9	巴黎開演中國影片醜狀
page 9	京政府致岑春　電
page 9	孫振家亦擔任鄂局調人耶
page 9	褚其祥有禠職消息
page 9	費毓楷敗興而返
page 12	提倡國貨者注意
page 12	印務工團之大會議
page 12	中華工會改組
page 12	學校亦要用印花
page 12	女界要求粵路職業
page 12	清理實業銀行舊賑辦法
page 12	拿獲暗殺朱執信之嫌疑犯
page 12	番禺屬之鬥案
page 12	准運智利硝入口之原批
page 12	陝贛二督追悼粵軍陣亡將士
page 12	遠東運動會電求助款
page 12	潮梅籌餉局亦　
page 12	省會議決修止廣州市條例
