page 1	意大利與巴爾幹集團
page 2	六全會將不討論國共關係問題國共意見一致無庸討論三次大會孔翁報告財經
page 2	日機殘骸全部運蓉展覽
page 2	滬日軍企圖擴大統治租界權力提議改革國際軍事區防守制度華北英法撤軍不影響遠東時局
page 2	我軍再襲杭州外圍展開激戰
page 2	湘北我軍一度克五里牌鄂中仙沔一帶日軍被肅清高安奉新近郊有局部接觸
page 2	黔省棉產增加
page 2	胖明星劉繼群逝世
page 2	晉西我軍進迫鄉寧城關斃日尉官以下三百餘人晉南日軍犯泰山廟被擊
page 2	黔孀婦愛國情切捐積蓄製寒衣黔抗援會特予嘉獎
page 2	西康蘆山縣警士請纓抗日
page 2	潮汕日軍反戰予日軍一大打擊
page 2	英空軍迭入德國境攝取德國各險要照片攝得數百張甚有價值照片
page 2	日軍在北海以西登陸被我軍阻擊發生激戰日艦四十餘艘泊於欽州灣口外目的企圖進窺南寧但必歸失敗
page 3	歐洲海戰劇烈軍艦十一艘被擊沉
page 3	晉東南日特務機關的破獲及其內幕二
page 3	北慰團抵綏西返渝
page 3	孫科在英活動連日與英要人酬酢足使日方宣傳失效
page 3	三它們的宣傳組訓工作
page 3	葡萄牙脫離金鎊集團
page 3	希特勒積極肅清舊皇室份子維達爾伯爵疑為希特勒所害舊皇室人員親友莫不起危懼
page 3	德瑞商務談判業已破裂
page 3	蘇大使與孔院長交換意見改進中蘇貿易促進兩國邦交
page 3	徵募寒衣圓滿成功月底可結束
page 3	意向保匈等提議組織和平集團
page 3	蘇聯不肯放棄現行對華政策日要求蘇聯停止助中國日蘇進行談判必無結果
page 3	菲律濱共和政府成立四週紀念總統奎松演講羅斯福亦致賀
page 3	英大使昨抵滬
page 3	委內瑞拉大火拉鳩尼拉斯城木屋盡付一炬
page 3	達拉第赴前線檢閱空軍隊伍西線戰事沉寂
page 3	德袖珍艦在太平洋活動每日電聞報所載消息
page 3	波內閣總理訪問英國政府
page 3	德積極擴充飛　工業美亦急起直追資助飛機工業
page 3	美大使改期今日來港
page 3	美政府要求國會增加國防經費
page 3	蘇軍開入立境
page 3	英法商定財政合作計劃
page 3	國聯總秘書提議國聯仍可開會
page 3	印度軍事準備優於前次大戰
page 3	芬蘭已準備應付不測事變芬蘭現已獲得各友邦之同意將來有事資源或可不虞缺乏
page 5	日機十架狂炸惠寶
page 5	被炸之沙魚涌慘狀
page 5	南頭方面日未增兵
page 5	寶安縣長昨日履新
page 5	長官注意救濟難民
page 5	群狗爭骨之一幕容桂偽軍偽警準備械鬥因爭奪劫贓發生衝突
page 5	一區專員嚴令各縣綏靖河道並緝中山橫坑劫匪
page 5	防止逃避兵役定期發國民兵役證誰應服役免役以後可無漏誤
page 5	省府組視察團視察全省政治
page 5	北路我游擊隊乘夜襲太平場
page 5	廣州灣士紳捐棉衣慰勞六十四軍
page 5	市橋日軍最近動態日炮兵轟擊高頭沙
page 5	新會黨部發動徵募書報送前線戰士閱讀
page 5	石岐下閘涌發生大火茅屋三百間被焚
page 5	台陣亡將士紀念碑昨舉行揭幕禮
page 5	三不空戰擊落日機一架墜落九江河清間
page 5	睦洲日軍退將軍山虎山偽軍改編由日人直接管轄江會兩日來均無戰事發生
page 5	以後實行日人指揮
page 5	現日軍已深感不安
page 5	移守將軍山及虎山
page 5	議決要案呈省府飭四邑當局平定物價救濟糧食
page 5	無路單者
page 5	左列情形
page 5	辦法大要
page 5	有事出縣
page 5	日亟圖再擾粵南各縣軍民枕戈待戰日艦艇多集海口日機炸電茂各地我各縣加緊聯防完成民諜網
page 5	日機十架投彈五十餘枚狂炸沙魚涌葵涌淡水沙魚涌死二人傷五人來港醫治淡水落彈二十餘枚沉貨船多艘
page 7	港僑自衛團之職責係協助警察維持治安但不得擅入民房搜查
page 7	中航巨機將飛港渝線可載搭客二十一人每小時飛二百餘里
page 7	警察嚴密防盜
page 7	帝航機兩機師昨日乘輪返港
page 7	歐亞航空公司港渝線今復航
page 7	九龍旅業商會捐巨款製棉衣
page 7	商賑會資助戲劇界服務團
page 7	粵文物展覽籌備會議展覽會簡章已修正通過
page 7	我國政府嚴防私運鈔票出口優給獎金鼓勵關員努力查緝決照私運銀幣懲獎辦法辦理
page 8	改良各公立醫院全部費用約一千萬元各項計劃似　同時並進希　政府從速擇要　施
page 8	星女僑胞救國運動概況捐款歸國不受限制
page 8	南洋各地最近情況
page 8	立法局今開會討論徵收所得稅問題
page 8	東江服務團今日行授旗禮
page 8	是年國貨展覽廠聯會決擴大舉行
page 8	汎美機昨離港
page 8	兒童保育會徵求會員會議
page 8	匯寄捐款不受限制
page 8	星女僑胞熱心愛國
page 8	五婦女團體慰問逃澳難胞
page 8	澳榮華旅店血案續誌捕獲疑犯係傷者之夫極力否認蓄意殺嬌妻
page 8	督憲杯初賽協會陣容完整南華佔八人東方二人光華一人實力強橫蟬聯錦標希望甚濃
page 8	宵來公開籃球賽一分之差勵行敗績南南力戰以四十一比四十僅滕五十二對三十南華華大破康元
page 8	學界籃球戰績今日兩場戰事
page 8	青支會舉行初級團體乒乓比賽
page 8	四日機昨狂炸沙魚涌投彈廿餘枚毀屋數間死傷三人葵涌亦被轟炸英船主仗義救傷
