page 1	粵局解決之華北
page 2	粵空軍人員由韶分批飛贛南昌各界今日舉行歡迎大會
page 2	粵飛機數十架飛抵贛垣後某隊長述秘密逃離廣州經過
page 2	吳鐵城對粵桂異動之談話政令統一為國運轉機之佳兆
page 2	陳漢光返廣州後來港復命李白決下野派張任民商條件
page 2	何成濬在綏署紀念週報告希望李白仍回到革命路線上
page 2	第一軍先頭部隊已抵軍田大部繼續前進日內可到廣州
page 2	余漢謀偕李煦寰乘機飛潯赴廬山謁蔣請示即日已返韶
page 2	陳去後中央對粵事之處置財政黨務軍事分別首手進行
page 2	十一省孤兒院電京義賑會請轉電陳濟棠捐資襄助慈善
page 2	林雲陔劉紀文已回省復職林昨晨出席紀念週報告粵事
page 2	男女選舉權一律平等待遇政府對此再明令昭示同享選舉權被選舉權
page 2	石逆居然就職就職後仍赴津搗亂
page 2	牯嶺發表粵空軍離粵經過起飛時一機墜地死二人一機在韶降落傷二人廣州現已無軍用機留存
page 2	財部解除粵民痛苦澈底整頓粵金融派宋子良為財政特派員兼財長唐海安代兩廣運使吳健陶代秋桂閩統稅局長鄒琳陳汝霖今日來粵視察
page 2	張達飛韶請余收拾粵局四路軍現正向南進發粵空軍分批先後飛抵南昌財長孔祥熙派大員來粵整理粵省金融余漢謀偕李煦寰飛贛謁蔣請示後即日返韶關
page 3	日使館決遷京派員接洽館址
page 3	中樞兩紀念週林居各有演講林演講經濟建設居報告兩廣問題
page 3	十九省市商會舉行聯席會議推王曉籟等為主席團
page 3	青島海軍學校學生出海練習抵滬
page 3	林主席昨赴廬山避暑海次陳訓泳隨行
page 3	褚民誼昨日由滬返京抵京時發表談話
page 3	申新第一紡織廠勞資發生糾紛
page 3	美驅逐艦撞沉帆船一艘
page 3	童軍徐泰作滬平徒步旅行
page 3	京市昨日酷熱達九十四度
page 3	孔祥熙行將赴廬小住
page 3	邵力子請款救濟甘省農村
page 3	全國將發生內戰
page 3	西班牙亂事擴大革命軍進迫首都內戰有蔓延全國勢
page 3	兒童年閉幕後成立永久機關
page 3	陳調元昨過徐赴兗州
page 3	防汛期間長江水勢平穩
page 3	于學忠覲林主席報告甘省政情
page 3	本年臨時高考昨已開始報名
page 3	滬各業公會請修正所得稅暫行例
page 3	塞維爾戍軍亦變
page 3	英海部派艦護僑
page 3	東京一帶大雷雨淹斃三十餘人
page 3	在榆日軍尚未停止演習大批軍用品運赴通縣
page 4	華員將開水藝會
page 4	籃球友誼賽華雄約戰陳家將廿三日在露天球場
page 4	兒童小足球賽照去年則例辦理先作分區賽後作冠軍賽報名展期至本月廿八日
page 4	飛亞小球隊迭獲勝
page 4	奮興杯小足球比賽定期明日開幕
page 4	團結小球隊勝紅詩
page 4	港外匯先穩後好
page 4	滬外匯市仍沉寂
page 4	省法幣跌後回升
page 4	八九金先起後跌
page 4	廣州西紙市仍降
page 4	各行股票之市情
page 4	公開籃球賽青年會再敗華僑乙組華雄華大紅獲勝
page 5	孔祥熙電慰利樹宗與利氏之復電
page 5	中央整理粵省金融委出財政人員
page 5	法幣會之查核銀庫請各團體參加
page 5	港幣續跌物價漸低將可恢復原狀
page 5	繆培南兼警備司令繆利兩氏之出巡市府之安民佈告廣州市面之安靖情形
page 5	市府安民佈告
page 5	市面安堵情形
page 5	市府紀念週劉紀文訓勉屬員
page 5	林雲陔返省後各機關之辦公情形林已致電各方報告並促余總司令返省
page 5	林昨電各方報告
page 5	各機關照常辦公
page 5	昨晨各機關紀念週情形林雲陔報告照常處理政務繆培南報告時局最近狀況陳章甫報告回省任務兩項
page 5	林雲陔報告
page 5	繆培南報告
page 5	海關彙訂進口貨號碼章程
page 5	西南兩機關結束
page 5	省務會議照常開
page 5	陳章甫報告
page 5	海外同志社致電賀余漢謀
page 5	省市黨部促余漢謀返廣州
page 5	粵局善後之最要問題保管白銀定金融孔祥熙來電獎利樹宗中央派出粵財政人員財廳陳總參議之要談法幣會今日查核銀庫
page 6	一集總部辦結束與請余氏來省
page 6	余派兩陳來廣州陳章甫之談話
page 6	張唐兩氏昨北上歡迎余氏來省
page 6	利樹宗發表談話桂軍非到河口
page 6	余漢謀電之補錄最注意在金融
page 6	莫部定今日抵省粵路派車運載
page 6	東北路軍續西開桂軍在封德間
page 6	軍校軍官班索款風波旋已平息
page 6	軍事餘聞之續述陳濟棠電補錄
page 6	粵路終站將設黃埔黃埔商埠籌辦處已與鐵道部商定辦法粵海關在該處建關署驗貨廠貨倉碼頭
page 6	四路莫部今日可到省各軍要派員請余氏來省余氏派要員先到省接商東北兩路軍仍繼續西上桂軍尚在封川德慶之間利樹宗談桂軍未曾到河軍校軍官班索津貼之波折
page 7	飛廬山謁蔣後陳漢光昨來港向陳濟棠覆命蔣有親筆函向濟棠慰勉濟棠憂勞過度患氣痛症
page 7	誤觸摩登婦之臀少年被控非禮
page 7	杜定友過港赴粵任中大圖書館主任
page 7	旅行會昨日會議
page 7	黃光銳奉召北上丁紀徐談粵空軍北飛原因
page 7	刺宋案昨日續審余立奎述組軍抗日經過政見不同反對中央是實並無組織機關謀殺宋唐
page 7	奉命南下鎮壓粵海陳策率三艦抵港日間晉省陳前日已來逸仙等三艦昨始相繼開到陳夫人談陳氏兼負有整理粵海軍使命
page 8	代理財廳職務
page 8	整理鹽務計劃
page 8	決心整頓金融
page 8	白銀仍存粵省
page 8	唐貝　間南來
page 8	臬庭昨開審刑案拐匪處徒刑三年
page 8	拐賣小童
page 8	攔途截搶
page 8	截劫貨艇
page 8	華商會歡迎南洋攷察團祝該團此行有美滿成績
page 8	貨車輾斃一小童
page 8	一漁舟遇風沉沒
page 8	鄧青陽崔廣秀等南返抵港崔氏談出席二中全會經過
page 8	引渡劫犯案提堂
page 8	兩廣鹽運使唐海安昨晉省履新決以新法整頓鹽務暫兼代粵財政廳長
page 10	紅磡謀殺案提堂
page 10	財委員明日議案
page 10	偽幣案詳臬定讞
page 10	初級法庭案彙誌
page 10	行騙
page 10	聚賭
page 10	盜竊
page 10	鬥毆
page 10	平安映逃獄鴛鴦
page 10	孤島飄流記公映
page 10	農業會籌辦農校
page 11	連日西潦又盛漲
page 11	請願團已中止來省
page 11	台海路整理後近況
page 11	偵緝員轟斃著匪記
page 11	三南公路發現男屍
page 11	三埠拖渡被劫脫險
page 11	鶴山公路車之擊退劫匪
page 11	馬熊天馬兩鄉械鬥
page 11	沙坪截獲被拐小童
page 11	龍山警匪激戰斃人
page 11	九區盜匪猖獗近況
page 11	古兜匪擄農人施刑
page 11	新會東北區農村雜寫
page 11	三路行車昨日完全恢復粵漢　深夜修復斷軌廣九路由港來客驟增羅家渡鐵橋半年後乃可修復
page 15	歷史教訓
page 15	贊助國際
page 15	外交力量
page 15	德波關係
page 15	對俄政策
page 15	西歐政策
page 15	襄陽名勝巡禮隆中有諸葛亮躬耕地峴山與習池古蹟尤多
page 15	陝洪水已洶湧奔至冀境冀河工晝夜防護冀省府嚴責縣長共同負責
page 15	安溪鐵礦儲量僅一千萬噸將來開採否尚未定
page 15	波蘭的外交政策努力穩定東歐洲政局與德俄維持和睦關係
