page 1	軸心國的總攻問題
page 2	晉境我軍連日加緊掃蕩猛攻晉東南各據點日軍同蒲兩側屢獲光榮戰果
page 2	日本謠傳英美在太平洋有聯防可能英有意將海軍根據地賃美日嚴密注意此局面之發展
page 2	豫北日軍蠢擾被殲
page 2	華北鐵路交通全部斷絕
page 2	傳達兵李王廷捐蓄款製寒衣
page 2	蒲圻附近擊落日機殘骸已運送後方
page 2	新運模範區業已動工興築
page 2	滬綁案未遂
page 2	大批軍隊及軍械運抵埃及各港登陸後一部乘車赴開羅有等赴巴力斯坦及他處
page 2	蔣委長令各界節約儲蓄四以養成節儉之美德而達成建國之目的
page 2	日決撤退在英僑民十四日全離都柏林
page 2	教部核發廿八年席成績優良學校獎金計國立師範學校等十六校
page 2	上海南京路發生大劫案劫去銀票十萬元
page 2	廣州灣居民紛向內地撤退省振會撥款二萬元飭員設法安置義民
page 2	上思附近日軍潰敗
page 2	希特勒這回遲了
page 2	加魯爾亡命所攜
page 2	美謀美洲聯防
page 2	滬租界破獲恐怖黨窟捕獲匪徒達三十名
page 2	陳嘉庚抵泰和
page 2	我突襲賴家橋殲日大半
page 2	我防日軍侵入越南白崇禧龍雲任要職越南當局尚未肯接納日要求法日談判現正在秘密進行中
page 3	倫敦上空機聲不輟砲聲彈聲有若雷鳴
page 3	擴充中之美軍實力國防經費達一百餘萬萬金元軍隊訓練軍備製造進度極速
page 3	倫敦居民抗戰精神不因濫炸而受搖動
page 3	戈林誇張襲英功績
page 3	英空軍大舉襲柏林並炸擊德軍事目標
page 3	德襲倫敦三個目的
page 3	德彈炸力　逾尋常
page 3	干德公爵視察機場
page 3	德機奉令不擇目標
page 3	美政府提議美洲各國聯防西半球任何一部份被侵美洲各國一致起來抵抗
page 3	前羅王出奔抵盧加諾此行攜四愛犬下榻王宮酒店
page 3	英皇及後參加祈禱
page 3	日外交人員大批調動
page 3	日代表團將抵八打威與荷印舉行商務談判荷印已完成戰時準備防日本對其施行壓迫
page 3	羅總理決心制止暴亂俾其得以實施重建羅國計劃
page 3	南國工人暴動反對以糧運德以致糧價飛漲
page 3	美國人民主張嚴格禁運日報表示焦慮
page 3	德警察大捕捷克平民
page 3	德機二次炸倫敦廣泛區域被炸擊轟炸情形較第一次尤烈估計傷亡人數將達二千
page 5	各線連日砲戰仍烈
page 5	寶安境內日軍他調後所餘約有萬人封鎖邊界之情形防我游擊隊襲擊
page 5	不斷放出謠言
page 5	江湖賣武無異
page 5	橫須賀海兵團亦調華南作戰
page 5	廣州灣當局沉著應變謠言甚盛市民一度虛驚租界內防軍已集中候命
page 5	中山日軍拉伕築壕
page 5	不願為人作保
page 5	台開實施行新縣制一區專員李郁焜巡視四邑
page 5	順德樂從墟土匪之猖獗
page 5	四邑與澳絕斷交通
page 5	指示施行新政計劃
page 5	三水中學擬在蘆苞開設
page 5	四邑當局興辦小型工業台開籍組火柴廠
page 5	粵東各縣推行三山運動化荒山為良田
page 5	日機日艦迭在東路肆虐惠寶縣府改善交通癘疫流行急謀救濟
page 5	炮轟澳頭
page 5	肆虐平海
page 5	癘疫流行
page 5	改良交通
page 5	江會各線連日炮戰甚烈三灶日軍調前山拉伕築工事石岐附近我游擊隊仍甚活躍
page 6	呂春榮軍一部調欽
page 6	廣東省銀行存款激增提倡民眾儉德吸收游資舉辦各項貸款農民受惠
page 6	設儲蓄網
page 6	存款增加
page 6	湯仲明在桂設中國動力機製造廠幾經試驗成績極為圓滿
page 6	提高利率
page 6	我便衣隊襲擊欽城
page 6	粵擬訓練糧食管理人員
page 6	省府撥款救濟惠屬水災
page 6	農林局派員督導農民生產
page 6	收沒日貨罰金分配辦法
page 6	黨部書記長與縣長互任案省府主席李漢魂提議
page 6	邕欽路日軍撤退後附日軍爭奪地盤大起衝突日閥利用附日軍使互相牽制欽東我軍出擊一度攻入欽城
page 7	物色團員
page 7	組織綱要
page 7	港府搜獲三批敵貨高級法庭判令充公
page 7	店員擔任
page 7	警當局將嚴懲開字花賭徒除按律懲處外並遞解出境
page 7	澳政府禁糧食出口昨各澳輪絕無魚菜運來
page 7	大埔山洞修竣今日可通車
page 7	炮兵操演重砲
page 7	粵會計員考試港區今日開始
page 7	國醫學會將再徵求會員
page 7	輪客投海獲救
page 7	杜閣臣醫務所昨晚發生火警
page 7	零亂症之可怖兩日內發生五十宗
page 7	商會小組委會公布保衛團組織綱要團員由殷商充任並須兩店保薦決先從中區著手組織漸及各區
page 8	辦理經過
page 8	復奉電令
page 8	希特勒會進攻直布羅陀嗎司塔斯女士撰英情報部遠東局播
page 8	深水埔私寨案開審三婦被控誘未成年女子當娼一被告不到庭官令拘拿歸案
page 8	遲緩原因
page 8	公務人員
page 8	印警殺同侶案被告詳臬定讞
page 8	嶺大明日開課同時舉行新生入學訓練
page 8	孔副院長嘉獎羅伯生氏
page 8	李右泉昨逝世今日下午大殮
page 8	女生文藝協會將開會員大會
page 8	中大服務團三項工作開展
page 8	澳門定期賽馬
page 8	艾黎由菲返港
page 8	省賑會港辦事處解釋登記義民未成行原因東路各護送站籌備未妥公務人員一批今日首途
page 10	中華體協會昨開執委會議議決要案多項
page 10	本屆甲組足球賽秩序排定公佈總會年刊已編妥
page 10	夏令籃球賽今日兩場角逐
page 10	鐘聲慈善社泳場明晚四次水藝
