page 1	第二期抗戰後方農業建設的動向二
page 2	波蘭政府已下總動員令徵集民間各項車馬動員文告貼滿各處
page 2	德政府將設立國防委會以戈林將軍為主席統轄一切軍民大政
page 2	英國二次覆照已到柏林傳英德將開始討論兩國共同政治目標
page 2	八月廿三日至廿九日一週來戰況軍事委員會發表
page 2	山西方面
page 2	廣東方面
page 2	鄂豫方面
page 2	教皇欽使外交活動
page 2	日本航運保費增加
page 2	但澤扣留波蘭代表
page 2	意又發起和平運動
page 2	但澤實行計口授糧
page 2	德致謝比斡旋和平
page 2	埃及已有充分準備
page 2	法頒明令接管鐵路
page 2	三民主義青年團中央團部組織略變更
page 2	倫敦古物紛紛遷移
page 2	瑞匈準備匯付事變
page 2	英法首都疏散人口
page 2	英皇巡視陸空兩軍
page 2	歐局仍甚緊張英政府勸波切勿讓步德堅決要求波讓出一部份土地英主張德波在平等基礎上談判
page 3	路透社證明日方虐待司品烈中校特別提出事實三點日難卸賴
page 3	何部長在紀念週報告最近三月來軍事概況三並說到Ｘ人潰敗的因素
page 3	廣州排英運動已趨和緩
page 3	波駐美大使向報界發表波蘭態度德提領土要求波已感威脅贊同與德國進行和平談判
page 3	湯顯林等請纓入伍　　師管區已傳令加獎
page 3	傳重光葵將出任Ｘ外相Ｘ覺悟中日戰爭須早結束謠傳中日和平談判有可能
page 3	新任英駐美大使呈遞國書
page 3	何拉善旂王由蘭州飛抵渝
page 3	中國銀行總行移往昆明關於四行移昆尚待加以考慮
page 3	滬海關監督竟奉偽令不收受關金單位紙幣只收華興貨幣或標準銀元
page 3	蘇聯國會討論德蘇協定德官方解釋德蘇關係極力挑撥蘇波之惡感
page 3	川康黨政軍首長聯銜通電討汪
page 3	今後在華Ｘ軍將不再作大規模進攻祇利用經濟政治手腕謀制我國我作積極準備待時機大舉反攻
page 3	津英當局實行將四華人引渡滬英最高法庭又接納請求允發出津四華人之保護狀
page 3	教部核准優待華僑學生投考大學從寬取錄
page 3	颶風襲擊津市
page 3	粵東方面我軍克復葵涌晉省我軍勢如破竹魯省偽軍紛紛反正
page 4	英皇署期義學舉行頒獎典禮
page 4	李應林昨返港鍾榮光赴渝
page 4	文化協進會開發起人大會
page 4	澳門各界獻金昨已匯呈中央
page 4	荷僑祝女皇壽港督赴會致賀
page 4	中青救護團第七隊將赴湘
page 4	風流賊糾黨劫妓女經一度觀娛始下手傾箱倒篋搜劫一空
page 5	Ｘ艦多集於大亞灣
page 5	Ｘ犯葵涌激戰情形
page 5	Ｘ進犯澳頭亦被阻
page 5	我各軍次第開抵目的地東增寶全線反攻之要訊林團附與本報記者之軍事談我軍迫近增城南郊
page 5	我軍準備反攻寶安
page 5	惠港交通仍未斷絕
page 5	Ｘ曾一度在防城登陸我駐軍猛擊旋即退去
page 5	採運湘米須受限制
page 5	廣州南郊汽車入市受Ｘ禁制防便衣隊活動
page 5	沙頭角Ｘ被我攻襲
page 5	兵役法施行條例從新修正
page 5	一週間之江會戰情彙誌Ｘ艦昨又砲轟疊石睦洲及新鶴路我Ｘ在對峙中
page 5	Ｘ又砲轟疊石陸洲Ｘ我對峙
page 5	陽江黨政軍各界電促何光榮返縣服務
page 5	粵各機關登記錄用專門人才
page 5	省府嚴禁土劣欺淩弱小
page 5	Ｘ在大亞灣登陸圖侵淡惠澳頭平山間之Ｘ我激戰我軍源源進入莞寶各地反攻大戰即日可以展開
page 6	在橫門Ｘ沉艦摸獲木箱所見
page 6	粵省恢復工業化驗所
page 6	番禺我團隊收復市橋Ｘ偽全部星散
page 6	伍觀淇在墾殖區舉行協助農民收穫大運動軍民充份合作分兩星期舉行
page 6	省動員會積極破除迷信
page 6	台開防務穩定譚啟秀一度巡抵三埠
page 6	省府限期禁絕煙毒各縣恢復禁煙督導員在各縣市設強民工廠收容煙民
page 6	強民工廠
page 6	煙民工作
page 6	職掌事務
page 6	粵僑務處設澳門辦事處
page 6	中山縣府嚴禁毫券出口
page 6	縣禁煙股
page 6	粵教廳積極救濟東江瓊崖戰區師生
page 7	警司命退休警員登記聞將委為自衛團指導員
page 7	廣東省衛生處召留港醫生回國服務戰區傷兵難民待救孔殷今日開會討論登記事宜
page 7	徵集郵花賑難集郵家趙竟成發起
page 7	死難軍民追悼會各界挽聯摘錄
page 7	防軍昨今兩日大演習演戰情形秘而不宣恐驚擾市民並不發砲北區軍車昨往來如織
page 7	演戰情形秘而不宣
page 7	馬主爭購良駒昨在馬會抽簽
page 7	立案僑校發起愛國簽名運動非奮力抗戰無以爭取生存非統一意志不能獲得勝利
page 7	兩個記者會今紀念記者節
page 7	北區大道軍車擠擁
page 7	截劫案昨詳臬
page 7	本港政府修正防止迫遷法例業主與住客之利益雙方兼顧提交立法局通過即實行
page 8	各僑團又發起九一八獻金運動有一分力盡一分力務達最後勝利乃止
page 8	客棧行
page 8	鴨寮街血案昨日開審首被告李蘇被控謀殺罪次被告梁容獲釋為證人
page 8	超立社
page 8	黃埔塢
page 8	南頭之Ｘ限制人民離境離境者勒收國幣三十元
page 8	商人私運白銀被罰款七千元
page 8	增城商會救難會派員赴渝求賑
page 8	孔聖會辦救傷班
page 8	越南北圻足球隊本月七日抵港預定在港作賽四場華聯東方選出戰將
page 8	南華週年水運會有期節目共三十項分四天舉行
page 8	加拿大籃球隊昨第二戰擊敗星島比數為六十二對五十
page 8	南遊日記廿八
page 8	銅鼓灘劫　案六海賊均處繯首刑名犯祗認行劫始終否認殺人陪審員一致認彼等罪名成立
