page 1	美蘇之邦交問題
page 2	鄂北日軍又向周村竄擾馬坪西我與日軍激戰
page 2	晉南日軍西犯中伏
page 2	綏西血戰四晝夜斃日軍三千餘日軍歸路截斷即可全部殲滅
page 2	國民大會定期舉行國民代表繼續選舉
page 2	遵化日軍被殲七百
page 2	長江日艦一艘被我擊傷
page 2	豫北我軍夜襲七里屯殲日軍甚眾
page 2	膠濟路我軍衝入坊子鎮擊斃日軍百餘
page 2	龍雲撥款救濟貧苦學生
page 2	日海相答覆質問相信現時海軍力量尚能負責維持國防
page 2	渝市定期收受勞軍禮物
page 2	蘇軍以三師團兵力猛攻曼那漢線炮火之熾盛罕與比倫蘇軍一隊被芬軍包圍
page 2	于學忠黃旭初等通電討汪
page 2	德傳聯軍監視艦有兩艘被擊沉
page 2	法上下兩院舉行秘密會議討論國　組織事宜
page 2	英陸軍部否認聯軍集合近東準備軍事行動
page 2	意土商約談判正式開始
page 2	希特勒赴奧波沙士堡
page 2	日願與菲印等締非侵略協定日外相有田之聲稱
page 2	英德空軍發生四次空戰德機一傷一燬俱被英機擊退
page 2	賓陽回竄日軍二千餘在黎塘附被殲過半潮城日軍犯太黃坑不逞回竄
page 3	中宣部潘副部長斥汪日協定二在渝市文化界國民月會演講
page 3	日報要求政府改變對美政策各報論調一致對美大為攻擊謂美貸款我國即係壓迫日本
page 3	愛爾蘭總理凡勒拉有權解散共和軍組織愛爾蘭最高法庭之判決
page 3	德士邦交惡化盛傳土開除德技術人員且將沒收德國人之財產
page 3	英籍志願軍抵芬參戰英美兩國政府商議接濟芬蘭
page 3	日藏相提出侵華軍費共一百六十餘萬
page 3	阪谷男爵勸日政府從速與美商商訂新商約質問外相日蘇關係樂觀理由質問外相日蘇關係樂觀理由慮汪政權成立引起中國內戰
page 3	美與各中立國洽商和平運動維里斯奉派赴歐洲調查實情先到意國然後赴德法英等國
page 5	岡州路日軍中地雷
page 5	日軍向江佛路推進
page 5	睦洲日軍略有撤退
page 5	潮安方面之捷訊我軍擊敗犯楓溪日軍炸毀日軍化學工廠
page 5	寶安各地安靖南頭捉獲漢奸難民續送回鄉
page 5	官商合作救濟四邑糧荒續訊香港大幫穀米運返台山接濟一區嚴禁各縣封禁穀米出境
page 5	推行節約糧食運動
page 5	嚴禁各縣禁米出口
page 5	增進僑胞福利粵省籌組華僑總會歸國華僑昨開座談會
page 5	三埠輪渡定期今日復航
page 5	光榮的八一四國府定為中國空軍日
page 5	省府會議紀要更動一批教育人員
page 5	商品檢驗局撤前山辦事處
page 5	台山團隊圍剿陡門那琴匪幫捕獲匪徒兩名
page 5	征解稅款盡量收受省券照一四四比率折合國幣計算
page 5	中央執委會嘉獎粵省黨部
page 5	某團隊領袖奉命扣留陵某之經過詳情誘陸到大崗檢閱部隊將其扣留陸某仍自辯謂係奉命作反間諜
page 5	召集土匪
page 5	呈報上峰
page 5	深明大義
page 5	省府嚴禁團警非法舉動
page 5	南海　聯團局長被狙擊未命中
page 5	我游擊隊混入會城日軍後方在岡州路埋地雷轟毀日兵車日向江佛路推進又遭重創
page 7	稅制研委會之成立
page 7	一致贊成徵所得稅
page 7	公務員恩俸亦徵抽
page 7	廠商義賣籌款勞軍
page 7	華民司昨到場參觀
page 7	參加國貨展覽會廠商發起義賣籌款勞軍華民司昨到會參觀力選我國出品精良
page 7	建國儲蓄券僑胞踴躍購銷
page 7	獻俞團之行蹤
page 7	長洲水雷爆炸
page 7	滬製捲菸內銷辦法九龍關公署昨日佈告
page 7	本港瓊僑昨舉行瓊崖抗戰週年紀念即席募得慰勞金數千元
page 7	菜餅及棕禁運入淪陷區
page 7	私運紙幣入口輪客被罰一元
page 7	蒲崗村昨火警小屋四間被焚
page 7	粵文物展覽會今日開始收件
page 7	美世界遊船不再停靠橫濱
page 7	戰時稅制研究委員一致主張開徵所得稅分公司營業薪俸物業四種公務員恩俸亦在徵抽之列
page 8	學賑會換物會增設書畫攤位
page 8	貨艇被匪騎劫　人幸獲脫險
page 8	滿載貨物由港赴潮
page 8	貨艇被劫人幸脫險
page 8	賭徒行兇傷人
page 8	爛頭島海面發現漂流水雷
page 8	印警官突自殺警署門前飲彈身死
page 8	港政府委任令
page 8	械劫案仍押候
page 8	衛生局之議案
page 8	香港賽馬會決捐馬彩佣金賑災打比馬票已售出廿餘萬預料可破去年銷售紀錄
page 8	加山萬頭　動爭看港隊凱旋二比一勝來吃力紀錄俱在下半時今日越隊二次出師
page 8	今日下午三時半南華整陣迎越軍
page 8	籃球聯會將于短期內舉行週年大會女子籃球頒獎日期趕速實現章則修改及交代事加緊辦理
page 8	港督授權工務司嚴厲取締危險建築物未經政府批准建築者得隨時沒收不合衛生足危害住客健康者取締
