page 2	江浙戰事的觀察二
page 3	似伏　起之扣械潮二此案又交汪胡辦理消息趨險惡范石生教商團日函質問汪胡向商人索北伐費百萬槍械先發還廣州商團一部各鄉所購借為北伐用始終均無　還之
page 3	孫軍在東莞與人民宣戰記五莞城交　盡行斷絕省垣盡截留莞人信件軍團又在板橋大戰桂軍欲從厚街進攻孫文將調豫軍加入征莞城內人民將無孑遺桂軍假扮鄉團進攻鄉團軍中計失利桂軍放火燒　餘家兩方現仍在相持中
page 6	江浙軍事消息
page 6	黃渡方面戰報
page 6	瀏河方面戰報
page 6	長興方面戰報
page 6	傷兵口中之戰訊
page 6	反直派文電彙錄
page 6	浙將領擁戴總司令電
page 6	盧永祥檄文
page 6	控殺庶母案詳臬
page 6	竊案
page 6	煙案
page 6	賭案
page 6	影戲消息
page 6	澳門賣物賑災會續誌
page 6	賽會侍役被遣回港
page 6	聲明保護外僑
page 6	浙盧電滬上十四人
page 6	奉張之最後　牒
page 6	盧氏任命將領電
page 8	沈軍入桂林與馬濟援桂韓部力弱急退沈軍大恣搶掠馬濟回桂之急迫
page 8	梧州雜訊
page 8	元老派決倒孫科鄒殿邦等運動市長民選
page 8	江門斗門渡大劫擄
page 8	　邑聯軍殺機四起的確消息
page 8	北伐聲中之孫文態度
page 8	欲承領江門狗山之謬妄
page 8	九江商團近事
page 8	九江禁賭之實情
page 8	解散豫軍警德　令部
page 8	滇軍捉拏豫軍情形
page 8	廣州報紙停刊續聞
page 12	為災黎申謝善款與同胞永結善緣
