page 1	蘇芬談判之僵局
page 2	常務組政治組軍事組經濟組教育組
page 2	晉南方面我軍克復尉敦洪屯大道戰況又趨緊張南劉北劉一帶連日激戰
page 2	浙西方面戰事激烈
page 2	贛北前線沉寂日傷兵紛運九江
page 2	我軍一度衝入九江墟
page 2	馬超俊報告視察東南經過工農業興盛地方秩序良好軍民能合作抵抗日軍侵略
page 2	丘吉爾演講準備長期苦鬥兩個月來英國地方已增加英國人咸具決心應付大難
page 2	華北英法駐軍大部抽調回國英法兩方已向日提出照會
page 2	咸有決心
page 2	此次戰爭
page 2	反觀德國
page 2	鄂南日軍犯大雲山失敗鄂中潛江日軍出犯被擊
page 2	我神鷹隊出現廣州上空投彈悉落日車陣地營　械庫被毀多處
page 2	馬相伯紀念會募款瞻養遺族
page 2	魯東我軍衝入牟平縣城搗毀偽組織
page 2	滬華人足球隊戰勝英法聯隊
page 2	鄂省府貸得巨款救濟鄂北農民
page 2	過於樂觀
page 2	六全會舉行首次會議居正張群何應欽報告黨政軍決定各組審查委會委員名單
page 3	德國秘密警察甚為忙碌猶太人等被捕甚多因慕尼克彈案株連
page 3	六中全會蔣總裁開幕詞續昨
page 3	在日本是再衰三竭
page 3	日本雖有趁火打劫
page 3	曾經說明我們國策
page 3	遵循我們革命導師
page 3	唯有我們堅決抗戰
page 3	上星期英輪被毀只有一艘英國海軍已改善搜查違禁品手續
page 3	日傳日蘇商定勘界問題將在亦塔會議會商勘界計劃
page 3	港女子籃球隊在菲四次告捷
page 3	土願與意締結協定增進兩國友誼
page 3	英自治領代表定期離法返英艾登發表談話謂前方軍隊好精神
page 3	法軍報發表西線寂寞
page 3	美大使詹臣明日離渝來港蘇大　館及塔斯社內部職員均有更動
page 3	印度英輪塞丹那號被炸
page 3	菲律濱將遭遇嚴重經濟困難西里氏之演說
page 3	日方做謠我派工人往歐外部切實否認
page 3	英德空軍激戰
page 3	蘇芬談判中斷芬蘭代表離蘇返回芬蘭蘇報謂芬蘭對蘇有敵意
page 3	巴黎發出警報
page 3	德在奧意邊境強化防禦工事恐聯軍由此侵入德國
page 3	蘇境內德人準備返德居住
page 3	追悔當年侵華失策
page 3	但是他們倒行逆施
page 3	不肖軍閥摧殘以盡
page 3	不祥之物出現之日
page 3	愈走愈終自趨絕路
page 3	愚妄企圖豈不可笑
page 3	步步陷于不能自拔
page 3	不存絲毫倚賴之心
page 3	促進和平衛護正義
page 3	日本就來多方誘脅
page 3	如果中國抗戰勝利
page 3	伸張正義恢復和平
page 3	德恐激怒美國未敢侵入荷蘭美公使入覲荷女皇聞係有關和平運動
page 5	瀧水龍泉嚴加戒備
page 5	江會連日戰情另詳
page 5	江會日兵佈防近態
page 5	第四戰區游擊隊吉隆坡隊報告痛殲日軍經過抗戰已入相持時期僑胞宜返祖國服務
page 5	汕海突集日艦十餘潮安我日戰爭仍烈日炮轟意溪竹巷各地我軍進攻潮安南門日機轟炸贛粵邊境
page 5	我空軍在龍口擊落日機兩架花從最近之激戰
page 5	菲僑擬定機隊命名典禮辦法俟總會核准後即舉行續收各方捐款萬餘元
page 5	戰區運輸總處令結束五縣各管理站
page 5	省振濟會新訂推行認養難民辦法分配鄉村認養以維持久並獎勵個人或團體認養
page 5	廣東省銀行設立柳州分行
page 5	莞龍日偽軍南犯被擊退日圖犯樟木頭迫惠陽其企圖已被我軍打碎寶安我收復石牌兩頭塘等地
page 5	省府實施省參會之決案各案均與抗建有關參議員遞補者七人
page 5	禺南團隊圍攻新造奏捷
page 5	惠屬匪盜披猖當局派員嚴緝
page 5	中山嚴密防奸
page 5	不准鄉民往來
page 5	堅持抗戰信念
page 5	狼狽渡河潰退
page 5	日軍無法推進
page 5	增援睦洲之日軍仍在艦未去瀧水龍泉嚴加戒備情勢緊張江會日軍再度抽調改取守勢
page 8	華人代表決反對所得稅羅文錦之談話
page 8	我游擊隊夜襲深圳日軍
page 8	明奉咑　賽馬票佣金半數撥捐振華會預料可得善款逾十萬元
page 8	英紅十字會報告募捐成績
page 8	新運青年團募捐藥物成績
page 8	用電油汽車減徵牌費辦法此例明年七月起施行
page 8	德國糧食缺乏別國外交人員享用亦受限制
page 8	海盜截劫貨艇劫去七十餘元
page 8	麗精美術院秋季旅行寫生
page 8	吳忠信已返渝
page 8	英國艦隊搜捕德運輸船
page 8	五路軍電影隊獻映保衛中華
page 8	月內無燈火管制
page 8	公開籃球賽秩序重編各隊形勢星島南南　績最高
page 8	友誼球賽戰績
page 8	港政府公佈主要貨物存儲法例統制員得隨時令商人存儲貨物已奉命存儲之貨不得移放別處
