page 1	莫洛托夫演詞書後
page 2	日本基本國策宣言增強美國反日心理國會中人又發起強化關島國防
page 2	滬日憲兵
page 2	日艦又向　海發砲轟擊
page 2	廣西大學校長馬君武病逝昨日舉行大殮
page 2	滬西特警隊協定簽字有待
page 2	周駿彥殯禮舉行蔣委長親臨執紼
page 2	贛北日軍蠢動
page 2	傷兵之友粵省徵求成績
page 2	黃河水利委會林墾設計會議
page 2	滬各界定期追悼錢鴻業
page 2	國府明令褒揚張似旭
page 2	德巡洋艦凱薩號仍活躍在大西洋截擊商輪
page 2	英空軍司令部報告戰情敵軍陣地損害甚大
page 2	海外黨部電蔣總裁致敬
page 2	滬日俄委會主席米茲拉氏披刺上海 怖活動日益猖獗領事團開會商防範辦法
page 2	長江流域日禁美貨輸入美人在華商務幾完全停頓只上海租界區域稍可維持
page 2	日發生海嘯漁船千餘艘被浪捲去海嘯原因受　震所致
page 2	日已釋放英僑六人格萊琪再向日交涉日確有意驅逐英人在華利益是否真有決心參戰尚成疑問
page 3	莫洛托夫外交報告蘇聯決不參加戰爭信賴德蘇協定可保證蘇邊安全對英美兩國外交關係尚未滿意
page 3	歐洲將有大饑華沙居民六七百萬餓死者半法如向美呼籲必遭遇美國拒絕
page 3	意政府發出戰報
page 3	一個月內英倫空襲損失傷亡男女七百餘人
page 3	德機向　倫投散傳單引述希特勒之演說
page 3	德奧籍猶太人在巴爾布檢疫所扣留以待辦理入口手續
page 3	路透社發表鄭重聲明否認　方所　謠言誣　含有間諜關係
page 3	紐約省積極進行防務準備
page 3	羅斯福召開特別會議
page 3	佛朗哥命令封鎖注西邊界
page 3	第三黨準備在芝加哥會議討論該黨政綱反對干涉政策
page 3	紐絲蘭各　行停止兌付現金
page 3	西邊界外德軍向法北部移動
page 3	先作馬相
page 3	誰作老虎誰作卞莊
page 3	溫莎公爵夫婦將赴美轉英屬巴克馬就任巴克馬總督防軍總司令
page 3	法報評論汎美會議對代管歐洲屬土案法國對此不能忽視
page 3	蜆殼煤油公司製圖侖出售係為一種液體燃料
page 3	法蘭西大戰結果法軍傷亡嚴重達一百五十萬
page 3	瑞典國王重申中立政策
page 3	商船阿爾直號被一魚雷撞擊
page 3	德準備戰事結束發展南美貿易
page 3	蘇軍二百個師團在舊波蘭境集合羅國外交徘徊於德蘇之間倘德不肯遷就則與蘇接近
page 5	聞風膽落不戰而退
page 5	竟向　涌北卡進犯
page 5	四邑交通又受礙阻
page 5	廣州日軍拆東山屋宇闢作馬場十日內被拆者四十餘間舊時冠蓋往來此際將堆馬勃
page 5	粵省府議決各縣局設置首席保長一村或一街為單位得聯合設置任務為籌設國民學校合作社等
page 5	我東江團隊襲攻石灘日營
page 5	省府令飭學校師生注意節約養成刻苦耐勞之習慣
page 5	桂省府積極救濟義民劃定墾區並舉辦水利
page 5	桂省淪陷區郵局匯款停頓
page 5	省桐油購運處設三埠辦事處
page 5	日犯揭陽陰謀被挫我軍反攻楓溪之劇戰一路包圍　頂山與日爭奪激烈青麻山日蠢動未逞日機炸炮台饒平日艦他駛情勢轉穩
page 5	日犯炮台受創回竄
page 5	楓溪我日爭奪激烈
page 5	饒平情勢轉趨穩定
page 5	日艦窺肇慶峽受創我軍連克三水要點
page 5	國民兵建設實驗辦法由本月起實行期在年底完成
page 5	日海軍在崩崗演習中空中突然墮下炸彈
page 5	我軍襲新開路俘獲多人雜軍　　志在爭地盤收行水　涌北卡又已被其侵踞四邑交通連日完全斷絕
page 6	我銀衣團隊殲擊石灣日軍
page 6	日機電白肆虐
page 6	台山壯丁請纓抗日受獎
page 6	高要縣平價會改評各物價格牛肉柴油火水
page 6	台山嚴防日人及其附屬物誘惑我青年民眾曉諭民眾本愛國熱誠擁護抗建統一青運以集中青年意志力量
page 6	粵各地宣傳會五十餘縣成立
page 6	始興土地整理可可望提前完成
page 6	廣東政治新基石地方行政幹訓團參觀記
page 6	粵省開拓對外貿易決復興潮州抽紗工業先在揭陽設所指導流通抽紗原料入口
page 7	首批失業教師今日離港赴韶第二批行期亦不遠合格者又有卅九人
page 7	本年多雨七個月內雨量已超過九十寸
page 7	今日魯迅誕辰文化界將開會紀念
page 7	賑委會派會祭雷躍雲並贈遺愛在民匾
page 7	諾爾頓六日抵港即日宣誓就職官方擬定歡迎程序
page 7	記者公會籌祝九一記者節
page 7	七月份之氣候
page 7	九廣鐵路昨被山泥阻斷上下行旅客均採石工人在大埔轉車路局派工人百餘名冒雨修路
page 7	開放珠江談判僵化佛山輪留廣州未返港聞因日軍勒增領港費不許開行日方又聲言將再封鎖整個珠江
page 8	商會傷友捐款匯渝
page 8	崇正濟難會續施米
page 8	響應捐募寒衣運動
