page 2	我對於粵局變化的感想四
page 3	直奉二軍在長辛店固安靜海三路開戰北京聞炮聲隆隆平則彭儀永定三門半掩
page 3	徐世昌昨下三令一保護外僑二維持地方三飭雙方停戰查辦
page 3	公使團昨要求京津仍照常交通
page 3	日美派兵艦來天津不許敗軍入城顏惠慶均答允
page 3	張作霖廿八日確抵軍糧城
page 3	廿八早四時張景惠鄒芬襲攻琉璃河直軍被馮玉祥擊退三十里直軍追至良鄉奉軍奔向蘆溝橋傷兵數百已到京京聞炮聲甚近
page 3	廿八日開始總攻擊三路同進西路長辛店琉璃河奉軍襲攻直軍迎戰直大勝中路廊坊直軍進攻不克敗退固安馬廠大城間曹英舊部喪亡過千吳佩孚軍馳救始將奉軍拒退今仍劇戰未息奉軍傷兵運天津甚夥吳佩孚估計戰事至長一星期
page 3	吳佩孚親在前線指揮
page 3	張作霖入關奉省軍政委喬賡雲民政委王永江代拆代行
page 3	公使團咨外交部京奉鐵路不得駐兵京沽交通不得斷絕奉直軍不得入京飛機不得在京師拋擲炸彈
page 3	王懷慶告公使團北京治安彼負全責城外各國僑民均入居使館界
page 3	廿五日起調人已分裂拒絕調停惟張錫鑾趙爾巽尚赴軍糧城謁勸張作霖
page 3	西江潯陽有內變訊但未徵實英領接潯電仍安謐
page 3	助吳佩孚之兩兵艦已到秦皇島欲俟張作霖敗截張作霖歸路
page 3	某使館武員偵察雙方作戰情形謂吳佩孚佔優勝
page 3	閩省李厚基召集軍事會議
page 3	廊房一役奉軍擊退直軍後追擊數十里直軍張國鎔第廿六師傷亡甚眾張作相已渡永定河佔固安大城
page 3	此次奉軍定名統一軍
page 3	李鼎新因海軍入漩渦辭職
page 3	奉軍方面傳孫傳芳有響應張作霖訊
page 3	吳佩孚戰略注重琉璃河先破琉璃河奉軍再馳赴中路張作霖似注重中路欲突搗保定但吳佩孚現在大城設防甚嚴
page 3	保定自曹錕家眷他往後居民甚驚惶吳佩孚遷家眷至保人心始定
page 3	奉軍宣佈吳佩孚八大罪
page 3	張作霖黨詰曹錕昔直皖之戰兄未嘗得令進兵今駐兵涿良璃琉河京兆轄境亦未經京兆尹同意祇許我負人魏武奸雄其後世乃亦宗之電文純屬笑罵口吻
page 3	公使界自衛以東單牌樓為中心法美英日分四面守衛又京沽沿線四國分肆段集中實行辛丑條約
page 3	舊國會議員廿六日開茶話會決派代表分晤奉直雙方誰先召集即承認誰方
page 3	潘復再來天津
page 3	周閣議決沿膠濟路線自開商埠八處
page 3	張學良電邀美署武隨員隨營觀戰
page 3	吳佩孚電公使團張作霖謀
page 3	危國體故進討之
page 3	中路周安霸縣亦開仗京津紅十字會擬急分赴戰地搶救傷兵
page 3	吳佩孚二十六日下令攻擊旋接徐世昌退兵令並徐電請緩三日開戰如張作霖不退方可攻廿五滿三日如奉不退明日決戰
page 3	吳佩孚馮玉祥等八省聯電發表檄文宣布張作霖大罪
page 3	張作霖電告徐世昌進兵
page 3	吳佩孚曹錕電徐世昌請發命令退兵退至何點為止
page 3	傳說決定援助直系之海軍二十七日由蔣拯何豐林聯名通電略云現因時局紛紜且上海為中外人士居住之所在倘有差忒所關者大我海陸軍駐在上海吳淞應負保境安民之責故無論何方均不加入云云此事料係盧永祥與蔣拯疏通意見之結果而使海軍變更主張者
page 3	安徽張文生對於謙虛廬永祥同意於張作霖通電之電文通電贊成
page 3	二十七日東京日日新聞有關於山東條約之紀載云該條約至六月四日為止有交換批准之必要日前經由樞密院審議其大抵之質問亦已完竣雖有多少不滿之點惟結局行將見其無條件批准批准之後租借地之交還及鐵路礦山鹽田等亦將依次與中國政府開始交涉細目之協定並聞日本之交涉委員長現已決定小幡公使
page 3	日本條約實施委員會
page 3	二十六日小呂宋電稱在該處駐泊之美國亞細艦隊旗艦優倫號計令官史脫留士將軍座駕水兵三中隊於二十五日下午五時啟碇趕赴秦皇島
page 3	收復海軍要聞續誌
page 3	陳策另有差委
page 3	柏文蔚來粵
page 3	駐桂粵軍返粵　訊
page 3	選舉定例局員
page 3	報窮案彙誌
page 3	簽發赴加出口執照
page 3	招人投票彙誌
page 3	官地出投
page 6	王士珍來京後之調停聲
page 6	戰爭中之馮玉祥
page 6	京人力阻奉直軍隊入城藉外安團設法阻止
page 6	不到堂保單充公
page 6	小童斗膽
page 6	西商局商業報告
page 6	公司年報三誌
page 6	公司除名
page 6	商界耆宿逝世
page 6	聖士提反書院頒獎
page 6	銀價
page 6	上海宣佈香港為傳染埠
page 6	洋務職工聯合會成立紀盛
page 6	嚴厲取締雅片煙
page 6	工人聯合會之拒日行動
page 6	美國債票重發之傳聞
page 6	架刺吉打之監犯越獄
page 6	蘇彝士河之收入
page 6	西電譯要
page 7	廣九路開往石龍之火車被劫
page 7	虎門要塞司令易人消息
page 7	桂省散兵勾結土匪為患
page 7	北伐聲中之贛省要聞
page 7	長堤行人之虛驚
page 7	靈司已由林樹巍收復
page 7	林永謨免職消息
page 7	番禺知事亦被捕
page 7	毛仲芳竟欲自殺
page 7	總統府附近之搜查軍伙
page 7	黔軍來粵消息
page 7	惠州之行使紙幣情形
page 7	日艦取道回國
page 7	上海粵路　東反對改選總理電
page 7	第二軍由桂東下
page 7	發行小紙幣布告
page 7	　契又展期四個月
page 7	承捐者之紛紛投機
page 7	東江地震
page 7	財廳請尹旅長勿截留稅捐
page 7	陸軍部接管總司令部之例示
page 7	朱卓文兼製彈廠職務
page 7	新任財廳長之新猷
page 7	劉拱辰對於台山縣長封報拿人之宣言
page 7	瑣聞一束
