page 1	日再派大島浩使德
page 2	海陸空軍猛烈圍攻巴地亞鎮不日可下
page 2	左翼希軍破意防線意放棄吉利斯拉鎮
page 2	意希勢力相去縣殊犧牲精神希遠勝意
page 2	英艦炮擊北非海岸意軍窮蹙無路可逃
page 2	德國弛禁跳舞每星期可跳三夜
page 2	英機炸凡爾登
page 2	英議員摩根主張展築滇緬鐵路由臘戌至滇邊與我鐵路啣接
page 2	芬前總統心病暴斃
page 2	艾登演講英軍勝利因素有主義之信仰有良好之訓練
page 2	淪陷國僑英政府英承認為交戰團體眾議院昨一致通過
page 2	泰晤士報批評美援英宜迅速
page 2	土耳其戒嚴律展期三月
page 2	英繳現款五千萬金元向美定購商船六十艘三十萬萬軍需定單已提出摩根韜談須待美國會討論
page 2	英向美購軍需總值三十萬萬
page 2	邱吉爾演說戰局前途樂觀
page 2	英勞工大臣不滿共黨活動有等工人不守法律竟罷工作為威脅
page 2	意機炸馬爾他其中有一架被擊落
page 2	美向拉丁美洲購黃銅十萬噸
page 2	巴西與加樹立外交關係
page 2	南京中準銀行明年一月成立該行所發之紙幣暫限流通蘇浙贛
page 2	北海發生暴風
page 2	西班牙當猛醒英海軍截獲意密令意潛艇襲擊西輪坦及爾中立及不設防地位英美荷瑞葡諸國均極關心
page 2	英艦隊開入亞得里亞海意阿海上交通被阻截羅馬官方否認德軍開阿助戰德法關係微妙貝當將發宣言
page 3	法軍力壓叛黨
page 3	泰禁黃金出口
page 3	米貴原因之一越南缺乏印度麻包麻包為載運米石要具法商望恢復英越通商
page 3	龍州復興工作初步完成店舖已陸續開業市民歸來達萬人
page 3	日軍事視察團經蘇赴歐先往德後訪意
page 3	松岡演詞之反響日美糾紛難望外交解決美未必先對日開戰日如侵美將遇抵抗
page 3	我國輿論一斑
page 3	日報又發狂言
page 3	擲糞狂漢被捕
page 3	蘇美無線電話開始通話
page 3	日起用大島使德日蘇邦交調整益無望
page 3	監犯黃正成帶罪立功國府令特准赦免
page 3	陳公博昨訪滬領團
page 3	汪派徐良赴滿報聘
page 3	晉南我軍繼續掃蕩汾西外圍日軍潰竄澄海我自衛隊襲擊日軍得手我某部向南京以東龍潭襲擊
page 3	澳駐日使昨抵東京
page 3	貿易委會提倡改良羊毛生產具體計劃亦經擬定
page 3	新英倫地震地方未有何傷害
page 3	湘鄂間日軍車迭被炸
page 3	泰越邊戰去復起柬埔寨邊互相砲擊泰越互扣外交官情勢險惡日助泰飛機挑撥泰越作戰
page 5	欽縣舉行祝捷大會
page 5	瓊崖我軍抗日戰績
page 5	贛省府頒佈糧食出境辦法粵省府已轉飭遵照
page 5	粵幹訓團調訓各縣人員
page 5	粵創立全省僑匯綱中某商談華僑匯款情形
page 5	省行節儲存金月杪可達一百萬元激發農村民眾參加節儲
page 5	粵省振會增加義民膳費每月每人十二元
page 5	粵省當局籌設疏散港澳僑民委員會擬加聘港澳工商領袖參加先期撤退各社團幹部人員
page 5	日機續炸東江
page 5	粵參議會資請省府切實保護商運鹽斤並提高各鹽場鹽斤價值加緊搶運辦理國防囤鹽
page 5	翁源鄉民捐穀勞軍
page 5	增城附日軍繳械改編營長亦被扣留
page 5	犯抱虎角日軍全部肅清瓊我軍猛烈圍攻文昌縣城日機頻向粵南沿海各地轟炸欽縣舉行祝捷會秩序恢復
page 6	對廣州灣反封鎖續誌貨物稽查處定期成立桂粵當局禁桐油出口日運輸公司胎死腹中
page 6	粵省府劃分省縣財政注意公共造產穩定各縣經費
page 6	日軍封用民船四百餘艘廣州黃埔軍運頻忙粵路日軍增加大批糧械運抵新街日聯隊長左賀昨抵神岡召開會議
page 6	廣州附近日軍調查
page 6	日聯隊長昨抵神岡
page 6	粵省黨部發起恭鑄總裁銅像
page 6	文化服務社准免納營業稅
page 6	江會日軍又施行封鎖政策開入自由區之渡船均被扣留屈仁則昨親抵斗門指揮軍事
page 7	國貨展覽會明日開幕各部工作分配妥當將請代督岳桐剪綵
page 7	墨駐菲領事再在港建遊艇完成後作航海旅行
page 7	粉嶺下週賽馬廣九路開專車利便觀客
page 7	南社同人昨公宴柳亞子
page 7	馬會拍賣舊馬售出二十五匹
page 7	越政府撤銷米石出口禁令大批白米昨運抵本港來源既多米價應回跌
page 7	越撤銷禁米出口令
page 7	數十米店違例被控
page 7	中航公司向美購巨型機
page 7	東安崇正兩會繼續散賑新界難民得延殘喘仍望各界人士努力捐助陳瑞祺月捐白米六十包
page 7	赴津旅客不須領防疫證
page 7	清貧學生登記十六屆廿七日開始
