page 1	日圖參加德意軸心
page 2	我連克據點多處晉省戰事緊張晉西我軍連戰皆捷
page 2	廣州發現反戰標語
page 2	平漢路兩側我軍活躍
page 2	張自忠將軍遺函發表為國犧牲決心充溢字裡行間
page 2	上海美水兵又與日人打架美水兵司令官訪日領三浦會談結果官方未有所宣佈
page 2	亳縣殘日為我掃蕩
page 2	日藉口軍事警告英輪離開福溫等港英當局不能接納日要求如有損失日當局應負責
page 2	致某副總司令原函
page 2	致部下函
page 2	南京偽府發表二次偽通緝令為新聞記者四人
page 2	我襲信陽斃日軍二百餘
page 2	憑祥縣民捐獻槍彈
page 2	蚌埠日軍反戰焚燬藥庫
page 2	贛北日軍被擊月來傷亡慘重武寧焚日屍逾千具九江醫院有人滿患
page 2	光榮的通緝
page 2	日本單思病
page 2	我對滇緬禁運事件向英提出嚴重抗議郭泰祺訪哈里法斯有所表示
page 3	邱吉爾演說決心作戰到底現在英軍質與量均強大英國人民決不消極屈服
page 3	各方同情邱氏演說
page 3	歐戰期內美洲各國保護歐洲西半球屬土訊美洲會議將討論此計劃
page 3	美民主黨代表大會將在芝加哥一地舉行合金氏為羅斯福積極運動羅斯福對此表示消極同意
page 3	美國在外國投資統計共一百餘萬萬金元遠東佔七萬萬餘萬
page 3	駐美大使胡適傳將辭職由宋子文繼任
page 3	楊格在日囹圄生涯一
page 3	日極欲拔出泥足又散和平煙幕星洲代理總督鍾士廣播主張英國調解遠東戰爭
page 3	法委哥魯德拉指導全國體育
page 3	于鳳至女士乘機抵岷尼剌
page 3	越南總督卡杜魯仍留任貝當所委新督不發生效力越南仍極力保持和平地位
page 3	德意外交長官商定拒絕與日合作
page 3	日本對外貿易概況
page 3	納粹黨欲謀近東離間蘇土兩國散播謠言謂蘇有向土要求土政府聲明保持對蘇諒解
page 3	奪勇抗日新絳縣長晉級
page 3	盛京輪事件宣告結束英向日表示道歉
page 3	蓋達表示軸心國家在數日內進攻英倫英倫東南海岸發生劇烈空戰英空軍炸擊非洲意屬敵營房
page 5	日軍進犯杜阮中伏
page 5	我團隊控制寶太路日偽軍港惠交通依然通暢來往港沙小輪照常開行
page 5	港惠交通昨仍暢旺
page 5	旅美台山僑民募款救濟台山米荒近訊現已募得港幣四萬餘元匯返台山將款採購大幫米石分區舉辦平糶
page 5	虎門日軍大部撤退偽復興軍　集虎太各地石龍偽軍亦大部結集寶太沿路
page 5	中山新縣長已就職
