page 1	國防區之設置
page 2	任免事項
page 2	討論事項
page 2	對桂戰事難免粵軍一部開西江中央軍兩部開廣州
page 2	中央助黃回桂決以重兵作後盾黃已允打銷辭意
page 2	廬山會議充滿抗敵禦侮空氣對桂問題決以實力助黃到任黃對綏靖主任已不再辭俟廬會結束即南下履新
page 2	日居留民會議要求軍部保護走私並組集體機關增加走私力量
page 2	粵漢路被炸兩鐵橋現已修復完竣
page 2	徐關稽查搜查大批私
page 2	私貨抵津每日約二十噸
page 2	日本侵華政策欲求英國諒解吉田茂報告英國態度日政府當局大起恐慌亟欲與英國互訂協定
page 2	黃慕松對記者表示治粵意見本人決本服務精神努力幹去施政方針俟請訓後始能決定
page 2	行政院會議決議改組廣東省政府省府主席黃慕松廣州市長曾養甫民政廳長王應榆教育廳長許崇清建設廳長劉維熾省府秘書岑學呂
page 3	冀省府組籌委會籌備治安會議大會八月二日舉行
page 3	鄒琳在粵尚有兩週勾留
page 3	王克敏函宋報告謁蔣經過開發華北經濟問題刻正研商具體方案
page 3	冀察政會日顧問西田耕昨抵津遲數日始赴平就任
page 3	冀察政會外委會開第十一次會討論事項未公布
page 3	古北口浪人大販紅丸
page 3	財部令各郵局嚴防郵寄私運務須驗憑運銷執照
page 3	冀察政會調查鈔票額數
page 3	萱生被殺案加賞千元緝兇
page 3	財部對所得稅條例再作縝密審查
page 3	粵電報局長顏甘棠赴程赴粵履新
page 3	日軍聯合艦隊改期五日過廈
page 3	曾養甫抵長沙晤何後即赴盧謁蔣
page 3	中山秀雄案證人浦工英之供詞謂與葉楊周三人無關
page 3	國經新運兩會舉行聯席會議商討節約運動進行辦法
page 3	中懲會發表兩懲戒案
page 3	魯蕩平晉京報告豫省教育
page 3	中華職教會年會本屆在蓉舉行
page 3	甘陝剿匪情報
page 3	艾登出席眾院演講安定歐局問題三國會議為歐局和平初步五國會議前外交工作尚多
page 3	身體微感不適遷往上海療養院居住
page 3	日學術界旅行團昨由東北抵平
page 3	張學良返西安
page 3	兒童年閉幕禮平市定期舉行
page 3	電影教育委會昨開首次會議
page 3	西班牙各路戰事政府軍略感不利
page 3	中國世運籃球隊定期對美作友誼賽
page 3	西伯利亞東行列車出軌
page 3	財部昨以部令發表滬粵廈杭四海關監督粵海關監督戴恩賽江海關監督諸昌年廈門關監督易　鼎杭州關監督何軼民
page 4	今夕華人游泳會繼續舉行水藝會
page 4	港外匯先穩後好
page 4	遊樂場協會舉辦兒童小足球比賽昨日截止報名
page 4	英京銀價昨轉跌
page 4	滬外匯市情沉寂
page 4	省西紙降後微升
page 4	滬白銀出口稅率
page 4	今日乙組公　籃球賽兩長勝軍爭高下得勝者可攀登冠軍寶座甲組華僑會並非南華甲敵手
page 5	軍懇處長仍委翁式亮充任
page 5	浮屠將近合尖之統一形勢廣西問題與軍隊調動粵軍陳巫兩師已開赴西江中央軍兩師入粵亦將西發傳羅鬱等處發現便衣桂軍
page 5	全粵注目之洋米稅由財廳第三科長擬具意見稅款改由海關征收後宋子良力請財部將稅款撥歸粵庫仍充救濟農村之用並擬定農產雜項鄰省入口者免征米業公會電請財部勿追繳米稅
page 5	廣梧貨運之昨訊
page 5	潮汕緝私分卡結束外籍走私者之活躍
page 5	停辦私米改辦糖布
page 5	內地走私甚形活躍
page 5	閩西南匪共聚嘯邊境有竄粵勢嚴應魚部奉命開埔蕉
page 5	邱金聲股橫行永詔
page 5	匪部分散有竄粵勢
page 5	嚴應魚師即開邊境
page 5	土煤油業之福音財廳煤油販賣總處撤銷煤油稅改由粵海關征收並撤銷統制入口之限額
page 6	陳策赴虎門就職
page 6	軍事要訊一束
page 6	解散護士營
page 6	佈告用關防
page 6	部隊之移駐
page 6	八師長回任
page 6	張建返廣州
page 6	桂軍官離粵
page 6	省會公安局便利人民之善政
page 6	取銷市民入伙証
page 6	訴願書不貼印花
page 6	禁私刑與裁偵緝
page 6	曾養甫錢宗澤昨由韶飛潯謁蔣淩鴻勛今日來省南段局八一交代
page 6	禁絕煙賭實施辦法之概略
page 6	余總司令招待記者
page 6	各團體電中央請迅定治粵方針
page 6	稽查進口貨物運銷辦法之救濟
page 6	余漢謀慰留張之英張氏已打銷辭意余氏當面堅決挽留外並派香翰屏代表致意張氏打銷辭意並定期就新職江防部組織未頒到以前暫仍其舊
page 6	省行副行長霍寶材
page 6	廣州市黨部常務委員原由霍廣河譚惠泉利樹宗三人擔任
page 6	廣州市小學校職教員欠薪將及四個月
page 6	商會進行辦理四要案改善貼花撤銷苛雜整理金融停征米稅顏料專稅亦請撤銷
page 7	抵港情形
page 7	書面談話
page 7	葉氏演說
page 7	法界歡迎
page 7	就任日期
page 7	法學會電
page 7	余漢謀昨函邀何犖返省何已他往行蹤甚秘
page 7	糖商總會昨晚會議決請粵府撤銷糖業統制即席舉出代表人晉省與省糖商聯絡一致進行
page 7	專賣結果
page 7	糖商會議
page 7	這次可要和他計數了
page 7	黃紹雄派代表謁余漢謀商接收桂省軍政事宜
page 7	印警槍殺同侶案押候一星期審訊
page 7	新任粵高等法院長葉夏聲昨晨已抵港廣州法界在港開會歡迎葉氏暢述獲任院長經過
page 8	宣讀判詞
page 8	難下斷語
page 8	乃為主犯
page 8	半山居民會年會
page 8	繁榮會提前會議討論商 民大會決案
page 8	白崇禧夫人返桂
page 8	據其解釋
page 8	四人意外受重傷
page 8	海關限制桂省紙幣出口逾百元者即被沒收
page 8	截劫御者案初審原告述被劫經過
page 8	請改善電影檢查各界人士之意見
page 8	少婦險作長眠人
page 8	衛生醫官時症報告
page 8	余立奎刺宋罪名亦成立法官認路警供詞可信洗秉熹律師聲言上訴
page 10	手車夫忍棄病客
page 10	請改食物店則例衛生局已批復不准
page 10	澳洲空航之發展本港至澳西四日可抵達
page 10	三西人偷渡來港
page 10	漁船遇險幸獲救
page 10	泥工被控私藏軍火
page 10	粵中學生會考揭曉
page 10	中華教育會將　議
page 10	精武會購得新會所
page 10	律師被控違例案辯論終結押候宣判
page 11	東江久旱降雨農民船戶有喜色
page 11	防空會議決征租捐
page 11	匪劫瓦壺崗之電台
page 11	美利輪之誤會匪劫
page 11	三江增抽沙捐反響
page 11	馬熊天馬鬥潮未息
page 11	桂省武鳴禁少女直角墟為維持風化
page 11	汽車失事重傷七人
page 11	軍民聯合籌建博羅溫泉
page 11	塌住屋之三屍四命
page 11	爭水灌田竟被斫斃
page 11	廣東堂匪到處騷擾
page 11	東莞開放米禁之經過
page 14	南昌市舉行市民大會歡迎粵空軍將士到會市民數萬人情緒熱烈
page 14	到會人數極形踴躍
page 14	空軍蒞會萬眾歡迎
page 14	主席報告歡迎意義
page 14	全體默哀殉難同志
page 14	范爭波氏宣讀獻詞
page 14	男女代表贈花贈物
page 14	大會通過五個提案
page 14	空軍代表謝莽答詞
page 14	會後遊行秩序整齊
page 14	日艦七十餘艘在福建台灣間大操自七月廿五日起操演一星期怪飛機常飛閩東南攝我險要
page 15	台灣限制華工人入境苛例華商及一般華僑均遭嚴酷的待遇
page 15	德奧協定引起法俄猜忌俄加緊強化空防設備並將舉行大規模演習傳德與捷或將訂立互不侵犯公約
page 15	外國人在天橋攝取侮華影片將我下級市民醜態拍攝無遺
page 15	攝影情形
page 15	愚弄市民
page 15	津市府門前發生衛兵擊斃日警署特務慘案外交形勢嚴重萬分
