page 2	癸亥年之回顧
page 3	林俊廷改欽廉邊防督辦陸榮廷督桂令將下
page 3	曹錕下令重申煙禁
page 3	稅務局告財部勿將稅務司保管內債基金語記入崇文門稅券條例
page 3	廿八日中小校聯席會議決定反對崇文門稅券免牽動教育費
page 3	廿八日議員梁昌質問崇文門稅券何以不交國會公決
page 3	航空署在津滬奉青島北戴河福州設臨時航空站
page 3	使團消息某使提議江浙強制弭兵意見長江外艦聯合防止京漢津浦隴海各路運兵劃上海為中立區域將發通牒並警告
page 3	使團以孫寶琦告參議院否認金佛郎案將提抗議
page 3	吳佩孚復函京議員選舉副座以公意為依歸
page 3	吳佩孚電京表示向王克敏索餉百萬否則親來坐索
page 3	齊燮元電院請速接濟惠潮梅電料
page 3	舊安武軍全體要求年內清發積餉否則自由行動
page 3	隨縣環潭團丁百餘不堪駐軍壓迫廿二日譁變
page 3	援川軍會攻潼川順慶益急劉湘袁祖銘楊森鄧錫侯均在
page 3	火線督戰川黔軍有克簡陽說又訊楊森已佔淮州與敵隔河而陣
page 3	馬濟向某洋行購槍八千枝閩訊閩俟縣區農會表決兩案壹死拒預征下年錢糧二反抗強硬配役勒錢
page 3	土匪就與泉永汀漳密組義粉黨擬推翻省政府光雲錦廿七日勸臧致平與黃大偉合作黃廿七日來鼓浪嶼接洽
page 3	愈演愈烈之滇軍內部風潮
page 3	滇軍第四師全部解體
page 3	滇軍四師歸降粵軍之經過王秉鈞罵孫中山倒行逆施
page 3	江門西訊
page 3	銀行被控案再誌
