page 1	蘇俄勢力之擴展
page 2	贛北方面我軍迭克重要據點
page 2	政院昨開會議議決韓德勤任蘇主席
page 2	龍雲吳鼎昌通電討汪
page 2	死光破壞力甚大倘世界戰爭繼續下去則人類將遇空前慘劇
page 2	蓉市熱烈慶祝國慶蔣委員長閱軍渝各界祝國慶並祝湘北大捷
page 2	美中立法修改案關係遠東航務該案規定定禁美輪到交戰國口岸故上海香港聞亦將在被禁之列
page 2	鄂中我軍進抵天門附近潛江已被我緊密包圍
page 2	英法在美定製大批飛機價值二千萬鎊
page 2	克萊琪昨訪野村
page 2	統一丙種債票還本抽籤
page 2	英德海空軍發生激戰英艦無損失德機被擊傷
page 2	湘北我軍渡過新牆河分別向岳陽通城圍攻贛北我軍克復修水邱家街我前進部隊現向武寧進攻
page 3	希特勒廣播演說重申其和平主張
page 3	德將在西線採用閃電戰希特勒將往西線指揮法空軍候命作主力攻
page 3	齊格菲陣線英已報入鏡頭
page 3	蘇立協定經已簽字
page 3	蘇聯紅軍開入愛境
page 3	德懼蘇在短期內赤化波羅的海諸小國德急將波羅的海諸國人民遷回德國立愛列對蘇均已屈服芬蘭尚圖抵抗
page 3	芬蘭外長抵莫斯科
page 3	監察委員劉覺民逝世
page 3	莫斯科各報均以大字刊載湘北我軍大捷消息各報均有專電描寫我軍勝利情形真理報且發表論文評論中日戰鬥
page 3	英法兩國領袖表示戰爭決心德如無具體保證不再侵略英法對德決繼續戰爭到底
page 5	日軍圖阻人民逃避
page 5	昨晨石岐砲聲尤密
page 5	盛傳我軍猛攻江門
page 5	粵北我軍又收復豬屎嶺日軍紛紛增援龍江我日對峙
page 5	中順交界牛角等十八沙壯丁聯組抗戰志願兵團地方有警助軍團作戰地方無事時從事耕作
page 5	粵動員會擬定經濟中心工作
page 5	五區灣仔發生虛驚
page 5	吳張召開反攻會議
page 5	石岐日軍節節退守
page 5	外電謂日放棄石岐
page 5	總統同情我抗戰國民外交協會去電致謝站在民主陣線努力中美關係益臻密切
page 5	國茶南銷暢旺
page 5	中蘇文化協會桂林分會成立
page 5	西江日軍犯羚羊峽不逞
page 5	粵團隊軍響改由戰區部發
page 5	空襲時期疏避注意事項
page 5	雙十節之夜寶安各地我日之炮戰蚊帳嶺日營被我軍衝入
page 5	禁止進口物品特種用途准領證進口總稅務司昨令各關遵照
page 5	桂山匪黨已被包圍絕食
page 5	省行重慶分行成立各屬通匯地點
page 5	各游擊區推行精神動員
page 5	溪角我軍與袁帶部取得聯絡後石岐日軍十日午大部退卻傳我軍衝進江門日軍赴援五區灣仔前夕因誤會虛驚
page 7	港政府修正財政法例政府得隨時檢查商店賬簿對統制外匯亦頒布新法令
page 7	雙十節特別賽馬華籍馬主又勝五場首場奴斯伊力竟慘敗港督夫人之良駒又奏凱
page 7	本港政府定期調查人口
page 7	高抬物價案永安公司被罰
page 7	南方中學開國慶遊藝會
page 7	麻包中之男屍青草塞口遍體無傷痕棄置道旁為路人發覺
page 7	一九四零至四一年度港政府收支預算草案支銷預算五千餘萬將入不敷出僅軍費一項已佔七百五十萬元
page 8	航運兵險保費回跌各線徵收價格一覽
page 8	三社團祝國慶
page 8	各界熱烈慶祝雙十節百餘僑團署名致電國府致敬婦女界在加露連山行升旗禮
page 8	金邊的士公司捐金二萬元製棉衣贈前線將士
page 8	霍芝庭昨逝世
page 8	六邑賑聯處寄出大批賑品
page 8	港府籌備慶祝開埠百週紀念
page 8	皇后戲院
page 8	加路連山
page 8	女鬼洞房惹出糾紛新大陸公司被控犯電影檢查例
page 8	國慶日足球義賽華聯奏凱旋歌三比一破西聯水益先開紀錄澄滔連　喜
page 8	本週足球聯賽秩序略有更改
page 8	南遊日記五十
page 8	澳僑　體會今日傾師犯港
page 8	旅港廣東禺北內地災區難民救濟委員會鳴謝捐款啟事
page 8	　等　集　本港港府是年稅收劇增超出預算竟達四百三十餘萬煙酒電油土地等稅增加最巨
