page 2	廣州政局的投機化靜
page 3	反對省憲議員簽到不出席
page 3	魯督田中玉來電辭職
page 3	馮玉祥任西北邊防督辦
page 3	曹錕請電江西中行接濟林虎十萬
page 3	奉直原定十日開和議會因條件斟酌展緩數日先由陸錦往榆佈置會場奉駐喜峰七八兩師及機槍隊准十一日先撤保亦電駐灤州軍相機撤退
page 3	李烈鈞徵閩南稅充餉眾不平派代表謁孫傳芳致靖閩軍內部渙散李烈鈞許崇智皆中止進行孫傳芳王永泉態度復硬
page 3	京訊政府宣佈華洋被擄者今夜十一已盡釋
page 3	美電哈定不贊成派兵來華但中國須負責保護洋僑以後安全
page 3	九日使團限外部三日內盡救劫車被擄洋人否則每日償損失十萬昨係用紳耆往匪巢換出洋人一面與講贖價明日可望併放穆律師
page 3	日倡共管說無效但義使倡鐵路共管使團十二日再議
page 3	交部電魯田中玉允交附匪索款如魯款不足由交部籌助
page 3	馮玉祥不願對奉自願征蒙故參陸處決定任馮蒙邊防督辦率全部往蒙擔任中路但黎元洪意任馮繼田中玉因外使意魯督長僅記過不足蔽辜
page 3	直奉事因馮玉祥不主戰又因孫烈臣力主和目前可無戰事
page 3	張紹曾商維持內閣允助最高問題閣秘書長由保定薦人先去呂均劉恩源張英華繼財長稍緩再去李根源
page 3	吳景濂請黎元洪以顧維鈞級閣黎言顧必不肯李根源與張紹曾同進退聞保定已同意閣秘書長任張務本張英華繼財長由張競仁先代但津派仍主驅李根源
page 3	川訊熊克武但懋辛退遂甯推克武為自治軍總司令劉存厚攻遂鄧錫侯為總指揮劉成勳賴心輝兩部不援熊
page 3	陝軍胡景翼部奉吳佩孚令援川胡到漢口籌備開拔
page 3	熊克武窺成都楊森赴永擬敗熊再往成都助劉存厚鄂援軍亦入川助劉
page 3	漢口沙遜洋行失慎損失百萬
page 3	張曾紹態度忽強硬謂俟砲打新華門始走閣員不合作聽其辭職決借劫車案去吳毓麟分電保洛以外之軍閥冀得助力
page 3	各國公使日前相繼赴保定京傳係外人確定援助實力派表示
page 3	張作霖電國務院奉軍離直邊不止二十里奉決不開釁直軍如不相逼自無戰事
page 3	王承斌電國務院請發表討孫命令
page 3	國務院接沈鴻英電率隊赴梧州有奉令字樣電文含糊且奉何人令未說明院疑係冒電
page 3	福州訊孫傳芳得王永泉臧致平李烈鈞聯防訊藉口往延平視師將折回資州
page 3	華銀團發起全國債權人大會監視政府以債權擅授外人
page 3	十日參眾兩議院均流會
page 3	九日早財長劉恩源攜眷乘慢車逃津軍警不留意慢車故截留不及
page 3	贛蔡成勳電據力本仁稱
page 3	沈鴻英屢起屢蹶實因後方接濟不靈缺乏子彈現守曲江非補充完全不能出擊
page 3	江蘇高審廳不准湯節之案上控
page 3	李耀漢攻陷恩開各屬
page 3	西江軍事之確訊
page 3	戰事開始之東江局面
page 3	興寧戰訊近聞
page 3	葉恭綽尚未上場之原因
page 3	北伐之聲又起
page 3	改委粵省長又有異議
page 3	形同擄勒之假司令拉伕
page 3	劉震寰拘拿王棠
page 3	財廳照常辦公
page 3	深圳警耗之西訊
page 3	陳永善有脫險希望
page 3	金生輪擱淺
