page 1	紀念九一八的意義
page 2	九一八九週年中華海員工會通電向委座及各戰區司令長官致敬
page 2	蔣委員長令節建儲蓄擴大運動各地勸儲網已佈置完成實行競賽辦法以資鼓勵
page 2	甘藏民代表宣誓效忠
page 2	美黑籍飛行家向戈林挑戰昨接德使館之滑稽答復
page 2	侵入埃及意軍抵塞特巴蘭尼碧璧城以東意軍與英軍前哨衝突
page 2	日機分批襲渝為我空防隊擊退
page 2	粵採行學米制教廳通飭各縣
page 2	美海軍部長諾斯抵三德哥
page 2	中央監察委員麥煥章病逝
page 2	菲財長向美呼籲勸美以軍火運菲強化菲律濱美菲間經濟調整時期再延長十年
page 2	蔣經國捐款倡導獻機
page 2	前越南總督加杜魯抵倫敦參加哥里戰爭工作
page 2	印度參戰問題須能自由討論甘地發表之談話
page 2	九一八九週年
page 2	黑豬向戈林挑戰
page 2	紐約第三週年一碗飯運動紐約市長任主席安星黃柳霜亦到
page 2	我冀豫晉三省大軍已宣佈開始總反攻
page 3	德機炸擊倫敦落許多燃燒彈
page 3	九一八九週年蔣委員長告合國同胞壹東北同胞生活如人間地獄要收復失地解放受苦同胞
page 3	全國同胞
page 3	偽滿行政
page 3	強迫征召
page 3	日人監視
page 3	整個沒收
page 3	所有農產
page 3	教育方面
page 3	敵人用心
page 3	東北同胞
page 3	英機繼續炸擊大陸沿岸艦艇
page 3	日新體制運動籌委會舉行最後一次會議近衛呼籲人民團結應付困難
page 3	宣拿爾氏在德談話西國亦有要求現在聽候時機
page 3	羅斯福在白宮批簽徵兵法案預算截至明年春間止有九十萬之徵兵入伍
page 3	法日談判雖已恢復但仍未能順利進行法取延宕辦法日方焦急之極
page 3	美國黃金輸入陸續增加佔全世界百全七十
page 3	日本東京發生劇烈地震
page 3	加拿大東海岸發生旋風濱海各省交通斷絕地方損失頗為重大
page 3	縱使英國失敗美必加速備戰軍火製造更為忙碌
page 3	菲輪震旦號被截留事美尚未得接正式報告此事件料無重大之國際性
page 3	英倫海峽起暴風德渡海時機已失倫敦被德機劇烈空襲轟炸之烈為前所未見
page 5	某客商談分路招致歸僑情形
page 5	軍管區曉諭民眾協助政府刷新役政應儘量貢獻改善役政意見兵役人員舞弊准秘密檢舉
page 5	粵北玲墟我日劇戰日軍被我痛擊死傷百餘潰退粵路日援軍在郭塘被殲數十
page 5	玲墟劇戰
page 5	郭塘殲日
page 5	台山民眾舉行祝捷大會並向長官獻旗
page 5	寶安日軍駐地之調查我機散放傳單勸附日軍反正並勸莞寶民眾難開苦境我軍將在華南大舉反攻
page 5	派隊竄擾
page 5	疫症流行
page 5	投下傳單
page 5	呂春榮部
page 5	不受威迫不為利誘黃順泰
page 5	粵東擴大對日反封鎖沿海各縣合作嚴緝私梟檢查站紛設立制日　
page 5	廣州市郊各鄉交通斷絕日軍繼續搜捕鄉民鄉民紛紛走避情況混亂
page 5	廣東的戰時貿易管理特產盡量推銷貿易積極調整加強了對日經濟鬥爭的力量
page 5	一土產採銷
page 5	二進口貿易
page 6	芒洲日艦突呈活動
page 6	日閥又向江會增兵
page 6	順德日軍大部撤去
page 6	前山日兵調婆蘿島
page 6	我游擊隊夜襲荷塘
page 6	中新兩縣日軍人數
page 6	粵府一六零次會議重要決案驛運營業基金定為三十萬元調整糧食機構設湘贛購糧處組政務視導團派定負責人員
page 6	調整糧食機構
page 6	組政務視導團
page 6	設糧食管宣局
page 6	汪派爭奪中山權利
page 6	南順紗綢仍准運銷內地山東大豆亦准運銷
page 6	歸僑應先查明路線廣州汕頭江門海口交通斷絕祇香港海防兩路線仍可通行
page 6	日增兵江會我亦準備迎擊前山日軍患病多移駐婆蘿島順德日空虛我游擊隊襲勤流
page 7	愛月眠遲
page 7	忽來強盜
page 7	拾獲兇刀
page 7	沉默紀念九一八各僑團不舉行任何儀式兩大戲院義映名片籌賑
page 7	經亨利將離港
page 7	各種香煙增價約增百分之十至二十
page 7	華商籌賑會雙十贈旗運動決製旗十萬面交各團體推銷賑聯會將領導僑胞慶祝國慶
page 7	粵僑務處在三埠設歸僑詢問處
page 7	藏毒品案押候
page 7	霍亂症未減少去週死百餘人
page 7	血案兩宗判決兩犯均處徒刑
page 7	粵會計員考試昨在廣大舉行
page 7	英婦孺赴澳洲某輪艙位一部份被徵用
page 7	英皇道西人俱樂部強盜圖劫揮刀傷人留宿教師夢醒拒賊被斫傷頭事後拾獲兇刀一柄鏹水一瓶
page 8	圖劫馮儉生案初審原告供述遇盜經過
page 8	詳述案情
page 8	牽馮登車
page 8	有曲尺槍
page 8	手攬余腰
page 8	基督教團體節建儲運第三期成績今日結算雙十節始實行總結束
page 8	希特勒與成吉思汗二蘇芹孫撰英遠東情報局播
page 8	談談某種謠言
page 8	香港上海間日圓匯率改英鎊本位日本經濟已日趨崩潰之途日圓價略起僅屬迴光返照
page 8	港外發現浮雷
page 8	汕尾海盜截劫貨艇轟斃榜人一名傷三名貨物搜掠一空值銀五千餘元該艇脫險返港肖派員向警報案
page 10	全港游泳冠軍昨晚兩項預賽二百廿碼吳年陳振南分組第一女子五十碼高妙玲Ｖ張佔鰲頭
page 10	南華會週年水運細則全部修正公佈
page 10	滬三劍客聯袂南下東方本屆實力增強劉顯漢重返娘家效力
page 10	香港籃球聯會今夕舉行頒獎並有兩場表演賽
page 10	兒童游樂場擬辦九龍學界小球賽
page 10	特別銀牌籃球賽今日開始大戰王棠先生主持開球禮
page 10	夏令籃球戰績
