page 1	羅斯福之連任問題
page 2	英日談判對於我國並不影響抗戰中國戰鬥力非全靠外國最要為中國之偉大人力
page 2	英國官方尚守緘默
page 2	傳備忘錄經已簽字
page 2	泰晤士報所作批評
page 2	西北保衛線上三
page 2	閩省時症流行各項藥品缺乏希望僑胞捐贈
page 2	Ｘ又揚言總攻
page 2	沁水陽城我Ｘ展開血戰白晉路北段Ｘ已成強弩之末
page 2	汾城東北殲Ｘ過半
page 2	我襲夏縣迭有所獲
page 2	英國堅持保留態度
page 2	唐河縣村民救護傷軍獲獎並呈請中央予以褒獎
page 2	豫南長台關人兩路進犯明港我軍分道截擊中
page 2	美艦員在漢在被Ｘ兵毆打
page 2	晉南前線某長官譚垣曲血戰經過Ｘ五路進犯被我痛殲五千我某副司令長官親身督戰
page 2	滬西發生激戰自從上海淪陷以後以此戰規模為最大
page 2	英日舉行圓桌會議日方宣稱會議進行頗為順利談判可望在本月內告一結果
page 3	英國已承認英德借款計劃但尚未提及借款數目
page 3	英法蘇談判繼續舉行
page 3	中央國府聯合紀念週蔣總裁致詞原文一我們抗戰無論如何一定有辦法環境愈困難抗戰的力量愈偉大
page 3	革命復興
page 3	外交形勢
page 3	可以相信
page 3	英國縱然
page 3	絕不可信
page 3	但澤國社黨領袖聲言有權收回領土現已無需再靠德國
page 3	蔣謂Ｘ不撤離中國決無和平可言中國物力豐富能自給自足可不倚賴外力而長期抗戰
page 3	天津　警扣留外運白銀偽政府實行沒收
page 3	荷蘭國運協會贈旗與我海員
page 3	畢德門主張取消美日商約
page 3	廣東省銀行錄用大批政訓所學員並組設特別班加以實習訓練
page 3	塘沽方面又發生排英潮擊毀開濼公司辦事處英領已向日提出抗議
page 3	中美大晚兩報繼續出紙
page 3	滬英籍督察長竟被偽警毆辱英將提強硬抗議
page 3	二等殘傷連長李宗岱呈請上陣殺Ｘ捨身救國若不成功亦當成仁右目失明右耳失聰亦所不願
page 3	二百萬鎊借款仍有成功希望貸款條件大體談妥
page 3	Ｘ機廿七架襲渝發生劇烈空戰Ｘ機投彈百餘枚後逃逸有Ｘ機一架被我方擊洛
page 3	滬金融市場擠提風潮已息
page 3	張伯倫聲明英日談判原則將來談判只限天津地方問題英國外交政策不受外國支配
page 4	捐金購債彙誌
page 4	警探搜飛鏢場七男子被拘探控
page 4	軍委會幹訓團留港同學成立通訊處
page 4	商會新舊職員今日行交代禮
page 4	上環南北兩市將合併已定十月間興工重修各種攤位將重新改良
page 5	我軍一度衝進會城
page 5	昨廿四晨尚有炮聲
page 5	中山沿海僅有數艦
page 5	Ｘ人又向睦洲恐嚇
page 5	東線我軍前日再度衝入增城游擊指揮所召開政訓會議
page 5	粵南法幣市價近訊現在已趨穩定
page 5	粵第六游擊區四支隊長易人屈仁則接任
page 5	Ｘ艦砲轟橫門企圖登陸不逞
page 5	北海省行奉發一元毫券十萬元俟國幣比價轉順後開始兌換
page 5	獎鄧龍光戰功升某集團副總司令
page 5	江佛線Ｘ運忙
page 5	外匯高漲後之土產價仍穩定
page 5	岐關客車價格改收國幣
page 5	粵省府訂定捕擊偽組織人員獎勵法誣告妄殺偽報均依法處刑
page 5	民廳深圳警局八一撤銷警政由縣府　理
page 5	潮汕棄　後東路交通無阻由梅縣至港五天可到南洋華僑匯款無影響
page 5	南路Ｘ艦行蹤飄忽欽廉防各地加緊防備南鵬島陷後之近狀
page 5	沿海Ｘ艦總數
page 5	潿洲無Ｘ母艦
page 5	南鵬陷後近狀
page 5	Ｘ機飛襲北海
page 5	昨廿四日深圳三發警報Ｘ機未飛到深圳沿鐵路各地無損
page 5	新開路我軍會同游擊隊再衝入會城昨晨會城及新鶴路尚不斷有砲聲發響偽軍又向睦洲恐嚇
page 6	中山軍事和緩中岐容等航線交通調查前中山軍事吃緊輪渡完全停航截至廿二日止祇得兩輪渡恢復
page 6	增龍各鄉視察續記
page 6	中山當局嘉獎二區署長策動民眾抗戰得力
page 6	省府通令嚴禁民間燒衣
page 6	三灶Ｘ機偵察中山沿海
page 6	粵南當局嚴防資Ｘ糧食轉運新辦法經海運者千斤以上即須領證由陸運則寬限至三千斤以上
page 6	糧食轉運辦法
page 6	Ｘ師部備查補充辦法八項
page 6	特別紀載抗戰以來之廣東財政四兩年來收支概況
page 7	津禁糧食出口
page 7	港貨停止北運
page 7	外輪勉強航行
page 7	香港華北貿易
page 7	閩港貿易打擊
page 7	市虎噬傷兩人
page 7	英警官與傳譯員勒索疑案押候主控方面將有新證供
page 7	難民工業社出品展賣大會將開幕大會職員均由名流充任各大商店紛紛捐助貨品
page 7	紅磡各界售花素食成績
page 7	桂婦女界領袖電港徵募蚊帳
page 7	澳門僑團昨歡送徐天深
page 7	本港防空局昨日試放警報免防空演習之夜臨時失效昨日試驗結果聲音極雄亮
page 7	我Ｘ貨幣戰相持中香港華北貨運停頓因國幣低跌北運貨物已等於零Ｘ限制糧食出口津貨停止運港
page 8	美艦岷丹奴水兵飲彈自殺
page 8	我緝私艦員節用救濟難童
page 8	鶴僑救鄉會議
page 8	洋務工會擴大購債運動
page 8	霍亂症未減少
page 8	防空分區主任昨日召開會議
page 8	新靚就演技為婦女兵災會籌款
page 8	舊鎳幣將廢用新幣源源運港
page 8	住客控包租人要求賠償裝修費損失
page 8	小販聯合會召開同人大會討論擴展救災工作
page 8	磚石壓傷三人
page 8	各區竊匪猖獗
page 8	店伴被控破壞公司用具
page 8	足球總會選出小組委會正副義務書記均是舊人繼任對埠際比賽問題亦有所討論
page 8	域多利游泳會昨日議決興建新會所利用湯馬士贈金千鎊為建築費不敷之數約八千元則設法籌集
page 8	水球補賽改期
page 8	戲院職工鼎定期卅日決賽
page 8	夏令籃球賽今日開始正社對大觀勵行戰丁丑
page 8	南華游藝部舉辦乒乓平賽會
page 8	Ｘ軍加緊Ｘ在沙套島海面裝設水雷
