page 1	中日關係與冀東問題
page 2	川樾返國在即昨謁王外長辭行否認向日政府建議六點
page 2	河相返日後談中日問題
page 2	日報造謠言外部極注意
page 2	宣判情形
page 2	刺汪宋案宣判余立奎賀坡光張玉華處死刑胡大海周世平等六人分別判處徒刑多年胡昌平張國屏徐瑤瑛等三人則無罪開釋
page 2	蔣委長父子重圓蔣經國由俄返國赴杭謁父蔣公子留俄十餘年平日父子政見相左此次蔣公子回國謁父其意義頗為重大
page 2	朱慶瀾入川放賑攜款一百四十萬川省現有三千萬饑民待賑災區遼闊有杯水車薪之虞
page 2	李思浩訪周作民等交換華北經濟問題李日內晉京謁中樞當局報告華北最近一般狀況
page 2	內部制訂禮服標準尚未確定
page 2	于右任念舊情殷歡宴汽車夫十年前願共生死一朝重敘樂奚如
page 2	川事完全解決駐渝川軍撤退
page 2	池逆宗墨赴日目的請日維持冀東偽組織日外務省對取銷偽冀東組織問題謂滿洲感受威脅時不能視若無睹若我國派遣軍隊駐紮冀東日將出兵魯滬
page 3	平滬車查獲大批私貨
page 3	許寶華徐伯園在浙被匪擄去
page 3	林主席在國府紀念週中報告赴粵所得感想粵漢路完成國防可免受封鎖威脅各省建設進步表示民族復興可期
page 3	主席報告詞
page 3	第一個感想
page 3	第二個感想
page 3	第三個感想
page 3	劉哲避居青島東大無人維持
page 3	傅作義昨抵並
page 3	中華全國美術會在京開成立會
page 3	北平受傷劫匪治愈後再槍決
page 3	司法官試典委王用賓等就職
page 3	四期法官訓練班昨舉行畢業禮
page 3	京滇週覽團昨日行抵芷江
page 3	司法部令報改良監所情形
page 3	四省特展五一在湘舉行
page 3	安欽離京北上
page 3	滬市工潮大致已獲解決實部甚望勞資雙方互相諒解以渡難關
page 3	匈總理發表重要演講匈國政體不需要獨裁政治匈國之各友邦僅及奧意兩國對意南之政經協定表示滿意
page 3	陳公博正式到部辦公
page 3	教部訂定免費學額要點令發各教廳飭屬遵辦
page 3	北寧是足球隊在日竟獲最後勝利三對二勝全關西隊
page 3	馬步芳赴陝迎候馬麟
page 3	王外長明日歡宴外賓
page 3	太平天國遺物發現制錢二枚
page 3	日在成籌設領館未成
page 3	唐萱今日赴桂商洽鹽務事宜
page 3	林雲陔今日飛粵
page 3	美國女子桂克美決心自動歸化
page 3	希特拉四十八度壽辰全國籌備慶祝有九萬納粹黨領袖向其行宣誓盡忠禮
page 3	蘇俄金礦工人又發生怠工案料又有托黨所造成
page 3	沙赫特勸德人節省原料消費
page 3	兵凶戰危害之為慄西戰遷延九月迄今仍有劇戰阿拉貢陣線天空戰爭雙方參加飛機四十餘架沃維都陣線叛軍向政府軍陣地進攻勢頗猛烈
page 4	普通界籃球賽南華南僅勝英華乙組勵行紅星華仁得勝
page 4	滬粵女子籃球賽東亞大敗培道成績十六對七
page 4	即將赴菲之東方會昨又敗於海軍上半場一比二下半場二比零麥紹漢不暇請哥士打等同行
page 4	雙打網球定明日準決賽芬渣洪渭釗對黃福南呂桂芬昨日單打小林珍戰勝梁炳超
page 4	華大運動會成績
page 4	港外匯市無大變
page 4	心弦乒乓隊勝光華
page 4	南華會舉辦第二屆公開單人象棋比賽會已開始報名廿六日止截
page 5	曾養甫任財政特派員
page 5	吳主席兼兩委長名勝建委會防空協委會
page 5	免稅洋米先准百萬擔進口余吳程再請維持原案並請中央核行三中會決案將來抽收洋米稅指定為粵省舉辦水利振興農業之用途既可根本救濟粵省糧食兼活動全省經濟並先以米稅擔保發行五百萬水利公債當局救濟民食之治標治本法
page 5	行政院來電徵詢
page 5	余吳程聯電力爭
page 5	根本救濟粵民食
page 5	李基鴻就任後改革粵省煙禁積弊裁併駢枝機關革除剝削煙民之流弊煙民准可免費登記
page 5	管理處之存廢問題
page 5	售吸所將有撤銷訊
page 5	煙民登記准可免費
page 5	禁煙會今後之經費
page 5	內政部視察員電告經鄂湘來粵
page 5	市商會函請修正複議營稅法
page 5	江門商會查詢營稅案函
page 5	以米稅擔保公債
page 5	旱災近狀
page 5	行政院今晨會議粵洋米入口案續聞昨先開談話會之電訊粵各廳長官無甚更動
page 6	昨晨聯合紀念週余主任之重要報告洋米一百萬元先運粵
page 6	糧食問題
page 6	縮編部隊
page 6	黃故主席之殯儀
page 6	市商會會議請慰留營稅局長
page 6	按押業昨開全體會議決分呈各機關請制止入店緝私
page 6	廣九死難家屬恤金發給仍有待省府主張由局直接發給難屬昨又到各機關請願
page 6	令商會調查推銷省製新聞紙
page 6	銀號找換業撤銷統制後狀況
page 6	陸上安全運動定下月二日舉行
page 6	范尼斯昨午離省
page 6	因錯掘墳山起釁河南煙窟鬥毆案
page 6	工商大借款昨訊市行開董事會議
page 6	撤銷土菸專賣訊數十萬菸農謀反對專賣
page 6	財廳電飭各稅收機關努力督征各稅局派副局長暫中止
page 7	定期開航
page 7	空郵價目
page 7	下月載客
page 7	交通新頁
page 7	客票價目
