page 1	中日關係前途之悲觀
page 2	日海軍省派東野田全權主持北海事件十三驅逐艦隊歸其指揮
page 2	豐台宋部退趙家村日軍在豐建築堡壘
page 2	日軍遊行滬市阻斷交通途人驚避
page 2	和平統一已告完成居程朱等今日北返李宗仁電告抵邕翁照垣撤退北海
page 2	漢日警案尚無端緒日決派陸戰隊常川駐漢
page 2	平津各地日軍突增數逾萬人均作戰時編制
page 2	中宣部招待京市記者請輿論界贊助推行所得稅使全國民眾了解實施所得稅真義為廢除苛雜整理稅制的不二法門
page 2	滬市虛驚食餘之梨投中日兵無場主人被警扣留
page 2	宋子良日內北上報告粵省財政
page 2	日當局擬就對華具體政策將藉最近發生各案向我威脅日報發表四項對華侵略原則
page 3	亞國代表出席問題引起國聯大會糾紛
page 3	臨時高考典委監委陳大齊等昨舉行宣誓就職林主席張繼相繼政訓詞
page 3	駐平津通豐日軍定期舉行秋操
page 3	秦德純昨日由津返平秦談豐台案完全解決冀察覺稽查處尚未成立
page 3	刺汪案犯余立奎昨解京送首都地院暫押候審
page 3	禁煙行政報告書提出國聯政會
page 3	津關電請財部派警協助緝私財部轉咨冀察當局
page 3	滬市各界籌備歡迎世運代表
page 3	國選總所解釋記者資格
page 3	劉厚奉派任粵南檢局長日內即南下履新
page 3	越南關稅提高僑胞呈請交涉
page 3	閻寶航譚粵省新運進步粵民富有進取精神對新生活極願接受
page 3	東北義軍襲擊偽警總部擊斃偽警數十
page 3	王定華任旅長
page 3	滬國產棉布銷路突趨暢旺各廠加工趕織
page 3	長沙市舉行防空演習
page 3	滬粵長途電話試話聲浪清晰不久即可正式通話
page 3	大陸行徵求輸血十餘人僅一人合格
page 3	譚故院長逝世六週紀念
page 3	和解後之桂局桂軍已分別復員
page 3	內政部尊重輿論禁止拘捕記者
page 3	宋論張自忠擴充津市警察
page 3	法部通令各級法院實施會計制度
page 3	臨時高考第一試昨揭曉共計取錄二二三人
page 3	粵漢路整委會議決案
page 3	中央國府紀念週舉行朱執信先生殉國紀念林主席馬超俊分別報告紀念意義
page 3	印度立法院開會印督出席演說
page 3	蘭垣發生地震震浪西來十秒即止
page 3	西國叛軍分路進逼馬德勒兩軍連日劇烈血戰
page 4	獎品分配
page 4	各項錦標
page 4	開會情形
page 4	中菲摔角賽額氏實未得勝因證人誤以英例為根據其實是賽係用美國規則黃額兩氏定期再決雌雄
page 4	南華女子部國技班聘耿德海任教授逢星期二四六日為訓練時間
page 4	羽球總會定廿九日開年會
page 4	足球總會開緊急會請華僑入乙組賽認總會前次拒絕係合理
page 4	港滬埠際木球賽港方選手已產生定十月二日出發赴滬
page 4	南華會友籃球比賽準期今日止截報名
page 4	港外匯市情報堅
page 4	全省水運閉幕補錄水球及團體冠軍華人女子團體冠軍水體會女子個人冠軍陳煥瓊男子個人冠軍李羅敏
page 5	和平使者鄧世增談桂省善後李黃並非分途回桂白崇禧李濟深出洋北海翁部今日撤退
page 5	僑汕某人破壞我禁賭續訊
page 5	保安司令部成立各綏署始行結束
page 5	市小教職員內部發生糾紛後昨日之種種消息
page 5	陳章部駐蘆苞
page 5	煤油類業受限制召開會議謀解決
page 5	廣州長途電訊　退出北海之電告保安司令部趕速成立梧州尚未解嚴之原因
page 5	翁部尚未退出北海淩士芬未能登陸調查外交特派員公署訪問記
page 5	航商會議續訊改組財務常委請免輪渡季餉
page 5	粵路童車案淩鴻勛親往調查
page 5	南郊鄉民一地兩稅之呼籲市縣爭徵地稅業戶無所適從沙南等鄉業戶決召會議聯同請示
page 5	丘翁等部退出欽廉靈山後靈山已開始辦理國選蔡廷楷仍持消極態度聲言有機會時始復出現有部隊將統由翁照垣編師改編後歸李宗仁指揮岳留軍中區或另委要職
page 6	兩血案開堂研究
page 6	海壇輪血案
page 6	彈丸取出
page 6	搬運私貨
page 6	溺斃五童案
page 6	被沖下海
page 6	藏有紅丸
page 6	高級法庭嚴懲紅丸案犯法官謂決盡力撲滅此種流毒
page 6	是溺斃者
page 6	電車搭客跳車跌傷
page 6	倫運偽幣
page 6	毆人圖劫
page 6	孔聖會徵求會員訊
page 6	後備警察華隊消息
page 6	劉景清君來函照登
page 6	二屆集團婚二十三對鴛侶芳名及儷影籌委會審定是美滿姻緣雙十節新家庭即告成立
page 8	強搶
page 8	初級法庭案彙誌
page 8	偽幣
page 8	行竊
page 8	香港華人名人史略五洲書局在編輯中
page 8	英艦兩艘昨日抵港
page 8	半島學生臨池比賽定下月廿四日舉行
page 8	聖保祿醫院賣物會
page 8	港大畢業生在英考獲博士銜
page 9	汕魚業勞資糾紛已解決一部份
page 9	農民對割草之呼籲
page 9	九江各界請撤銷市政局呈文
page 9	縣兵剿劫鐵爐村匪
page 9	冒稱檢查截搜白銀
page 9	印金租款繳毫券法
page 9	各界籌款購機祝壽會昨開成立大會情形通過組織章程及組織辦法
page 9	主席致詞
page 9	籌備經過
page 9	工作概述
page 9	順德縣長黜奢崇儉禁公務員穿西裝
page 12	日鮮人紛紛蒞冀活動最近數月來前後竟達百餘起活動範圍不同組織目的各異滿鐵派員調查平漢路實況
page 12	察省建設廳計劃發展農林墾牧事業張礪生親赴農林場視察決定從事籌款逐步施行
page 12	與職員談話
page 12	視察農林場
page 12	臺灣日商界提議在溫州設日領館並請政府獎勵援助南濂貿易新任台督發表政見亦決以台灣為中心積極南進
