page 1	西線劇戰中之地中海
page 2	日機襲川被我擊落六架墜落地點已查明者有三架另三架落忠縣與開縣之間
page 2	陽城以西日軍全線崩潰浮沁間交通被我破壞
page 2	羊樓洞間日軍中伏
page 2	國府代言人力闢和謠近來和平之謠係日人所佈散
page 2	豫鄂會戰應有的認識一何部長在中樞紀念週報告
page 2	桂南方面
page 2	廣東方面
page 2	三皖南方面
page 2	四贛北方面
page 2	鄂南方面
page 2	湘北方面
page 2	七豫東方面
page 2	八晉南方面
page 2	皖南我軍攻入貴池
page 2	汪練兵計劃仍難實現柴山堅握武漢大權不肯讓步
page 2	南昌日軍死守南潯鐵路
page 2	滬日傷兵醫院已有人滿之患
page 2	美國人民爭論應否援助聯軍羅斯福發表外交政策仍提倡自由經濟政策
page 2	林白演說反對參戰
page 2	鹿達丹大被破壞被炸斃平民至少十萬人
page 2	英各重臣在唐寧街會議
page 2	德向瑞典要求假道增援已遭瑞典拒絕
page 2	日軍反撲棗陽被擊我軍掃蕩信陽殘餘太平鎮日軍指揮部被我消滅
page 3	法軍以坦克車陣容擊潰德軍退九英里
page 3	法國輿論歡迎魏剛
page 3	英法空軍終日活動
page 3	法軍砲擊德軍陳線
page 3	德軍實力銷耗極大
page 3	邱吉爾作堅強演說深信聯軍有勝利把握英法聯軍無論如何非獲勝利不止法軍得英軍協助將施行大舉反攻
page 3	齊亞諾暗示意有參戰之意歐戰將來到達最後清算期交戰國必須顧及意國地位
page 3	日對荷印態度同意維持現狀日曾照會德政府詢其對荷印問題
page 3	德方宣傳又有秘密武器名噴炎器其力甚強能燒溶馬奇諾陣線
page 3	魏剛出任聯軍統帥聯軍即將改守為攻法軍在聖昆廷猛烈抗德軍德軍猛攻門德蔑地已被擊退
page 5	頻頻發現日偽出擾
page 5	我軍變更誘殲計劃
page 5	婆羅島日偽仍戒嚴
page 5	中山淪陷後中順各地團隊之狀況外傳種種多忖測之詞潘幼齡致本報記者函
page 5	桂洲鄉民之慘狀日軍強征蠶絲過境稅容桂米荒餓殍載途
page 5	在韶順德同鄉設救鄉會
page 5	台山召開全縣行政會議推進戰時要政計劃
page 5	粵教廳訓練國民教育師資訓練三個月名額一萬人
page 5	欽縣糧食恐慌偽軍反戰
page 5	肇慶米價一日三漲
page 5	瀾石渡又被劫
page 5	我機轟炸赤溪日艦日艦一艘負傷一艘逃去
page 5	北路我軍繼續反攻對北犯日軍之大掃蕩日擾馬武村不逞我日炮戰甚劇烈
page 5	北犯日之恩遭我掃蕩
page 5	日擾馬武我攻神崗
page 5	日放出西犯空氣中西江下游各地日軍頻頻出擾深入新鶴路之日軍又遭重挫婆羅島日偽內訌現加緊戒嚴
page 6	日犯玉滘市被擊潰
page 6	潮城外圍迭起激戰
page 6	第四戰區長官通令獎勵收集彈穀
page 6	粵建廳擬具計劃發展水利事業省行年撥二百萬　灌溉工程貸款
page 6	粵各縣市建築防空新村全省劃三個防空區
page 6	曲江的勞苦群
page 6	省府政工隊出發南路工作
page 6	桂婦女界競選發生風潮
page 6	澳門附近各省校內遷訊
page 6	各屬縣長辦理防空業務獎懲法粵防空協會飭屬遵照
page 6	獎勵
page 6	懲罰
page 6	台開各界慰勞江會戰士分三組出發
page 6	潮汕日軍又圖一逞突犯揭陽玉滘市我軍堵擊日軍受創敗潰潮城激戰我衝入雲梯山
page 7	政治方面大有進步
page 7	各黨派均一致結團
page 7	粵北慰勞團獻章籌款結束募得港幣二千餘元
page 7	顏福慶昨赴美
page 7	修築邕欽路日軍拉伕二萬工作稍慢輒被剌殺二十人逃港述慘況
page 7	港府嚴禁私帶信件一律須由郵政局寄遞否則發信人亦受處分
page 7	船中財物被劫殆盡
page 7	日本戰艦攔江截劫
page 7	甲子港附近海面兩漁船被日艦焚劫損失合共四萬五千元數漁人昨日漂流到港
page 7	飛機模型賽成績昨日公布
page 7	陸品芹昨過港赴內地視察實業狀況
page 7	中山青年會召開會員大會
page 7	由省運貨來港數艇主被傅訊
page 7	防空演習將分四區舉行救護員七百人參加
page 7	夏季馬票已售廿三萬張
page 7	孫夫人談赴渝觀感祖國進步使人興奪各黨派均有團結對外之認識祇要堅持抗戰必獲最後勝利
page 8	不拘儀式
page 8	該團工作
page 8	來華旅費
page 8	粵教廳嚴禁僑校濫收學生
page 8	羲皇台慘殺案主角關麗珍昨提堂先控謀殺林蓮桂罪公審日期尚未決定
page 8	工人蓄意行兇
page 8	水警撈獲童屍
page 8	染衣發生糾紛
page 8	港府嚴厲執行生死註冊則例出生死亡均須請註冊署登記負責人瞞匿不報者決予重罰
page 8	註冊則例
page 8	違例不報
page 8	工務局兩管工受賄罪名成立各處徒刑九月
page 8	搶匪入獄四月
page 8	地狹人稠
page 8	聖約翰校友會將歡宴朱友漁
page 8	日本原料告荒商行多停接定單
page 8	工人二名下墮斃命三人跌至重傷
page 8	劫艇案昨開審各被告均不認罪
page 8	培才義學擴充訊
page 8	本週之公眾假期
page 8	遠東各埠之時症
page 8	聯青社聚餐訊
page 8	英來華服務團決分兩路入內地工作工作區域暫定貴陽至西安一線如有餘力則再擴展至其他地方
page 10	九龍高級學籃賽明日召開會議初級週末頒獎
page 10	小型足球戰訊
page 10	學界排球賽全部秩序修正今日有三場角逐昨日因雨無戰事
