page 1	羅斯福之時代
page 2	日本前途滿佈荊棘平沼向全國呼籲團結平沼近衛會談對中日事件意見一致日預算案即將提出對華戰費將大增
page 2	平沼發表談話否認組新政黨
page 2	Ｘ兵六千餘開抵青島
page 2	晉北我軍襲擊朔寧間Ｘ斬獲甚多予Ｘ重創
page 2	捷發生戰事雙方各有死傷
page 2	Ｘ新閣員衣便服行親任式晚餐以米酒代香檳經濟困難可見一斑
page 2	日下關郵局昨發生爆炸案傷郵務員九人
page 2	偽冀省府擬遷保定
page 2	鄂南新堤Ｘ軍搶奪糧物居民相率逃避
page 2	准南路被我炸燬
page 2	我軍某部破壞嘉湖公路
page 2	英首相與外長商談歐洲局勢以為聘意準備
page 2	陝省黨部推進陝北黨務決定在榆林綏德設黨務指導委會
page 2	饒神父今日來港返滬
page 2	寧偽陰謀統制滬上電影
page 2	滬法商交易所籌備案已成熟
page 2	湘財廳長赴渝
page 2	唐生智封翁逝世蔣派代表弔唁
page 2	綏遠城發現傅主席佈告民眾十分興奮
page 2	我軍某部襲德修路告捷Ｘ攻廬山報國寺被擊潰南潯路被破壞尚未通車
page 2	岳陽一帶我游擊隊活躍冒寒出擊斃Ｘ五六十人
page 2	粵籍中委電呈總裁對汪電表示憤懣亟盼中央當機立斷嚴厲處汪
page 3	對羅斯福演說德國表示不滿
page 3	美下年度預算不敷甚鉅業經政府提交國會審議
page 3	德波兩國作重要談話波外長柏克上校昨謁希特勒
page 3	日外部發言人稱美牒在研究中否認在佔領區內販毒認格魯返國並不重要
page 3	羅斯福準備國防咨文俾下星期提付國會討論
page 3	倫敦金潮禁止投機買賣鎊價逐漸回漲
page 3	立院昨開例會
page 3	閩主席陳儀暢談內線設施政策一年來積極實施成果美滿險惡風波已過抗戰快勝利
page 3	民眾起來矢忠殺Ｘ
page 3	趕修公路發展貿易
page 3	亟謀改善農工生活
page 3	明年今日抗戰勝利
page 3	美擬在必要時徵用全國海員俾克迅赴事機
page 3	日駐決德兩大使進行重要談話
page 3	法總理赴北非
page 3	日謀達到侵略不惜孤注一擲日本京都新聞之評論
page 3	組訓民眾成績極佳
page 3	英首相與財長談話研究對日取報復問題羅斯福向國會宣讀咨文後英決定強硬對付各獨裁國
page 4	搜出巨量煙坭
page 4	英醫學會派員到港視察
page 4	帝航機昨抵港
page 4	聖約翰舉辦男界公開救傷班
page 4	播音台續播聽眾自選之音樂
page 4	世界語學會辦世界語初級班
page 4	發現痳疹症六宗
page 4	被控侵佔公款
page 4	福清庄劫案昨日審訊終結次被告無罪釋放
page 4	先施公司卅九週紀念贈品
page 4	廣東救護委員會派員來港徵集藥物
page 4	難民工業社定期舉行開幕典禮該社出品所用商標已有決定
page 5	重陷陳村戰況
page 5	繼陷沙灣市橋
page 5	沙灣形勢一瞥
page 5	我軍攻入增城後直逼石龍莞城之戰訊太平Ｘ軍防我軍進襲
