page 2	陳席孺已定期就職
page 3	王寵惠允今日銷假視事
page 3	閣議通過禁絕各種獎券
page 3	吳佩孚請政府任陳炯明督理兩廣軍務
page 3	黎元洪對時局極悲觀
page 3	張英華以借外債運動總統說動曹錕謂當為大帥盡力
page 3	民八廣州護法議員主張力爭議員資格已準備積極進行
page 3	銀行定期代收省行紙幣
page 3	滬昨晚颶風烈雨倒塌房屋樹木甚多
page 3	李厚基聞許崇智謀入閩電駐京代表赴洛陽商請吳佩孚接濟餉械
page 3	曹錕電國務院張作霖備戰請速籌的款院覆希催財長高淩霨回部設法
page 3	報載張作霖宣言擁戴黎元洪係提撥吳佩孚作用
page 3	聞旅京鄂人對漢陽兵工廠風潮請明令懲辦蕭耀南並令交出省長印
page 3	漢陽兵工廠被毀吳佩孚疑與奉系有關電蕭耀南設法收復並令鞏縣德州兩廠嚴防
page 3	曹錕自八月起截留天津電浦北段貨捐及印花煙酒稅派曹銳經管
page 3	吳景濂因民八議員到眾院爭執偕王家襄赴公府請黎元洪速組政治討論會位置民八議員並發每人月薪四百元黎飭財部籌撥
page 3	近有謠傳王正廷代顏惠慶活動組閣王有銷假到眾議院說
page 3	王寵惠經黎元洪派員堅勸已允再副署兩日候唐閣案著落
page 3	奉直戰爭消息益惡　張作霖通告北戴河外人離開免受戰事影響吳佩孚亦已調張福來部開赴前線積極備戰
page 3	粵省長政見之西報紀載
page 3	善後督辦之成立談
page 3	軍官被人狙擊
page 3	泒艦保護英船續聞
page 3	裁撤海軍部電文誌略
page 3	華民務政司致曾富君函
page 3	西商局勸捐之總數
page 3	一日之雨量
page 6	令人目迷之蘇俄黨派紅白軍而外又有青軍
page 6	被控向伶人勒索案
page 6	上海總商會電請裁釐之部復
page 6	傳染症報告
page 6	銀價
page 6	製纜公司派息
page 6	威士文舊址出售之傳說
page 6	梁和死後餘聞
page 6	是否受愚
page 6	圖竊被拘
page 6	重懲搶匪
page 6	孤兒院報失女子
page 6	被控偷酒案再押候
page 6	舖票案判結
page 6	伙伴難靠
page 6	煙未納稅被罰
page 6	少婦割頸自盡
page 6	旅港潮州商會佈告潮陽災情
page 7	省長就職後之用人
page 7	北江戰事餘談
page 7	順德縣長缺之遂鹿觀
page 7	海軍人員宴請粵軍將領
page 7	坎政府不許粵商登岸之交涉
page 7	休養所變為賣煙所
page 7	陳母壽辰之籌備祝賀
page 7	議員從戎續誌
page 7	高廉軍事要聞
page 7	東增從龍之緝捕布置
page 7	雲浮法庭報失
page 7	陳永善收編艦隊
page 7	陳席儒定期來省續誌
page 7	省銀行總支各行預備營業
page 7	粵派代表報聘黎元洪
page 7	保險公司證物之限制
page 7	擬承抽僧道尼巫捐
page 7	市審計處之規復忙
page 7	火警例誌
page 7	鹽運使請釋被封之鹽船
page 7	低田晚禾無望
page 7	鶴山倡辦義學之波折
page 7	上海颶風
page 7	甘肅地震
page 7	馬克價
page 7	星架波居民反對所得稅
page 7	日巡艦沉沒續聞
page 7	瑣聞一束
