page 1	俄意將助德乎
page 2	在滬杭路我軍炸毀日軍車一列擊斃高級日酋　籐良讓等百餘人
page 2	中國空軍有大進步將可達到進攻能力
page 2	常州西南時有激戰我收復埠頭夏溪等處
page 2	昆明市籌組市立銀行
page 2	滬偽府官吏宴客發生事變一妓兩日人被人擊死傷
page 2	軍委會發表一週來戰況本週乘戰勝餘威各線均猛烈進展
page 2	湘鄂方面
page 2	粵偽維持會被人擲彈死衛士二人
page 2	贛北方面
page 2	晉豫方面
page 2	粵閩方面
page 2	其他各線
page 2	屯留西南日軍向西竄擾不逞
page 2	滬防區問題英美態度堅決
page 2	日青年黨駐滬黨員抗議日總領三浦辭職抗議代表歸途被痛毆重傷
page 2	聞喜以東激戰我軍勝利
page 2	湘各界組慰勞團出發前線勞軍
page 2	隰縣黃土鎮為我克復
page 2	納粹黨人否認捷人助德打仗
page 2	英艦隊橡樹號被擊沉英海軍所受影響不大英海軍尚有十一艘同等軍艦
page 2	美孤立派建議要求英割西半球屬地抵債孤立派之意見提出後參議院發出激烈辯論
page 2	湘省府嘉獎臨湘縣長
page 2	贛我軍三面圍攻奉新鄂南方面我克大沙坪岳陽日軍犯桃林為我奮勇擊退
page 3	蘇芬問題將可和平解決芬已與蘇締結互不侵協定無須再與何國締軍事同盟
page 3	德意蘇將開三國會議在意國境內某地舉行
page 3	湘北大捷前後二
page 3	日軍在崩潰途中
page 3	長沙市面逐漸恢復
page 3	蘇聯利用美工人刺探工業秘密
page 3	馬奇諾陣線工程偉大砲壘林立建築堅固
page 3	日軍對華政策內部意見紛岐駛華兩軍部相繼發表聲明又發表前首相近衛之文書
page 3	德將改用驅逐艦作經濟戰而不用潛艇
page 3	納粹統治下波捷情況哀鴻遍野流離失所稍受嫌疑則被屠殺
page 3	英美兩國俱贊成北歐四強會議此為北歐諸國能團結之表現
page 3	美海軍部要求擴充海軍力量以達到兩大洋海軍之目的使同時能應付東西兩大洋
page 3	前一個月內法共擊落德機廿四架而法機損失者僅八架
page 3	中蘇商議組織中蘇航空公司此項談判行將完滿結束重慶飛莫斯科三日可達
page 3	英名記者加溫氏主張勿接納德國虛偽和平獨裁者之恐慌未被消滅前英法聯軍即不能放下武器
page 3	滬西出現偽和平軍組織首領為高鳳桂
page 3	西線戰事將有開展德軍準備大規模行動英軍兩師團開到前線參加作戰德軍偵查部隊頻向法軍陣地侵犯
page 5	江會形勢又告緊張
page 5	日機飛炸睦洲各鄉
page 5	袁帶督隊再攻大良
page 5	中順間日機艦動態
page 5	寶太公路我軍迫近南頭偽組織強抽出入口稅
page 5	香喻兩長官視察東寶前線
page 5	港僑慰勞團昨抵中山
page 5	救濟港澳失業機工考取錄用辦法續詳暫以八百人　限調　工作
page 5	包煙庇賭政警員被槍決
page 5	粵省府禁溺嬰
page 5	廣州灣法當局祝我國慶
page 5	新會鄉鎮保甲長集中講習授以軍政學識
page 5	經濟部派員赴菲考察商業
page 5	省銀行舉辦游擊邊區貸款
page 5	海康拆卸城牆
page 5	保安第七團建陣亡官兵碑
page 5	開平縣府推廣戰時教育
page 5	粵省最近民政措施民政廳向省政府之報告
page 5	調整機構
page 5	整飭吏治
page 5	根絕煙毒
page 5	儲糧濟荒
page 5	中山當局理新佈置防務江會日軍圖反攻形勢又告緊張順德大良雞洲等地最近之米荒
page 7	議決各案分別實施
page 7	不避艱難勵精圖治
page 7	最報勝利當在不遠
page 7	公務人員服務報酬辦法
page 7	赴星船票價又暴漲客棧及代理人壟斷居奇竟較公司定價炒高數倍
page 7	中大服務團雙十獻花成績
page 7	反婢會之宣言今日起舉行宣傳週
page 7	籐行商會捐金慰勞湘北將士
page 7	港海軍船塢組義勇團防隊
page 7	義勇軍下月局部動員
page 7	自衛團昨晚開始出動主任陸　雲召團員訓話戒以執法時寧縱毋枉
page 7	參議長吳鼎新報告粵在抗戰中勵精圖治參議會決案于短期內次第實施省府合署辦公後行政效率提高
page 8	救濟新界難民中央已有具體辦法杜月笙　昨先往慰問並攜有大批藥物散派
page 8	油麻地三賊械劫住戶老婦抵抗無力財物被掠殆盡案發後到探兩親友突告失蹤
page 8	超立社支部成立
page 8	本港的慈幼事業
page 8	兒童法庭
page 8	一保護童工法令
page 8	保護兒童會
page 8	兒童工藝院
page 8	八中華兒童學會
page 8	七兒童運動場
page 8	保良局
page 8	貧民學校
page 8	托兒所
page 8	兩華隊齊奏凱旋1比5東方痛擊約瑟大告上陣亦無補于大局六比四光華壓倒洋水兵
page 8	光華挫海軍
page 8	紅星籃球隊動態
page 8	　嶺昭遠墳附近山穴中發現被縛女屍額有創傷下體流血腰包揭開疑是一宗謀財劫色慘案
