page 1	英美提攜問題
page 2	近衛知難而退放棄一黨政策承認各黨為合法團體新政治機構即可成立
page 2	工部局遷就日人嚴檢華文報紙蔣　長告國民書亦被警務員檢去
page 2	我向綏淥進擊斃日軍　眾
page 2	英倫東南海岸昨晨仍有空戰
page 2	英空軍之戰略引起外國注意
page 2	英德空戰結果
page 2	售毒網大本營在神戶境
page 2	日兵厭戰投誠
page 2	教部通令推進社教工作
page 2	晉西山洪暴發
page 2	陳嘉庚抵貴陽
page 2	我軍攻入五台河邊村
page 2	誰欲燃著巴爾幹火藥庫
page 2	新黨運動流產了
page 2	不必重視
page 2	英輪新華號在閩海被劫損失五百萬元盜艇懸掛日旗
page 2	哥爾將軍統轄之法艦協助英軍　德機炮擊三日來德機損失一百八十四架英國驅逐艦與德小型艦艇接觸
page 2	滬租界英防區問題美決與日堅持到底美哈特大將率五潛艇由青抵滬駐滬各國軍事長官會議即舉行
page 3	美議員湯麻士提助英抗德計劃議員湯麻士發表廣播演說德跳傘隊有侵犯南美可能
page 3	渝各界紀念空軍節戲劇界募款購機
page 3	德在佔領區徵收糧食準備作長期戰爭
page 3	柏林發出空襲警報
page 3	東亞發生劇烈地震班丹　之報告
page 3	戰後一片荒涼貝當訴苦德未許法遷回巴黎國內形成饑饉狀況
page 3	英對巴爾幹貿易極為活動
page 3	納粹在土活動無何進展巴本亦不見其活動
page 3	日又　與汪簽和平協約內容共分八項附加秘密條款
page 3	英屬索馬利蘭兩軍展開劇戰英國小型艦隊協擊意軍向包爾哈推進意軍被阻
page 3	意國北部被英空軍炸擊
page 3	美徵兵案國會延期討論
page 3	我贈羅　尼亞二十四史
page 3	鶴基亞被刺案意故張大宣傳挑撥阿爾班尼亞人將仇意心轉向希臘
page 3	英美兩國密切聯絡監視日對越南行動越南邊界有許多日軍集合傳越邊界我日展開劇戰
page 5	白蕉雜軍抽調一空
page 5	日軍又犯乾霧涌口
page 5	我大軍開鬥門防守
page 5	日機十六架侵桂柳州上空之劇烈戰擊落日機共四架殘骸三架已尋獲日再派機解圍我機一架被迫降下
page 5	日軍忽又開抵灣仔
page 5	廣州匪風愈熾劫案日有數起
page 5	歸僑經淪陷區者注意
page 5	中山留澳難民陸續資遣返鄉
page 5	嶺東日軍反戰潮金石日軍衝突
page 5	粵省府通令保護沙魚涌 交通
page 5	省黨部注意工商團體組織
page 5	粵各縣局公務員薪改支國幣由八月份起　額十足支村省振會設技工所計劃擬定
page 5	黃麟書視察東路國民教育
page 5	有雜軍數十人
page 5	寶安雜軍被殲
page 5	惠博山洪成災我當局已運米急賑日機乘危迭次肆擾寶安雜軍被我伏擊
page 5	各地人士呼救
page 5	乘危派機肆虐
page 5	日機向中順肆虐轟炸坡頭七沙毀農屋六間死傷者三人
page 5	某戰區在桂續辦黨政軍幹訓團受訓人員大致已定未入團者仍須受訓
page 5	台屬燈籠山海面兩民船被盜劫損失貨物值六千元
page 5	台山組織　　機關成立　　工作委員會
page 5	日軍犯鬥門形勢緊張我大軍已開抵鬥門增防日知我有備未敢妄進灣他增到日軍一小部將雜軍走私船艇扣留
page 6	日犯潮陽
page 6	海門登陸
page 6	禪炭路戰事迭起日犯三江我襲馮湧日機襲舊三水投彈廿餘枚
page 6	進犯三江
page 6	後溪劇戰
page 6	血熱衣單禦寒何恃提前擴大征募慰勞運動奉中央頒發辦法大綱加緊推動推行期間本年十月起至年底止
page 6	日軍潰退
page 6	瓊島我軍運日反攻日機迭次轟炸五指山瓊山我克塔市及和舖
page 6	衝入瓊東
page 6	炸五指山
page 6	日艇在中山大王頭被匪截擊
page 6	擴大征募
page 6	計劃大綱
page 6	竄擾閣尾
page 6	我襲馮涌
page 6	潮汕日軍千餘水陸猛犯潮陽之劇戰日陸戰隊海門登陸被擊退全線敗潰掃蕩陰謀又粉碎
page 7	粵第三區護僑辦法
page 7	僑胞入滇須領護照
page 7	澳洲飛機失事軍官多人殉難港代督電澳總理致唁
page 7	粵會計人員考試港區由廣州大學辦理陳炳權杜之英任主考攷試條例昨日已公佈
page 7	空軍節紀念會囚事中止舉行
page 7	梁燕孫年譜出版
page 7	羅旭和昨入醫院休養
page 7	一批賭徒被罰
page 7	本港各曠地開始建防空壕並選擇堅固建築物俾將來改作避彈室
page 7	防癆會擴大防癆運動將在九龍增設兩贈醫所去週死於肺癆者百餘人
page 7	基頻教促進節建儲運二期成績美滿銷額四十五萬餘元
page 7	登記歸僑已達千人
page 7	我政府歡迎僑民歸國歸僑登記已達千人短期內可發給回國證定期道途僑胞入滇須向居留地商會領證
page 8	商界獻金
page 8	四大公司
page 8	獻金義演
page 8	留營難民略減
page 8	歹徒十餘被捕
page 8	大搜販毒機關中環灣仔破獲十餘所郵件內搜出大批煙膏
page 8	茶客自殺慘案割頸復跳樓
page 8	歐妾疑案註銷少妾獲准大歸
page 8	保育院兒童疏散回國首批抵桂次批湘途中一女童墜江溺斃
page 8	港外燈塔熄滅船舶宜小心航行
page 8	海盜又劫貨艇財物搜掠一空
page 8	馬爾太島一英國情報部遠東局播
page 8	獻金運動昨繼續進行金銀場數逾十三萬元華商會值　各捐鉅款以　倡奪華北星雲義缺得港幣四百元
page 10	香港足球總會昨開委員會議撥款萬五元購買公債聯賽第一週秩序編定
page 10	三角對抗成績
page 10	游泳對抗白熱化宵來三角競技二百接力破全國紀錄各泳會積極檢討軍備分頭舉行水藝及對抗
page 10	鐘聲二次水藝
page 10	華人三次水藝
page 10	南華約戰港大
page 10	東方二次水藝
page 10	星島足球隊捷報
page 10	中西四角對抗
page 10	勵進再鬥域會
