page 1	意大昨願提出和平方案
page 2	長沙緊張　氣已完全消失長沙外圍要點均克復
page 2	我軍實已達成消耗戰目的汨羅江南岸現已無日蹤
page 2	軍事委員會發表一週來戰況一湘贛北面大戰繼續展開其餘各線　亦均有激戰
page 2	湘鄂方面
page 2	川省本年大告豐收蔣令迅即大量收購
page 2	晉冀邊境日軍蠢動
page 2	關於津租界問題英日談判短期將重開就地方事件性質磋商解決辦法
page 2	豫省我軍攻入開封
page 2	湘北民眾自動參戰
page 2	英大使蔻爾離滬來港因恐途中發生危險故其行蹤頗為秘密
page 2	贛北方面
page 2	關於蘇軍開入新疆我方並無所聞不須恐懼蘇日瓜分中國蘇聯今仍繼續對我援助
page 2	德又警告芬蘭
page 2	日改組派首領中島遇剌結果未有受傷
page 2	我機襲漢日方損失極大
page 2	豫北戰事又起
page 2	中英庚款會展期派遣學生
page 2	湘北我軍繼續前進平江附近已無日蹤我猛攻通城極為得手佔領桃樹岩
page 3	意對和平提議未取倡導行動否認發起和平會議仍然維持中立態度
page 3	日高級官吏聯合攻擊野村並且要求野村辭職反對政府施政方針
page 3	汪王政見未洽組偽中央政府前途恐生障礙
page 3	史太林親信煽動波蘭赤化
page 3	青島排英運動並未減輕日化華文報紙闢一反英專刊
page 3	蘇德劃分波蘭已簽　議定會草擬詳細之界線說明並登入一顯明地圖中
page 3	對和平進攻英法態度一致繼續推行既定方針決不屈於既成事實
page 3	瑞典海軍實行護航瑞典海軍力量亦不比德為弱
page 3	美議員谷拉勒都請政府領導和平運動謂與其他各中立國聯合共同勸告歐洲早日停戰
page 3	英貨輪又被魚雷擊沉
page 3	蘇愛協定昨交換批准書
page 3	英艦撤退長江日願予以利便
page 3	法政府定期停止國會會議宣佈處置共黨議員
page 3	美海軍部意見美艦隊在夏威夷演習無庸注意日本反響美海軍只係負責海軍事務不應理及外交方面之反響
page 3	紐約金融市場金鎊高漲因市面謠傳行將休戰
page 3	德法前方間有砲戰
page 3	蘇土談判順利進行
page 3	英各自治領與英政府加緊密切合作現正派內閣大員到倫敦與英政府商議戰時聯絡
page 3	日下集否認放棄防共協定
page 3	莫洛托夫擬將報聘柏林
page 3	立國外長由懸返國聆取訓示後再往莫斯科
page 3	侵波德軍死傷五六萬人
page 3	歐戰以來商輪損失統計約共有廿五萬噸
page 3	德軍仍繼續破壞中立國之商輪
page 3	希特勒定今午發表重要演說德調大批軍隊及飛機前往西線準備應付和平提案為英法拒絕
page 5	沿線戰事昨日情態
page 5	新開新鶴兩線之拉鋸戰杜阮一帶戰事膠著我方軍民努力合作
page 5	日軍進犯之測判談
page 5	四日石岐被炸情形
page 5	省主席策動民眾組訓工作齊一步驟加強力量
page 5	東江土匪猖獗蕉嶺匪徒攔劫客車搭客共損失萬餘元
page 5	東路我軍全線動員反攻增城砲戰甚烈我隊夜襲石灘石龍日軍戒嚴
page 5	潘部團隊襲擊容奇後二日晚復分路襲攻大良攻入大良市區激戰二小時始撤退西山崗三眼橋等地工事已盡破壞
page 5	警隊限期成立每鄉至少應編三十名
page 5	中山縣府毀拆各鄉碉樓
page 5	日軍增援寶安後沿廣九路進犯不逞我機隊飛深圳散傳單
page 5	廣州　軍增築防守工事防我　反攻
page 5	犯中山日軍有採突襲戰術之勢我當局已統籌兼顧彼必不得逞昨日戰事又轉和緩前日石岐被炸情形
page 7	店主家人同居莊內
page 7	五賊冒充顧客搜劫
page 7	損失統計約五千元
page 7	各營難民生活安定
page 7	露宿難民數約百餘
page 7	中央振委王曉籟慰問新界難胞已將難胞苦況電告許代委長五婦女團體發起大規模散賑
page 7	五女團大規模散賑
page 7	車輛失事統計去週死二人傷卅一人
page 7	慶祝國慶大會在積極籌備中
page 7	港僑自衛團總部明日行成立禮各級長員英譯名稱昨已公布製備捐冊多份利便各區募捐
page 7	汎美機昨抵港
page 7	太古輪行走瑣羅門群島線
page 7	五賊冒充顧客白書械劫隆源匯兌莊掠金飾現款共值港幣五千餘元該莊本年七月底已曾被劫一次
page 8	海龍帆船蹤蹟杳然美探險家生存絕望美地方法院承認其已死
page 8	中國婦女會認領國旗五百並參加各界慶祝雙十會
page 8	神經病婦殺妾案昨開審
page 8	過港被禁德僑昨已獲釋赴美
page 8	赴星旅客激增九月份四千三百餘人
page 8	後備消防隊今日舉行大操
page 8	葡僑紀念國慶
page 8	圖賄公務員案兩被告詳臬定讞
page 8	足球聯賽大戰明日爆發各組球員紛紛登記參加健兒達千餘人
page 8	琴齊書法班擴大
page 8	大埔道軍車失事葛尼右目失明現在陸軍醫院調治
page 8	全港華人水運二次預賽結果
page 8	糧食統制專員頒佈統制物價新法令重新規定標準價格禁商人居奇顧客索取賣貨單貨主應即給與
