page 1	動員全廣東經濟力量
page 2	華北反英潮　息塘沽英僑被限期離境逾四星期不離　予以處死
page 2	　北大水我　擊隊乘機大活動各地Ｘ軍則完全停止活動北寧　　有偽軍三百反攻
page 2	日福岡煤礦突然被焚反戰份子嫌疑犯被捕者二百餘人
page 2	昨日省毫券價高過國幣
page 2	工部局職員被拘獲釋
page 2	滬大美晚報著論讚蔣委員長觀察準確張伯倫之聲明不出委長觀察中國不用外援依然可以抗戰
page 2	陝壯丁踴躍從戎省府傳令嘉獎
page 2	滬西激戰
page 2	周發祥自動請纓殺Ｘ里人鳴炮歡送
page 2	滬輔幣已運到恐慌可告解決
page 2	僑美洪門會擁護祖國抗戰
page 2	蒙滿邊境日軍迂迴戰略告失敗遭蘇軍重砲射擊傷亡甚重
page 2	荷蘭新閣辭職
page 2	英皇批准防止暴動法案
page 2	滬中美日報又復險遭襲擊捕房處置得法卒能化險為夷
page 2	豫南Ｘ六路進犯南陽陳城赴前線策劃軍事我軍衝入汀泗橋橋樑全部破壞
page 3	德機五架圖偷入英領空為英沿海側音機師發覺英國防空報警工作滿意
page 3	全英舉行燈火管制
page 3	日本憲政之神尾岐引雄著論忠告國人針對國內現勢指責軍閥妄動徵引歷次戰爭證明前途可慮
page 3	美神父捐資助我抗戰俠義精神令人感佩
page 3	日再否認拘捕美籍教士准許美領當局派員赴寧調查
page 3	但澤各學校已被軍隊佔據防護組織人員歸編於德軍隊
page 3	美將大批棉花買與法瑞兩國訂定現款交易
page 3	廢止美日商約後美政府將再有所表示美財部研究日貨與金銀入口問題下屆美國會將考慮禁運軍火往日
page 3	日政府已擬定對策討論對美報復辦法
page 3	美議員均贊成廢約全美國民亦無反對
page 3	美廢止美日商約乃關心遠東局勢表示此舉足影響Ｘ經濟基礎崩潰Ｘ軍事行動亦必受重大打擊
page 3	英國輿論
page 3	法報批評
page 3	日方表示
page 3	德報意見
page 3	英政府亦將考慮廢止英日商約英日圓桌會議昨晨再度召開日要求禁我法幣流通英租界
page 4	糖商長期義捐又匯出五千元
page 4	黃啟明賻儀捐作購藥義款
page 4	圖姦疑案押候
page 4	開飛鏢場被罰
page 4	雪佛蘭車之改良
page 4	獸醫官發表年報去年屠豬四十五萬頭二月間曾發生牛瘟症幸防備得法隨即消滅
page 5	芙蓉山戰況膠著
page 5	玻璃圍之拉鋸戰
page 5	Ｘ艦艇增據七頃
page 5	封鎖線現尚無恙
page 5	我大軍出動牽制
page 5	石岐市日來情況
page 5	Ｘ　擾疊石鰲沙
page 5	上下川發生空戰
page 5	Ｘ機昨日又窺襲廣九路深圳發出警報
page 5	Ｘ窺襲中山沿岸我團隊襲大良與Ｘ激戰西山Ｘ工事多被毀
page 5	Ｘ艦Ｘ機窺襲惠來陸豐
page 5	粵當局振興農村舉辦農田水利貸款已先電各縣調查實際情形並著手水利技術人員登記
page 5	規劃進行水利貸款
page 5	調查農田水利情況
page 5	搜羅水利技術人材
page 5	省府勸告民眾完納欠稅
page 5	省府規定疏散機器種類
page 5	粵省自治經費由八月起動支
page 5	省衛生處趕辦衛生人員登記
page 5	我軍反攻瓊山之戰果Ｘ由台灣調兵增防海口Ｘ大戒嚴情形
page 5	反攻瓊山
page 5	兩襲三江
page 5	海口戒嚴
page 5	西線我軍又襲基塘吳家村禪炭公路方面Ｘ我對峙
page 5	令嚴防Ｘ軍冒穿我軍制服
page 5	外銷捲煙出境期限延長
page 5	莞城內外Ｘ軍佈防甚防
page 5	橫門事昨仍在劇烈相持Ｘ艦砲擊疊石鰲沙以圖分我兵力我軍乘機反攻江會牽制Ｘ援中山Ｘ我空軍昨曾一度在上下川空戰
page 6	襲擊沙堤Ｘ營
page 6	Ｘ軍炮轟蓮塘
page 6	七堡擊退Ｘ艇
page 6	韶關警備司令部訂定空襲警戒辦法並組防護委員會專責救護工作
page 6	鋼軍郭參謀長訪問紀
page 6	粵省救災基金會已成立
page 6	粵南各地禁銷上海火柴因俱是Ｘ方出品
page 6	寶安各新區長昨已委出
page 6	韶根絕Ｘ貨會組織成立先行登記Ｘ貨
page 6	基督教服務團昨抵台山團長談災區調查經過
page 6	新會我游擊隊襲擊沙堤Ｘ營詳誌七堡壯丁擊沉Ｘ艇
page 7	港政府重倡輸血運動一派因脫之血可救一命非常時期救治傷者最有效
page 7	籲請捐贈蚊帳張兆棠為前線將士請命
page 7	粵僑務處委定秘書科長
page 7	及格救護隊員
page 7	海壇輪昨返港將入塢修理
page 7	本港燈火管制演習前晚成績最佳防空處主任柏堅斯昨表示滿意短期內再舉行大規模防空演習
page 7	勒索疑案續審
page 7	七七紀念日小販義賣成績
page 7	港澳旅客領防疫證注意
page 7	堅尼地道兩賊截劫少婦印警窮追賊開鎗拒捕華探鄧家獲疑犯一名
page 7	兩賊截劫
page 7	開鎗拒捕
page 7	港渝電話兩週後可通每通話三分鐘徵收港幣廿一元港菲線同時通話費亦訂定
page 8	居民生活與社會狀況續港政府一九三八年度報告
page 8	漁業農業
page 8	商工兩界
page 8	一般情形
page 8	全港小販大規模義賣由八一三起一連六天希望愛國僑胞踴躍贊助
page 8	今日棒球聯賽南華對香港會下午二時半在海　場交鋒
page 8	南華會友排球今日舉行冠軍決賽頒獎典禮由謝雨川氏主持
page 8	青年會荔枝角場今晚二次水藝
page 8	茶果嶺海浴會今晚舉行秩序豐富
page 8	夏令籃球今明均有戰事
page 8	聯會小型球賽今有三場
page 8	戲院職工鼎明日舉行決賽
page 8	南遊日記十四
page 8	中美文化協會昨日請吳鐵城演講吳氏謂促進文化可使世界和平美商務員望中美大學多換學生
