page 1	匪偽又醞釀犯綏
page 2	政院公佈食糧調節辦法原文並定本年八月一日起施行前此之暫行辦法同日廢止
page 2	楊虎城因病中止飛滬
page 2	汪精衛吳鐵城等電唁牛惠生家屬
page 2	劉峙晉京請示整理三省軍事辦法擬過蚌晤于學忠董英斌等面與各將領詳談整理辦法
page 2	內財實三部草擬災荒救濟辦法京川災救濟會議濟協會招待各界墾請全國人士踴躍輸　以拯災民
page 2	滬日浪入昨赴海關道歉
page 2	京滇週覽團全體今日離昆預定十一日抵筑後即分南北兩路返京
page 2	朱慶瀾昨赴河西勘災
page 2	張任民參觀景德鎮瓷業
page 2	偷漏關稅案件罰金充獎規則頃明令公布施行
page 2	鄭天錫在國際法庭首次正式出庭
page 2	劉尚清昨抵皖各機關各學校團體派代表赴江岸迎候
page 2	孟祿由滬抵京教育界多人到站歡迎
page 2	農本局發展蘇皖農業
page 2	植田在承德召開軍事會議企圖實現滿蒙一體化擴編匪偽軍實行滿蒙軍事同盟加強綏遠甘肅寧夏等特務工作
page 3	京濟長途電話舉行首次通話聲音極為清晰
page 3	日政府通令限制鋼鐵使用
page 3	中央常務會議通過林主席壽辰紀念獎學金辦法黨國旗升降辦法及處置破舊黨國旗辦法五九國恥紀念推定張厲生委員出席報告
page 3	林主席獎學基金辦法
page 3	處置破舊黨國旗辦法
page 3	糖業協定規定各國出口額數其中荷蘭佔第一位協定有效期間五年
page 3	黨國旗升降辦法
page 3	賀耀組昨返京定廿日前赴甘履新首次人員昨已出發
page 3	華洋義振會舉行八屆年會
page 3	名古屋博覽會平津參加出品
page 3	德意兩國政策仍不變反共初衷德意兩外長談話後兩國共同聲明此後當加緊與歐洲其他國家合作
page 3	日使館武官喜多由滬來港赴滇道經廣州瓊州海口
page 3	英眾議院議員要求政府報告英日談判情形並質問政府曾否邀美加入合作外次官答稱現只作非正式談判
page 3	英大使呈遞續任國書
page 3	滇河口地方試種金雞納霜成功此　極　必能　得　人利益
page 3	津海關緝獲大宗私貨
page 3	德意軍事協定意國容許德奧合併法國對此深感不安將與英國聯發宣言
page 3	西戰雙方小有接觸叛軍暫止前進比爾波難民行將赴法骨肉分離慘狀不忍睹
page 3	有情人將成眷屬英皇加冕禮後兩星期溫莎公爵舉行婚禮傳溫莎公爵結褵之後將皆夫人赴奧渡蜜月
page 3	本港聖約翰救傷隊加冕代表團抵倫敦
page 3	倫敦電車工人又復醞釀 罷工為巴士工人聲援
page 3	荷里活罷工潮尚無解決希望
page 3	郭泰祺夫人入覲英皇英后
page 3	海口六日電瓊崖考察團
page 3	莫德惠日前由平南下抵京晤王樹常于學忠等
page 3	汪主席張群曾仲鳴徐堪六日夜車赴滬
page 3	蔣委員長六日下午五時廿分由杭州乘機飛
page 3	馬步芳以剿匪軍事結束
