page 1	九一八之八週年
page 2	青省整軍恤民豁免攤派營買糧
page 2	土外長將赴蘇聯報聘
page 2	德致華沙守軍通牒限十二小時內投降
page 2	薩爾中部戰情擴大前線德軍逐漸增多
page 2	華沙附近各路德軍德方宣稱均有進展
page 2	英謂蘇聯地位為歐局中之謎
page 2	大批英軍開抵法境西線戰事更趨激烈
page 2	薩爾德軍大舉反攻結果仍被法軍擊退
page 2	德方發表最近戰報
page 2	滬中美日報被迫停刊
page 2	德空軍部門前發生炸彈案
page 2	全德各地船塢趕造潛艇德潛艇多艘被擊沉
page 2	日暫決定日圓價值
page 2	德　波蘭使用毒氣
page 2	波蘭軍隊以寡敵眾
page 2	蘇聯軍隊開入波蘭境蘇謂係保護白俄人及烏克蘭人德傳德蘇兩國已約定瓜分波蘭
page 3	集中人才
page 3	說到建設
page 3	加強軍事
page 3	幾個月來
page 3	蘇陸軍額大增全國員額提高至四百萬名
page 3	何應欽廣播演說二
page 3	德國歡迎日軍事團觀戰福斯特上將赴意關照日軍事團已應其邀請
page 3	說到外交
page 3	一貫國策
page 3	歐戰既起
page 3	我們抗戰
page 3	趁火打劫
page 3	軍事以外
page 3	蔣夫人發起徵募棉衣五十萬件各地婦女團體紛紛響應
page 3	反侵略中國分會擴大徵求會員以百萬人為目的
page 3	粵我軍克花縣冀南我軍克復南樂
page 3	各位同志
page 3	蘇日休戰協定料難再有進步蘇日滿三國協定各方觀察料難實現
page 3	參政會四次大會蔣議長開會詞集中人才建設後方加強軍事爭取勝利注意國際形勢推進戰時外交
page 5	橫門Ｘ艦昨日情況
page 5	大王頭昨日之戰情
page 5	白米山陣地無變化
page 5	前日Ｘ機窺擾情形
page 5	某軍要昨暢談戰情
page 5	增從線旬來十餘戰我軍均能取主動地位本報地特派員與某團長之談話
page 5	河南發生離奇命案事後有小童投案自首
page 5	楊梅魯村戰事迭起
page 5	Ｘ仍圖犯蘆苞楊梅魯村又有激戰游擊昨襲河口海蘭
page 5	各縣區長選送訓練
page 5	粵政務會首次會議討論戰時政要
page 5	河源實施空舍清野
page 5	省府加設各縣市禁煙股
page 5	人民自衛槍砲由省府發執照
page 5	粵省金融重心移韶
page 5	河口海關Ｘ被襲擊
page 5	合浦縣府積　墾荒
page 5	中山槍決三名漢奸
page 5	東路沿海Ｘ艦動態連日派兵窺擾汕尾各地Ｘ有進侵惠陽之勢企圖牽制我反攻兵力
page 5	Ｘ在下涌登陸戰訊
page 5	Ｘ在稔山登陸不逞
page 5	Ｘ艦仍在汕尾窺擾
page 5	電白加緊戰時準備
page 5	曲江縣府奉行新政
page 5	橫門Ｘ攻勢銳減大王頭方面昨仍有戰事珊洲坑民房延燒二三里我克復各據點昨無變化
page 7	中國文化協進會成立葉恭綽等廿七人任理事
page 7	六名手棋賽結束周德裕壓倒董文淵周冠軍董居次馮敬如亞軍今晚起續舉辦公開擂台賽
page 7	理事名單
page 7	永樂西街永茂油莊被焚損失甚巨幸無傷人
page 7	宵深人靜突來火警
page 7	存油甚多損失頗巨
page 7	戰時救護組織籲請各界捐助
page 7	今日九一八各僑校實行節約獻金
page 7	昂船洲昨火警
page 7	集中營德僑又有八人獲釋
page 7	三個瘋人潛逃
page 7	港府密切注意中物價尚無回跌趨勢平均較戰前約漲百分之三十九龍居民擬自組消費合作社
page 8	兩次宣戰均星期日
page 8	大　開始未捕德僑
page 8	港幣價格開新紀錄
page 8	人力物力貢獻極大
page 8	薄扶林道建築地下水塘各區水塘目前存水甚多進一步制水短期內可免
page 8	戰地工作團攝影展覽開幕
page 8	澳門定期賽馬一元大彩票暢銷
page 8	香港現狀可保無虞
page 8	客軍犯港第一戰四比四和東方東方曾兩度佔先惜後勁不繼十二碼自由球海河聯隊宴客
page 8	南華十四屆水運會昨日舉行渡海泳何本根與李寶聯分獲男女冠軍與賽之廿四健兒全數游達終點
page 8	排球義賽今為最後一日昨廣州女子及保羅奏凱
page 8	德　鼎聯賽昨日六場成績
page 8	一個老居民談兩次歐戰中之香港今次與前次之環境大不相同前次投機家多獲利今則不然
